civilization_id,controlled_systems_count,controlled_planets_count,territory_size_ly3,sphere_of_influence_ly,frontier_regions_count
53e4b98264,1,7,24327967.12,179.75,1
14c594f145,0,0,23002410.49,166.02,0
abb26e55dc,0,0,8181623.57,125.0,0
075b3fb3b1,0,0,27436677.89,176.07,0
d401178af2,1,9,24445507.37,180.04,1
6dfc531f16,1,3,26578274.76,174.22,1
36b91772ac,1,3,28436005.25,178.18,1
3c983bfdab,0,0,22822936.74,175.97,0
db90f4ff25,2,9,23962032.04,178.85,1
cfec2df928,0,0,8903434.06,128.57,0
a189e2924d,0,0,11203048.84,138.81,0
30e300e760,0,0,22348951.66,174.74,0
65ea513ebb,1,5,23293571.21,177.17,1
6fbfc2a11d,0,0,22795744.27,175.9,0
bceea7e00e,0,0,20859576.56,170.77,0
9875fc03a4,0,0,24310947.08,179.71,0
81601b2e5e,1,6,24045563.4,179.05,1
72196fa906,0,0,17403317.05,160.76,0
3c4760ddea,1,9,15079965.22,153.26,1
9d578c755a,1,5,20550490.22,169.92,1
23094db297,1,5,11060174.85,138.22,1
642e75a08d,1,7,27360300.39,175.91,1
b619dd5fb5,0,0,24892364.96,170.45,0
e3ba98a843,1,4,24028423.37,179.01,1
50f9748c73,0,0,21782139.55,173.25,0
3e1c9fe27e,0,0,22562688.33,175.29,0
cb16d2a5bc,1,8,23788927.95,178.41,1
340e3912e2,0,0,7448698.11,121.15,0
6ebb371c3c,1,4,29359622.87,180.09,1
1b37c066da,1,8,26682666.57,158.49,1
f4a721a47f,1,5,16896265.65,159.18,1
63d8758b53,1,5,15628174.26,138.64,1
415811daec,0,0,19378825.77,166.63,0
cb312b9d86,1,7,29113070.61,179.59,1
53dc64803e,0,0,22816840.35,175.95,0
5b3c302325,1,10,27067030.21,175.28,1
947f74a852,0,0,26173270.21,173.33,0
7df05aba52,1,4,24096992.53,179.18,1
e23dc5e375,1,5,14762267.22,152.18,1
77811a2fa9,1,3,5542803.67,109.79,1
4a9574c523,0,0,22616888.66,175.43,0
e99c95009e,0,0,23375664.51,177.37,0
6957a14d13,1,3,24204846.6,179.45,1
2a34070c99,0,0,21657957.96,172.92,0
4c67325ea2,1,10,26133636.28,173.24,1
8eadd942b0,0,0,21800996.71,173.3,0
d2f4557294,0,0,5951561.72,112.42,0
6657429a7c,1,3,22403097.56,174.88,1
5f5ebcf2f5,0,0,22886358.07,165.74,0
5578b4053f,1,3,23219478.39,176.98,1
095464621d,1,8,27852822.39,176.96,1
22e010a52d,0,0,20078714.56,168.61,0
a987357567,1,6,21600642.7,172.77,1
cf1fb521d7,0,0,23177921.51,176.87,0
0895acc0af,0,0,24516410.13,169.59,0
cd650c58ff,1,6,23282236.65,177.14,1
208f64f5f9,0,0,19919107.85,168.16,0
a03b53100a,1,2,23683158.91,178.15,1
2640424e04,1,7,27919908.88,177.1,1
ad899b1ed9,0,0,16465766.28,157.82,0
b53d4251d2,1,5,23321797.65,177.24,1
2b4452e77b,0,0,8182016.29,125.0,0
7994a1ada7,0,0,17909437.14,162.3,0
2b100070c5,1,6,26279084.85,173.56,1
984d4d4161,1,8,4882096.59,105.24,1
04b742dd38,1,4,16456444.53,148.49,1
82f9ee8fb4,1,8,23531146.25,167.29,1
08d81107e6,1,1,8087734.23,124.52,1
38a2dd884c,1,5,18690501.91,147.16,1
1c90d82c80,1,6,24060734.13,160.09,1
a067552faf,0,0,16015372.7,156.37,0
c6642b2284,1,7,29431402.49,180.24,1
a222a74ae8,1,7,24216903.06,179.48,1
c235dc422c,0,0,28516893.61,178.35,0
9dbca7c528,0,0,23586581.8,177.91,0
f714a79195,1,3,20963991.08,171.05,1
f6221e08e8,0,0,8182409.02,125.01,0
f0cb6b0a91,0,0,19046275.78,165.67,0
609e70586f,0,0,24213006.13,168.89,0
a866d8dcfc,0,0,7354477.02,120.64,0
26a6b7dcc3,1,7,22040486.84,173.93,1
7be35390be,0,0,17151318.66,159.98,0
87f864fe83,0,0,21850093.81,173.43,0
3ba7df6ae1,1,5,22999716.26,176.42,1
edb45b6eec,0,0,8182998.14,125.01,0
fe5ce1f2b8,0,0,5685938.29,110.72,0
a31575c86a,1,3,16578517.77,158.18,1
7652ec5c8d,1,1,24192074.28,179.42,1
98fbfa35fa,1,4,15594816.69,154.99,1
f0ada7121c,0,0,27816441.32,168.02,0
6eb9b1daf2,1,7,23865332.45,178.6,1
07a0027478,0,0,11886774.77,141.58,0
187eb0978f,1,5,28659755.66,178.65,1
8bd71d17f7,0,0,21016301.91,171.19,0
7f4ec7825c,0,0,15970656.04,156.22,0
a1d0ea467a,1,4,24011030.72,178.97,1
71d820677a,0,0,13489681.18,138.97,0
6d2f3e5ed1,1,7,22794965.11,175.89,1
3339448f7c,0,0,8182212.66,125.01,0
be3191b575,1,8,27112303.82,175.37,1
63f01adf18,0,0,16957323.42,149.98,0
b75dce1421,0,0,12607115.97,144.38,0
4c8e6a8540,1,8,19555528.72,157.28,1
76c64a14d6,1,4,19440657.4,166.8,1
517cb43ce0,1,5,21920647.54,173.62,1
d378f96d17,0,0,18770922.09,164.87,0
7664b6b371,0,0,18104361.16,162.89,0
739bb87006,0,0,17428866.08,160.84,0
8853384409,1,4,25209531.56,171.17,1
bda6417e80,0,0,15209274.38,153.7,0
56cd534bb7,0,0,17009077.69,159.54,0
c6e77e6789,1,4,23899218.53,178.69,1
ac4afd4a27,0,0,19546785.73,167.11,0
778b8b68c3,1,6,8182998.14,125.01,1
c5213edcba,0,0,17209449.64,160.16,0
37b8da7a55,1,2,23898946.52,178.69,1
c1803ec34d,1,5,6927382.71,118.26,1
d957806d32,0,0,19119210.71,165.88,0
fcda05fc4e,0,0,8182605.39,125.01,0
2320e9a617,1,8,21864080.04,173.47,1
75a58165a0,0,0,12206924.94,134.41,0
d5f12251b2,0,0,22302248.8,174.62,0
b4221d6e15,1,8,23208725.26,176.95,1
b3ddaf54de,0,0,23045623.47,176.54,0
fa8159dac5,0,0,22732524.18,175.73,0
02e103d2b6,0,0,7566436.77,121.79,0
b0eb206a08,0,0,8541454.25,126.81,0
529174abfd,0,0,8182801.77,125.01,0
658cf93cc4,1,4,25477475.83,182.54,1
3b106fa102,0,0,15835174.68,155.78,0
cb6235e194,1,3,20673306.84,170.26,1
6a9427ac16,1,6,17377817.24,151.21,1
094756ff65,1,3,28862365.54,179.07,1
e07661a882,0,0,22822320.84,175.96,0
d340e67e88,1,8,5356511.83,108.54,1
78635879d1,1,5,23920153.71,178.74,1
71f4e16f01,0,0,22241226.13,174.46,0
62149b123f,1,5,21980614.27,173.77,1
4c3eb31272,1,5,23534090.03,177.77,1
460d2edc1f,0,0,6124578.34,113.5,0
6c40e5c997,0,0,26702532.33,174.49,0
ce97697488,1,4,23494161.78,177.67,1
4df0d9ee3b,0,0,22539536.02,175.23,0
5a236efd3f,1,8,32539568.3,177.04,1
b8c054770f,0,0,27818324.03,176.88,0
1bc76d1c73,1,7,20641971.32,160.14,1
1c4722b997,1,3,29106677.02,179.57,1
0e67dd57aa,0,0,17050615.62,159.67,0
88977397af,1,4,22568349.31,175.31,1
84a3d643c9,0,0,24293566.82,169.07,0
19190c022d,0,0,19133912.74,156.14,0
cadd62d564,1,9,24560878.38,180.32,1
d0016e25b4,1,8,22588818.29,165.02,1
724362e429,0,0,13206155.48,137.99,0
2b478a564d,0,0,11185637.64,138.74,0
999c5041c4,1,5,25006126.71,170.71,1
06f00def5a,0,0,17650459.31,161.52,0
23582772c8,1,2,24349787.47,179.81,1
61397f1d85,0,0,21655896.47,172.91,0
ca40b2e629,0,0,18188028.88,153.52,0
80d9c3cc28,1,4,23195000.06,176.92,1
bcfcfb49cf,1,1,20972368.03,171.07,1
9568bafb15,0,0,21286085.32,171.92,0
47e406daef,1,7,23452762.45,177.57,1
ad47c2dda3,0,0,11202872.22,138.81,0
096fc37df4,1,8,22929913.92,157.54,1
0b6029ea29,0,0,21520032.44,172.55,0
0ed21e60e5,0,0,28702674.78,178.74,0
5a9f1f61c7,1,8,25524718.17,182.65,1
02fd90e690,0,0,18976743.77,165.47,0
3557fb1c6f,0,0,24343047.84,169.19,0
61550040fc,0,0,23147148.59,176.79,0
f0fcb8f048,1,10,24137805.17,179.28,1
691ec52085,0,0,27292224.3,175.76,0
9a629191f0,1,7,20931515.17,170.96,1
33e625a829,1,4,25015210.53,181.43,1
b91403ddc4,0,0,15326389.05,154.09,0
71073d1e77,1,3,5402389.33,108.85,1
58a2b00e32,0,0,18819926.57,165.01,0
03fca7f787,1,8,27280764.66,175.74,1
939c53fc68,0,0,20963328.02,171.05,0
dc652af4e1,0,0,27585227.86,176.39,0
98e5a44c50,1,6,24039650.3,179.04,1
e1017ed35e,0,0,22537401.21,175.23,0
ee6f8a466e,0,0,19007386.86,165.56,0
bc259c8444,0,0,25043571.16,170.8,0
fc41667c54,1,4,24432752.63,180.01,1
b4e38b5ba0,1,5,23261162.49,177.08,1
ed8eb43829,0,0,23764089.38,178.35,0
2d7a6c7193,1,5,24674991.8,180.6,1
c4d87c45ee,0,0,23398813.5,177.43,0
62a7129a59,0,0,8181819.93,125.0,0
1e3994853e,0,0,22743352.08,175.76,0
b28f9ec7d4,1,7,29360690.66,180.09,1
634ad45f7e,0,0,23610436.19,167.47,0
75912c8e4c,0,0,20002682.22,168.4,0
d07bc4ae63,1,9,21231980.81,161.65,1
9696ce2491,1,4,23144053.42,176.79,1
7036dbff3e,0,0,15371738.47,145.15,0
c98968025a,1,10,15992205.75,156.29,1
9d449a31b9,1,7,2857171.52,88.03,1
12f8de3472,1,2,14682902.38,142.95,1
afc6771a1e,0,0,19035574.34,165.64,0
55c2a4dc5e,0,0,22895091.52,176.15,0
3779c3fe76,0,0,20201056.04,168.95,0
cd01ef6fd0,1,4,23211547.73,176.96,1
63803c4eb1,0,0,25888213.0,164.04,0
20dcee6871,1,4,23941522.97,178.79,1
53856bd8ca,1,6,17433402.56,151.37,1
da38a63176,1,7,25712205.8,172.3,1
8196db66b3,0,0,8183194.52,125.01,0
f004cb791e,1,3,23295178.37,177.17,1
15955262e1,1,4,18453488.58,154.27,1
c3662e3808,1,6,18828375.29,155.3,1
7dc225fd37,1,4,5907360.86,112.14,1
373ea01e5c,1,6,17058483.7,150.28,1
17fee1a6ac,1,4,17868418.39,152.62,1
66d46fcd47,1,10,18787864.49,147.42,1
dffeed89fb,0,0,18349917.85,163.62,0
cd3cb2af45,1,4,27713367.13,176.66,1
5d262aaec3,0,0,24708961.84,170.03,0
db6da7e17a,0,0,22182225.33,174.3,0
73573955bb,1,10,23483500.2,177.65,1
f2bbbfc167,0,0,18923481.76,155.56,0
f929aa33ac,0,0,13136525.29,146.37,0
28d83c4b42,1,7,23511620.75,177.72,1
0ddd78edbb,0,0,15935746.45,156.11,0
d7ec4d3018,0,0,6972292.39,118.51,0
adc1c77061,1,7,23766105.64,167.84,1
931aa9655e,0,0,21050659.97,171.29,0
df2f64c1a1,1,10,24392144.41,179.91,1
f27ca4fefa,0,0,23728086.46,178.26,0
a7f6005fd2,1,8,3784110.11,96.67,1
4164b650a3,1,7,24876058.15,181.09,1
340ef3ab81,0,0,2595662.28,85.25,0
7ba9deb67e,1,7,29252496.09,179.87,1
785ce4730c,0,0,19668416.69,167.45,0
7135e43d15,0,0,21902522.23,173.57,0
dbf06f7273,0,0,6315279.82,114.67,0
8f64eb0a84,1,5,23100733.43,166.26,1
c87f4b2d09,1,4,16638671.73,158.37,1
c59e7444f5,1,5,22968097.93,176.34,1
111ab1a74e,0,0,23126767.67,166.32,0
762d1b3438,0,0,23749230.89,178.31,0
41e5776038,0,0,22177662.26,174.29,0
11c4291fc3,0,0,25680986.35,172.23,0
c8c30fa0a1,1,9,23468623.8,177.61,1
41a9345e47,0,0,27420002.72,176.04,0
6edc6616b2,1,9,17243704.11,160.27,1
82b29167c3,0,0,19553849.3,157.27,0
cbdac2fac3,1,6,6048005.21,113.03,1
9891e1dd90,1,9,25650699.37,172.16,1
5087e1422a,0,0,20618026.7,160.08,0
5d94c085f5,1,8,27243571.88,166.86,1
cc71651dca,1,2,21001315.0,171.15,1
b7f420628f,1,3,17275343.45,150.91,1
1a2a63b5eb,0,0,23852842.9,168.04,0
9eeb4737e9,1,5,24057312.53,179.08,1
8e17c1b492,0,0,12527792.8,135.58,0
35e0e185b7,1,5,16274822.38,157.21,1
15c488fdb9,1,3,22777294.55,175.85,1
52be76d999,0,0,21330624.73,172.04,0
2d148d0e47,1,3,24522358.67,180.23,1
a4eac32597,0,0,23540501.2,177.79,0
f94aaeed85,0,0,19341801.39,166.52,0
a9283be55d,0,0,12441948.24,143.75,0
27d9c8dc46,0,0,15706884.13,155.36,0
2c89a9e0dc,1,6,24136079.19,179.28,1
c45231c414,0,0,24443579.71,180.04,0
7fdb421436,1,4,4359962.3,101.34,1
b323933feb,1,3,12805965.79,136.58,1
c5f014b287,1,7,8183980.07,125.01,1
8d88177d24,0,0,21081204.75,161.27,0
e1c4b2ed14,1,9,24459779.53,180.08,1
a568c633c8,1,7,15595256.11,145.85,1
0187c7d64a,0,0,16018708.39,156.38,0
189d8d8d1b,0,0,23414195.25,177.47,0
57f00e3f50,0,0,21378258.52,172.17,0
d427d38a9f,1,4,23702816.65,178.2,1
f1337406a3,1,7,24904481.1,170.48,1
ecbe2dc98a,0,0,4530436.89,102.65,0
354b63d6d6,1,4,23980399.83,178.89,1
fce0550f04,0,0,22401219.87,174.87,0
f7a8fcf1b2,0,0,22350706.72,174.74,0
8c80ad65b6,0,0,16381233.15,157.55,0
65154f1c30,1,6,33058815.2,177.97,1
e6f9f9e411,1,7,20555077.26,169.93,1
24e153416d,1,7,24584125.5,180.38,1
38ade68c1e,0,0,17514348.15,161.1,0
eacab5ee97,0,0,15736808.44,155.46,0
fadaa4a404,0,0,24452093.91,180.06,0
ebda9e7b67,1,6,24560947.66,180.32,1
de8a7cab3b,0,0,22156022.53,174.23,0
5573af18db,1,3,23625876.83,178.01,1
e13216033f,0,0,23457984.52,177.58,0
bee1d78260,0,0,15047737.57,153.15,0
2a8b6fc81d,1,3,22369834.57,174.79,1
2320636026,0,0,15228946.23,153.77,0
e976b29c9d,0,0,22916772.58,176.21,0
dc0074adc3,0,0,23768102.21,178.36,0
303a3df484,0,0,25072704.41,170.86,0
02b9381952,1,10,28628624.3,178.58,1
08caaac3af,0,0,8183587.29,125.01,0
0ad458611c,1,9,26867766.82,174.85,1
c2fe0ab024,0,0,12918358.22,145.56,0
91474e8269,1,6,23278830.96,177.13,1
32d2bbd884,0,0,8181819.93,125.0,0
f343101fe6,0,0,15331289.88,154.11,0
1cf19da3a9,0,0,22888837.65,176.13,0
fc241018ec,1,6,24061877.22,179.09,1
2c6958242d,0,0,21893148.37,173.54,0
950050e41a,0,0,18198127.09,163.17,0
7ec564c9db,0,0,7076231.21,119.1,0
2e4e7545f5,1,7,8182212.66,125.01,1
f9c2058d1a,0,0,4131001.38,99.54,0
28100766c8,1,8,7376628.67,120.76,1
bbf8578e8c,1,7,22894556.13,176.15,1
8478dfd6f7,0,0,20555653.92,169.93,0
6f1e390274,0,0,20551199.05,169.92,0
b12b67a0db,0,0,15900164.83,155.99,0
28728de334,0,0,8183587.29,125.01,0
5d6505f12a,1,9,23469192.68,167.14,1
2c64149009,0,0,23096519.22,176.67,0
ed45fe3a8d,0,0,25070071.5,181.56,0
b1f20b8a8c,1,3,24153002.38,179.32,1
43cb04ad80,1,2,22306106.59,174.63,1
3a375c2f6d,0,0,19992135.32,168.37,0
0fa7096d5a,1,7,27199368.81,175.56,1
3c196b299c,0,0,19174506.12,166.04,0
1a67be5b7f,0,0,17163494.51,160.02,0
862f6cbc45,1,4,28607813.23,178.54,1
9883f23173,0,0,23451777.15,177.57,0
22c13af7a1,0,0,21139551.18,171.53,0
ac70f57b73,1,6,23828730.32,178.51,1
60a971a839,0,0,22362146.13,174.77,0
e941b86692,1,4,23349521.1,177.31,1
8dcb447d0f,0,0,22653827.96,175.53,0
0130446f7e,0,0,21550422.15,172.63,0
d1ebd8161b,1,7,25865621.06,172.64,1
d056d7ce4a,0,0,21379046.49,172.17,0
74136dc7b0,0,0,10631282.79,136.41,0
61dc46303f,0,0,14521201.76,151.35,0
8fbf42f886,0,0,15879034.88,155.92,0
7388512271,1,5,17322593.92,160.51,1
b6ae409cbf,0,0,17541199.75,161.18,0
622de7102b,1,6,19380816.06,148.95,1
996190e522,1,5,27597315.26,176.41,1
f7bd18e491,0,0,20246522.28,159.11,0
556d6c2378,1,9,27511439.69,176.23,1
ff559623e3,0,0,22535588.04,175.22,0
a38e0777cd,0,0,17898097.71,162.27,0
4c2540c708,1,7,29206991.47,179.78,1
b7069c3852,1,3,24052155.34,179.07,1
81714ff4c3,0,0,20094157.55,158.71,0
f3f5dfde4c,1,5,23347409.34,177.3,1
e12feef736,0,0,21560476.13,172.66,0
fba15f0324,0,0,22924592.88,176.23,0
350e107aae,0,0,22847924.21,176.03,0
22091a7056,1,5,24614993.42,180.46,1
03d3903c7c,0,0,22771213.71,175.83,0
2211d3100d,0,0,17935876.29,162.38,0
459f704847,0,0,23296558.65,177.17,0
575810e85b,1,4,24279312.19,179.63,1
182edcdd37,1,2,16070517.57,156.55,1
e47a782635,1,4,19390627.9,148.98,1
2705d84a32,1,7,26726946.02,165.8,1
92810d80b3,0,0,17580066.65,151.79,0
7e5521abbb,1,8,20765780.65,170.51,1
b9ec32251d,0,0,6833439.75,117.72,0
7c376afd56,1,6,21031158.35,161.14,1
0cb785b3d6,0,0,13896393.68,149.14,0
7bf42c3a49,1,3,19149578.0,156.18,1
c3b1779520,1,4,14470619.24,142.26,1
37a4cea3d7,0,0,21625623.69,162.64,0
57733c8324,1,8,23810650.66,178.47,1
467216187a,0,0,22545591.36,175.25,0
e00bc2a5e5,1,1,17219314.47,160.19,1
b2c9872c2d,1,6,23252943.83,177.06,1
792f609a6f,0,0,23390594.67,177.41,0
b9c3618013,0,0,4854453.49,105.04,0
3aa8ce54ee,0,0,16932240.93,159.3,0
4b4e90bd89,1,3,28111397.22,177.5,1
764f599826,0,0,29663099.14,180.71,0
83c39baf65,1,9,24745644.49,180.77,1
927dbfac0b,0,0,25243050.27,171.25,0
8e65d7f5b1,0,0,18429905.15,163.86,0
f0f8b2423b,1,8,23434608.2,177.52,1
31aeef2350,0,0,19954522.51,168.26,0
83775e646f,0,0,13992186.88,149.49,0
2ed96a351c,1,6,23599096.98,177.94,1
c1cc584fd5,0,0,18680913.93,164.6,0
11452e96e6,1,7,22233827.03,174.44,1
80ce70725d,0,0,18951901.83,165.39,0
75447b1ce9,0,0,6947612.15,118.37,0
f61290c372,1,3,22524711.41,175.2,1
71efb681fc,1,3,21004036.66,161.07,1
13b6f1c19c,0,0,26612229.19,174.29,0
ee9099d9b7,1,7,29494269.75,171.33,1
38d523ac80,0,0,23776751.73,178.38,0
4bf29f7756,1,3,23934620.73,178.78,1
8a78a0e229,0,0,20449945.15,169.64,0
5fec320399,0,0,6382932.3,115.07,0
822326926a,1,4,27471247.3,176.14,1
0a6e8b3547,1,6,5348373.26,108.49,1
8bc980ecf5,1,5,24821470.81,180.96,1
18daa88e4f,0,0,22259551.24,174.51,0
b6d872712f,1,6,25055162.0,181.52,1
7c40c9ebf8,1,4,24492238.09,180.16,1
28f3b831a2,0,0,23972099.42,178.87,0
20af608f42,1,2,21423086.68,162.13,1
f03d90fb8f,0,0,21656580.36,172.92,0
3c04f1e4d3,0,0,16518634.56,157.99,0
123f4d1fb7,1,4,23988533.79,178.91,1
15474381ae,0,0,22437659.99,174.97,0
e905d91038,0,0,19841652.34,167.94,0
f7ed0ea8ba,1,2,22296376.15,174.6,1
176da50470,1,9,34047549.04,179.73,1
f83f785370,1,7,4899234.88,105.36,1
85aec51e58,1,4,18788868.2,164.92,1
4c224c8349,1,8,17338031.52,151.09,1
37270686ec,1,5,30141341.3,181.68,1
b9be6a525a,0,0,6318089.08,114.68,0
