planet_id,planet_name,star_id,planet_type,orbital_distance_au,mass,radius,gravity,temperature,water_percentage,atmosphere_type,resource_score,habitability_score
a6b59e416a,GDE-7293-b,b7b3fe33,Desert,0.3764,0.2512,0.6887,0.5297,495.48,1.62,Thin,34.1,38.13
6f1de1f829,GDE-7293-c,b7b3fe33,Rocky,0.6282,0.804,0.9428,0.9045,383.53,32.53,Moderate,43.04,68.7
2f5833d360,GDE-7293-d,b7b3fe33,Rocky,1.2186,0.8418,0.9546,0.9239,275.38,32.38,Moderate,38.7,81.48
255e1c25ce,GDE-7293-e,b7b3fe33,Ice,2.3541,0.4482,0.786,0.7254,198.13,54.04,Thin,32.14,64.57
030c592c1d,GDE-7293-f,b7b3fe33,Rocky,4.1716,1.2299,1.0575,1.0999,148.84,20.11,Moderate,35.75,42.9
32b06cee0c,GDE-7293-g,b7b3fe33,Ice,7.1335,2.5224,1.3199,1.4479,113.82,36.35,Reducing,27.86,28.65
7721dd16bc,GDE-7293-h,b7b3fe33,Ice,11.2907,0.4488,0.7864,0.7258,90.47,31.26,Thin,25.81,29.3
07d8cefe9d,Gaia-5646-b,7845146e,Gas Giant,0.3281,15.4302,4.0132,0.9581,67.33,0.0,Hydrogen-Helium,44.97,10.73
5e79e8884a,Gaia-5646-c,7845146e,Ice,0.5543,0.9178,0.9746,0.9663,51.8,10.99,Thin,26.7,22.2
916d95b0c6,Gaia-5646-d,7845146e,Ice,0.8662,1.5463,1.1397,1.1905,41.44,6.6,Reducing,30.77,17.32
11cfbe4a6f,Gaia-5646-e,7845146e,Ice,1.4633,0.6976,0.8976,0.8658,31.88,11.44,Thin,27.45,22.29
3c00287654,Gaia-5646-f,7845146e,Ice,3.1231,1.1103,1.0319,1.0427,21.82,4.94,Reducing,19.64,16.99
e5c7bd8ad9,Gaia-5646-g,7845146e,Gas Giant,5.6128,60.772,4.2979,3.29,16.28,0.0,Hydrogen-Helium,35.99,0.0
75cb5ccc2e,HIP 218139-b,042ce967,Ice,0.366,0.5727,0.846,0.8001,94.57,10.03,Thin,28.91,25.47
e1d6c4e307,HIP 218139-c,042ce967,Gas Giant,0.8354,3880.0713,5.2907,138.618,62.59,0.0,Hydrogen-Helium,43.98,0.26
f53726c405,HIP 218139-d,042ce967,Ice,1.4577,2.466,1.311,1.4348,47.39,9.12,Reducing,30.76,17.82
df8e51b9a7,HIP 218139-e,042ce967,Toxic World,2.616,4.2392,1.4984,1.888,35.37,1.28,Toxic,27.34,9.67
135cdc746d,Xylar-b,b2056bd6,Ice,0.5152,0.7076,0.9015,0.8708,74.62,14.82,Thin,32.27,24.42
6d9e7362a5,Xylar-c,b2056bd6,Gas Giant,1.0931,362.2779,4.6992,16.406,51.22,0.0,Hydrogen-Helium,40.22,0.0
962fd9e1ba,Xylar-d,b2056bd6,Ice,1.9396,1.4069,1.1078,1.1463,38.45,7.59,Reducing,29.48,17.52
9574a28db0,PSR 64400-b,a20cdf05,Lava World,0.1913,1.2264,1.0567,1.0984,720.19,0.0,Thin,49.46,27.28
16a52e1022,PSR 64400-c,a20cdf05,Toxic World,0.3742,2.1226,1.2346,1.3926,514.95,0.85,Toxic,32.15,25.96
3c4df11bb3,PSR 64400-d,a20cdf05,Rocky,0.5775,1.0848,1.0222,1.0382,414.53,28.21,Moderate,42.07,62.87
79089cb45c,PSR 64400-e,a20cdf05,Ocean,1.0296,0.6079,0.8613,0.8195,310.45,76.02,Thin,36.65,92.16
1b5daab6ce,Gliese 247.0-b,59f5e50e,Ice,0.1276,2.7693,1.3574,1.503,87.9,18.84,Reducing,36.26,22.54
0c827f9aec,Gliese 247.0-c,59f5e50e,Ice,0.1885,1.0197,1.0059,1.0078,72.32,17.01,Reducing,33.98,20.63
2a52e7fc7b,Gliese 247.0-d,59f5e50e,Ice,0.3447,0.4073,0.7638,0.6981,53.48,18.31,Thin,33.97,23.66
25d5fe6848,Gliese 247.0-e,59f5e50e,Gas Giant,0.5458,1274.0548,5.0041,50.8784,42.5,0.0,Hydrogen-Helium,41.39,0.0
b2a83d81ee,Iota Galacticis-b,1bf94b9c,Ocean,0.2001,1.1703,1.0483,1.0649,302.3,57.8,Thin,41.17,88.56
2cf8abc142,Iota Galacticis-c,1bf94b9c,Rocky,0.2825,0.5183,0.8374,0.7391,254.39,28.58,Thin,37.8,77.16
e5740595f1,Lambda Bulge-b,850c3810,Rocky,0.3709,1.6384,1.1426,1.255,337.23,20.04,Moderate,46.19,74.62
3dc676e0a9,Lambda Bulge-c,850c3810,Ocean,0.7587,1.7994,1.1927,1.2649,235.8,92.48,Moderate,41.31,96.08
b08a2d0181,Lambda Bulge-d,850c3810,Rocky,1.2688,0.5782,0.8625,0.7773,182.34,34.29,Thin,38.83,57.3
51a28a761c,Lambda Bulge-e,850c3810,Rocky,2.3826,0.5571,0.8539,0.7641,133.06,3.42,Thin,28.17,34.99
2b05e7c2e2,Lambda Bulge-f,850c3810,Gas Giant,3.3232,2884.3997,5.2128,106.1485,112.67,0.0,Hydrogen-Helium,33.84,5.27
bac891768b,Lambda Bulge-g,850c3810,Gas Giant,5.3724,570.917,4.8072,24.7047,88.61,0.0,Hydrogen-Helium,30.29,2.86
3501b511dc,Lambda Bulge-h,850c3810,Gas Giant,9.0105,22.0983,4.0859,1.3237,68.42,0.0,Hydrogen-Helium,27.65,10.84
1ff3ae3508,Lambda Bulge-i,850c3810,Ice,15.6594,0.3282,0.7159,0.6404,51.9,13.21,Thin,19.89,22.64
06fb9838aa,Lambda Bulge-j,850c3810,Ice,28.992,0.6253,0.8686,0.8288,38.15,12.45,Thin,21.56,22.49
a4b8d72c6b,Alpha Sagittarii-b,79de99a2,Desert,0.1165,0.8407,0.9542,0.9233,453.15,1.73,Moderate,38.13,46.91
1994f3d71f,Alpha Sagittarii-c,79de99a2,Rocky,0.2317,0.2115,0.6574,0.4894,321.41,23.22,None,45.25,67.97
6610ce45c4,Alpha Sagittarii-d,79de99a2,Ocean,0.4454,0.8212,0.9426,0.9242,231.8,80.59,Thin,41.48,90.3
d878a599ef,Alpha Sagittarii-e,79de99a2,Ice,0.863,0.3804,0.7483,0.6794,166.53,54.23,Thin,37.38,41.5
a135eff8f2,Alpha Sagittarii-f,79de99a2,Ice,1.8141,0.7358,0.9121,0.8845,114.86,20.03,Thin,25.49,29.5
27e29867d6,HD 82516-b,1fd4797d,Desert,0.1371,0.2518,0.6891,0.5303,566.94,0.07,Thin,33.09,34.54
32eade4261,HD 82516-c,1fd4797d,Desert,0.3115,0.2303,0.6727,0.5089,376.13,3.63,Thin,33.53,56.17
f5265c2b85,HD 82516-d,1fd4797d,Ocean,0.5642,3.7476,1.4864,1.6963,279.49,80.96,Moderate,43.53,94.88
f2eb86e09e,HD 82516-e,1fd4797d,Super Earth,0.6883,7.7109,1.8456,2.2638,253.04,31.3,Dense,52.34,73.47
0a09d75677,HD 82516-f,1fd4797d,Ice,1.0711,1.9906,1.2294,1.317,202.85,55.31,Reducing,41.01,63.53
441386e9bf,HD 82516-g,1fd4797d,Ice,1.862,0.5133,0.8187,0.7658,153.85,37.74,Thin,28.17,36.93
389cc82097,Helios III-b,683712a6,Ice,0.4382,0.8826,0.9632,0.9513,51.33,5.86,Thin,24.56,21.17
f584cb3e67,Helios III-c,683712a6,Gas Giant,0.953,1486.4658,5.0428,58.4525,34.81,0.0,Hydrogen-Helium,42.46,0.0
b043bde688,Helios III-d,683712a6,Gas Giant,1.9039,390.2345,4.7167,17.5411,24.63,0.0,Hydrogen-Helium,30.53,0.0
fb5dd35886,Helios III-e,683712a6,Gas Giant,3.2369,216.2782,4.5795,10.3128,18.89,0.0,Hydrogen-Helium,32.93,0.0
febb53efbe,Helios III-f,683712a6,Gas Giant,5.2296,52.3031,4.2657,2.8743,14.86,0.0,Hydrogen-Helium,33.64,0.84
faabe1c053,Helios III-g,683712a6,Ice,9.0652,2.8512,1.3693,1.5206,11.29,9.56,Reducing,24.73,17.77
1b285a426c,Webb-6470-b,8589d2bc,Rocky,0.2271,1.4397,1.1034,1.1825,134.96,12.3,Moderate,41.3,39.96
27b784bcf3,Webb-6470-c,8589d2bc,Ice,0.4507,0.4434,0.7835,0.7223,95.81,25.07,Thin,38.37,28.59
e9114071d3,Webb-6470-d,8589d2bc,Ice,0.6427,1.1502,1.0429,1.0576,80.24,9.58,Reducing,37.4,19.94
acb2cd2eda,Webb-6470-e,8589d2bc,Ice,1.0219,0.8518,0.953,0.9379,63.63,6.88,Thin,28.36,21.74
05e3f98c2c,Webb-6470-f,8589d2bc,Gas Giant,2.1441,1413.6195,5.0302,55.868,43.93,0.0,Hydrogen-Helium,37.76,0.0
e182b8c2ce,Webb-6470-g,8589d2bc,Gas Giant,4.5916,31.5642,4.1594,1.8245,30.02,0.0,Hydrogen-Helium,36.47,7.84
fe7f9bcd40,Omicron Galacticis-b,1ffcd021,Super Earth,0.1297,4.8593,1.6068,1.882,231.4,18.24,Moderate,55.0,76.24
55d771cd6b,Omicron Galacticis-c,1ffcd021,Rocky,0.2497,1.1338,1.0345,1.0595,166.76,32.93,Moderate,49.92,47.32
e394f7b131,Gaia-1477-b,2a478f10,Ice,0.1464,0.5226,0.8231,0.7714,160.28,24.24,Thin,34.72,34.88
22dd095908,Gaia-1477-c,2a478f10,Gas Giant,0.3402,443.2533,4.7468,19.6721,105.16,0.0,Hydrogen-Helium,42.45,4.52
2ea58a0c03,Gaia-1477-d,2a478f10,Gas Giant,0.7015,1029.3131,4.951,41.991,73.23,0.0,Hydrogen-Helium,42.03,1.32
ce32321f5f,Gaia-1477-e,2a478f10,Toxic World,1.2901,0.9282,0.9794,0.9677,54.0,0.09,Toxic,26.02,12.02
de5cc99770,Gaia-1477-f,2a478f10,Ice,2.0888,1.776,1.188,1.2583,42.44,9.76,Reducing,24.86,17.95
72dc25d44b,Gaia-1477-g,2a478f10,Ice,4.2193,2.7867,1.36,1.5067,29.86,4.88,Reducing,25.65,16.94
c08c8e7d1f,Gliese 622.0-b,0fe5f7e9,Ice,0.405,1.1669,1.0474,1.0637,54.79,10.85,Reducing,32.41,18.17
d6fa407537,Gliese 622.0-c,0fe5f7e9,Gas Giant,0.7925,867.5764,4.9089,36.0032,39.17,0.0,Hydrogen-Helium,38.23,0.0
52be4ffea1,Gliese 622.0-d,0fe5f7e9,Gas Giant,1.6994,1194.5627,4.988,48.0122,26.75,0.0,Hydrogen-Helium,28.77,0.0
6687ba9176,Gliese 622.0-e,0fe5f7e9,Gas Giant,3.7017,279.4692,4.6386,12.9887,18.12,0.0,Hydrogen-Helium,33.31,0.0
1561d6937a,HR 220748-b,e8a1b267,Ocean,0.3754,3.08,1.4014,1.5683,270.91,73.19,Moderate,39.31,94.18
4b480bde8a,HR 220748-c,e8a1b267,Ice,0.8336,0.4671,0.7958,0.7375,181.79,20.04,Thin,27.83,47.05
0505ead211,HR 220748-d,e8a1b267,Rocky,1.552,0.2833,0.7114,0.5598,133.23,0.85,None,33.23,27.49
309039a7d6,HR 220748-e,e8a1b267,Gas Giant,2.5791,196.7552,4.5579,9.471,103.35,0.0,Hydrogen-Helium,32.44,4.33
7e3335773c,HR 220748-f,e8a1b267,Ice,4.9232,0.4035,0.7617,0.6956,74.8,13.65,Thin,19.85,24.21
d2d9027e8a,HR 220748-g,e8a1b267,Ice,7.8071,1.8903,1.2105,1.2901,59.4,15.27,Reducing,23.6,19.05
fc9fc6f60c,HR 220748-h,e8a1b267,Ice,15.7573,0.4306,0.7767,0.7139,41.81,8.13,Thin,15.42,21.63
f28b9b6452,HR 152312-b,9429fae3,Ice,0.0969,0.9155,0.9739,0.9653,112.43,28.62,Thin,32.24,30.96
feb673549c,HR 152312-c,9429fae3,Ice,0.2049,1.5763,1.1463,1.1997,77.33,8.94,Reducing,31.84,19.52
fbbbb55aaa,Kepler-3298-b,d5ba3da8,Ice,0.1529,0.7152,0.9043,0.8745,155.94,16.38,Thin,30.77,32.87
f3fea3e9fd,Kepler-3298-c,d5ba3da8,Ice,0.2404,0.3684,0.7411,0.6707,124.38,29.09,Thin,33.6,32.26
ca6121cd6b,Kepler-3298-d,d5ba3da8,Gas Giant,0.492,413.1692,4.7301,18.4663,86.94,0.0,Hydrogen-Helium,37.77,2.69
4f39ef1b2f,Kepler-3298-e,d5ba3da8,Gas Giant,0.6882,562.4905,4.8037,24.3763,73.51,0.0,Hydrogen-Helium,38.19,1.35
751d3b2316,Webb-1448-b,ebd6dd77,Ice,0.305,1.6694,1.1662,1.2275,144.22,29.99,Reducing,40.05,30.42
647deea875,PSR 38803-b,4928468b,Ice,0.1444,0.9449,0.9831,0.9776,82.94,15.14,Thin,35.65,25.32
6748edeef3,Zeta Orionis-b,ee503b26,Rocky,0.4407,0.1669,0.6166,0.4388,365.3,26.75,None,40.67,57.62
67e993c183,Zeta Orionis-c,ee503b26,Ocean,0.6006,1.6413,1.1603,1.2192,312.93,62.6,Moderate,38.21,92.23
d233c01602,Zeta Orionis-d,ee503b26,Rocky,1.0075,0.2637,0.6978,0.5416,241.61,17.02,None,32.89,66.56
80d150adad,Zeta Orionis-e,ee503b26,Ice,2.1145,1.0162,1.0048,1.0064,166.78,46.16,Reducing,31.01,35.94
47a8734826,Zeta Orionis-f,ee503b26,Ice,4.717,1.1438,1.0411,1.0552,111.66,15.48,Reducing,25.35,24.27
fcf16564d0,Nu Orionis-b,a5aa5b1a,Gas Giant,0.2829,28.7867,4.1403,1.6793,65.6,0.0,Hydrogen-Helium,41.53,9.36
257395f89a,Nu Orionis-c,a5aa5b1a,Ice,0.4734,0.7744,0.9262,0.9028,50.71,9.49,Thin,27.83,21.9
daccf7d076,Nu Orionis-d,a5aa5b1a,Ice,0.7496,1.6715,1.1666,1.2281,40.3,8.15,Reducing,31.19,17.63
fb7c91bdf6,Kepler-1900-b,29debf93,Ice,0.4595,0.7406,0.9138,0.8868,48.49,14.75,Thin,32.6,22.95
8f2dfb2668,Kepler-1900-c,29debf93,Ice,0.982,2.3812,1.2973,1.4149,33.17,10.24,Reducing,30.52,18.05
ae8a016dc4,Kepler-1900-d,29debf93,Gas Giant,1.9721,248.6997,4.6116,11.6942,23.41,0.0,Hydrogen-Helium,33.73,0.0
c41ff9566a,Kepler-1900-e,29debf93,Gas Giant,4.0031,133.6025,4.4705,6.6849,16.43,0.0,Hydrogen-Helium,34.46,0.0
2bb82edd43,Kepler-1900-f,29debf93,Gas Giant,8.449,2372.2708,5.1621,89.025,11.31,0.0,Hydrogen-Helium,29.28,0.0
964fbcbd3d,Kepler-1900-g,29debf93,Gas Giant,16.9066,167.0956,4.5208,8.1758,7.99,0.0,Hydrogen-Helium,27.25,0.0
71ebe4bdb0,Kepler-1900-h,29debf93,Gas Giant,31.1436,97.4006,4.4004,5.03,5.89,0.0,Hydrogen-Helium,30.49,0.0
e6078423a6,HR 202512-b,f8c6eeef,Lava World,0.1597,1.5826,1.132,1.2351,675.09,0.0,None,44.01,20.79
f9d1220bcc,HR 202512-c,f8c6eeef,Desert,0.3099,0.8343,0.9523,0.9201,484.6,1.58,Moderate,36.59,42.57
c7b67b8c8a,HR 202512-d,f8c6eeef,Rocky,0.6395,0.1723,0.622,0.4453,337.34,36.34,None,43.21,65.12
cbd443de9a,HR 202512-e,f8c6eeef,Ocean,1.076,1.3068,1.0836,1.113,260.06,92.63,Thin,41.82,95.53
1390bbfc02,HR 202512-f,f8c6eeef,Ice,1.8502,0.4133,0.7671,0.7023,198.32,24.83,Thin,29.26,58.85
bea2a90b10,HR 202512-g,f8c6eeef,Rocky,3.9661,1.3635,1.0873,1.1533,135.45,25.25,Moderate,37.65,42.59
456491b178,HR 202512-h,f8c6eeef,Ice,7.0651,1.8501,1.2027,1.279,101.49,10.73,Reducing,19.67,22.3
5c3a9ccb66,HR 213196-b,3345c976,Ice,0.3525,2.2234,1.2709,1.3766,171.62,39.42,Reducing,37.83,38.87
1c3adc0114,HR 213196-c,3345c976,Ice,0.6887,0.7185,0.9056,0.8761,122.79,35.13,Thin,32.0,33.31
c4b9c02be6,HR 213196-d,3345c976,Gas Giant,0.9975,15.3932,4.0127,0.956,102.03,0.0,Hydrogen-Helium,41.15,14.2
a1bd1c7bea,HR 213196-e,3345c976,Gas Giant,1.4553,151.938,4.4994,7.5052,84.47,0.0,Hydrogen-Helium,31.02,2.45
feff1e26e3,HR 213196-f,3345c976,Ice,2.1777,0.666,0.8852,0.8499,69.05,12.89,Thin,22.26,23.49
9407f095b2,TESS-1874-b,6c9a2d21,Rocky,0.3653,1.9814,1.2028,1.3696,287.59,20.09,Moderate,41.67,79.02
f1d13d0cbe,TESS-1874-c,6c9a2d21,Rocky,0.6353,0.9456,0.985,0.9746,218.08,8.4,Moderate,43.43,72.49
f46b51bec5,TESS-1874-d,6c9a2d21,Rocky,0.9607,0.4066,0.7843,0.661,177.35,22.17,Thin,37.14,51.09
18db13172d,TESS-1874-e,6c9a2d21,Rocky,1.557,0.5431,0.848,0.7552,139.31,1.83,Thin,30.56,35.3
1f792b15f8,TESS-1874-f,6c9a2d21,Gas Giant,3.4985,285.8566,4.6438,13.2555,92.93,0.0,Hydrogen-Helium,29.75,3.29
aea0e6cea0,TESS-1874-g,6c9a2d21,Gas Giant,6.0525,140.7116,4.4821,7.0042,70.65,0.0,Hydrogen-Helium,31.07,1.07
6b2db5afdf,TESS-1874-h,6c9a2d21,Gas Giant,8.1027,26.6637,4.1244,1.5674,61.07,0.0,Hydrogen-Helium,32.31,9.66
4ecee9b4cf,TESS-1874-i,6c9a2d21,Gas Giant,18.0277,2960.3141,5.2196,108.6596,40.94,0.0,Hydrogen-Helium,27.71,0.0
6aa639259d,TESS-5154-b,786ed7da,Rocky,0.2597,1.1213,1.0314,1.0541,488.84,16.2,Moderate,39.81,49.93
96179275f3,TESS-5154-c,786ed7da,Rocky,0.4188,0.1848,0.6339,0.4599,384.97,11.02,None,39.52,52.14
dfd78c851f,TESS-5154-d,786ed7da,Rocky,0.6092,0.1292,0.5755,0.3901,319.17,8.32,None,40.48,60.25
f4056d7620,TESS-5154-e,786ed7da,Toxic World,1.1287,0.7593,0.9258,0.8859,234.49,8.75,Toxic,31.99,56.2
2e5dc4bc53,TESS-5154-f,786ed7da,Rocky,1.5481,1.5302,1.1217,1.2161,200.22,24.99,Moderate,35.73,69.98
6c9d9f00d6,TESS-5154-g,786ed7da,Ice,2.8902,0.7191,0.9058,0.8764,146.54,36.28,Thin,28.1,35.91
b64564dc39,TESS-5154-h,786ed7da,Ice,4.1121,0.6642,0.8845,0.849,122.85,36.05,Thin,21.75,33.49
8050d9fd36,TESS-5154-i,786ed7da,Gas Giant,6.303,77.7063,4.351,4.1046,99.23,0.0,Hydrogen-Helium,30.2,3.92
bbb9eee2da,TESS-5154-j,786ed7da,Ice,11.9031,1.8067,1.1942,1.2669,72.21,9.28,Reducing,23.88,19.08
48cf681da7,Eta Bulge-b,bc8b8122,Ice,0.3226,2.8942,1.3755,1.5297,54.08,12.52,Reducing,32.99,18.3
ba8d5ca08a,Eta Bulge-c,bc8b8122,Gas Giant,0.6588,681.5127,4.85,28.9728,37.84,0.0,Hydrogen-Helium,37.6,0.0
4bc1f79228,Eta Bulge-d,bc8b8122,Ice,1.1706,0.3934,0.7559,0.6886,28.39,9.77,Thin,28.01,21.95
3e4c21bc9e,Eta Bulge-e,bc8b8122,Gas Giant,2.211,144.2814,4.4877,7.164,20.66,0.0,Hydrogen-Helium,30.47,0.0
ebe4dde7c6,Eta Bulge-f,bc8b8122,Ice,4.0086,0.4826,0.8036,0.7472,15.34,4.11,Thin,17.92,20.82
6146d170ef,Gliese 912.0-b,6473ca1f,Gas Giant,0.1673,1619.2449,5.0645,63.1314,74.03,0.0,Hydrogen-Helium,44.17,1.4
0ebad68534,PSR 282660-b,f5086a77,Gas Giant,0.2823,435.8323,4.7428,19.3754,82.01,0.0,Hydrogen-Helium,41.5,2.2
7f53c2d10a,PSR 282660-c,f5086a77,Gas Giant,0.5165,1609.9735,5.063,62.8059,60.63,0.0,Hydrogen-Helium,45.26,0.06
ee4246403b,Gliese 195.0-b,1da6419e,Ice,0.2613,0.3377,0.722,0.6478,82.91,18.58,Thin,38.58,26.01
0608592e8e,Gliese 195.0-c,1da6419e,Ice,0.578,1.2602,1.0719,1.0969,55.75,12.18,Reducing,31.71,18.44
417c3f2ebf,Gliese 195.0-d,1da6419e,Ice,1.3418,1.6044,1.1524,1.2082,36.59,8.95,Reducing,27.02,17.79
50c4f2eb7d,Gliese 195.0-e,1da6419e,Ice,2.1021,0.8646,0.9573,0.9435,29.23,4.76,Thin,28.45,20.95
4f1a3a03db,GDE-6664-b,e24dc40c,Lava World,0.1303,0.8919,0.9696,0.9488,702.65,0.0,Thin,45.26,27.47
6c72287d9e,GDE-6664-c,e24dc40c,Lava World,0.1798,1.6149,1.1381,1.2467,598.07,0.0,Thin,39.47,28.93
5a5b316ba4,GDE-6664-d,e24dc40c,Desert,0.3558,2.1717,1.2329,1.4287,425.19,1.75,Moderate,36.49,50.96
a8517fe13d,GDE-6664-e,e24dc40c,Super Earth,0.7977,3.3425,1.4362,1.6204,283.98,51.45,Moderate,51.45,87.49
5c70149dd2,GDE-6664-f,e24dc40c,Toxic World,1.5226,1.9735,1.2097,1.3487,205.55,3.45,Toxic,33.02,50.64
5e04709ff2,GDE-6664-g,e24dc40c,Rocky,2.3809,1.4171,1.0987,1.1739,164.37,17.43,Moderate,38.64,43.93
f105a6ef6a,GDE-6664-h,e24dc40c,Gas Giant,4.8749,21.6094,4.0813,1.2973,114.87,0.0,Hydrogen-Helium,31.08,15.49
4385918404,GDE-6664-i,e24dc40c,Gas Giant,9.9406,303.5543,4.6578,13.9919,80.44,0.0,Hydrogen-Helium,26.22,2.04
dfc63caa10,GDE-6664-j,e24dc40c,Gas Giant,15.064,494.8621,4.773,21.722,65.35,0.0,Hydrogen-Helium,31.78,0.53
38f42faf9e,GDE-6664-k,e24dc40c,Ice,29.3139,2.2583,1.2768,1.3852,46.85,9.57,Reducing,23.8,17.91
c16fa964e3,GDE-1542-b,5d0296c5,Ice,0.2772,0.785,0.93,0.9077,53.77,11.04,Thin,36.78,22.21
b30526b408,GDE-1542-c,5d0296c5,Ice,0.6271,0.3023,0.6985,0.6197,35.74,8.67,Thin,27.76,21.73
8943751b91,GDE-1542-d,5d0296c5,Ice,0.9052,0.5935,0.8551,0.8117,29.75,6.34,Thin,27.93,21.27
c71b63df12,GDE-1542-e,5d0296c5,Toxic World,1.2726,0.521,0.8331,0.7506,25.09,2.96,Toxic,26.47,12.59
11ec25132b,GDE-1542-f,5d0296c5,Gas Giant,2.3071,133.713,4.4707,6.6899,18.64,0.0,Hydrogen-Helium,32.87,0.0
1f5f7e866f,Gaia-6318b-b,2f81b056,Ice,0.154,0.5114,0.8178,0.7647,78.38,26.31,Thin,33.61,27.1
7772002f85,Gaia-6318b-c,2f81b056,Gas Giant,0.3108,1553.1165,5.0539,60.8062,55.17,0.0,Hydrogen-Helium,44.09,0.0
2de62d57ef,Gaia-6318b-d,2f81b056,Gas Giant,0.6822,40.2108,4.21,2.2687,37.24,0.0,Hydrogen-Helium,39.91,4.88
44b1f557d4,Kappa Cygni-b,65140e7f,Desert,0.1901,0.3985,0.78,0.6549,527.09,0.55,Thin,37.03,35.57
7bfae8fcdf,Kappa Cygni-c,65140e7f,Toxic World,0.2852,3.5577,1.4267,1.7479,430.4,0.38,Toxic,36.81,35.27
5cbd01a654,Kappa Cygni-d,65140e7f,Desert,0.437,0.804,0.9428,0.9045,347.7,0.43,Moderate,42.44,63.66
433b66b9ba,Kappa Cygni-e,65140e7f,Ocean,1.018,0.8581,0.9551,0.9406,227.8,82.55,Thin,39.84,90.29
c0e79931c7,Kappa Cygni-f,65140e7f,Rocky,1.9353,1.7855,1.1694,1.3056,165.22,3.62,Moderate,36.57,41.24
5bdb17475a,Kappa Cygni-g,65140e7f,Ice,2.8663,2.1297,1.2546,1.3531,135.76,30.38,Reducing,27.24,29.66
