rank,empire_name,influence_score,lifespan_rank,historical_rank
74,The Consolidated Zelari Systems,1807.0,74,74
75,The Consolidated Aurelari Systems,1794.0,75,75
76,The Perseian Technocracy,1782.0,76,76
77,The Consolidated Persean Systems,1763.0,77,77
78,The Great Solis Imperium,1759.0,78,78
79,The Zylaran AI Hegemony,1757.0,79,79
80,The Consolidated Orionan Systems,1749.0,80,80
81,The Great Orionan Imperium,1748.0,81,81
82,The Great Xenex Imperium,1745.0,82,82
83,The Consolidated Soloid Systems,1732.0,83,83
84,The Solex Star Empire,1722.0,84,84
85,The Aethelgardan AI Hegemony,1721.0,85,85
86,The Omega-bulgis AI Hegemony,1720.0,86,86
87,The Zylarex AI Hegemony,1720.0,87,87
88,The Gamma-cygnis Technocracy,1715.0,88,88
89,The Great Dominion Imperium,1701.0,89,89
90,The Thranis Technocracy,1699.0,90,90
91,The Consolidated Delta-bulgis Systems,1699.0,91,91
92,The Nu-cygnis Star Empire,1691.0,92,92
93,The Consolidated Aethelgardan Systems,1681.0,93,93
94,The Meroid Technocracy,1672.0,94,94
95,The Iota-sagittariis Technocracy,1655.0,95,95
96,The Perseian AI Hegemony,1654.0,96,96
97,The Consolidated Merari Systems,1642.0,97,97
98,The Consolidated Thranian Systems,1640.0,98,98
99,The Great Beta-bulgis Imperium,1637.0,99,99
100,The Great Valis Imperium,1636.0,100,100
101,The Consolidated Orionite Systems,1633.0,101,101
102,The Consolidated Zeloid Systems,1627.0,102,102
103,The Great Merian Imperium,1618.0,103,103
104,The Great Orionex Imperium,1599.0,104,104
105,The Aureloid Star Empire,1596.0,105,105
106,The Valis AI Hegemony,1592.0,106,106
107,The Consolidated Thranis Systems,1590.0,107,107
108,The Thranite Technocracy,1577.0,108,108
109,The Great Vesperan Imperium,1574.0,109,109
110,The Vesperis Star Empire,1573.0,110,110
111,The Zelari AI Hegemony,1573.0,111,111
112,The Great Vesperis Imperium,1557.0,112,112
113,The Great Vesperari Imperium,1555.0,113,113
114,The Great Valari Imperium,1554.0,114,114
115,The Great Valian Imperium,1537.0,115,115
116,The Xenoid Technocracy,1535.0,116,116
117,The Great Solex Imperium,1530.0,117,117
118,The Consolidated Meroid Systems,1529.0,118,118
119,The Great Thranite Imperium,1524.0,119,119
120,The Consolidated Valari Systems,1492.0,120,120
121,The Great Meroid Imperium,1492.0,121,121
122,The Great Zylaris Imperium,1491.0,122,122
123,The Aurelis Technocracy,1486.0,123,123
124,The Zylarian Star Empire,1483.0,124,124
125,The Vesperian AI Hegemony,1458.0,125,125
126,The Merex AI Hegemony,1446.0,126,126
127,The Consolidated Xi-sagittariis Systems,1441.0,127,127
128,The Galactician Star Empire,1439.0,128,128
129,The Great Zylarian Imperium,1436.0,129,129
130,The Consolidated Xenian Systems,1433.0,130,130
131,The Vesperari Technocracy,1430.0,131,131
132,The Cygnian Star Empire,1428.0,132,132
133,The Zylarex Star Empire,1415.0,133,133
134,The Galactician Technocracy,1412.0,134,134
135,The Great Valoid Imperium,1408.0,135,135
136,The Aureloid AI Hegemony,1397.0,136,136
137,The Zelis AI Hegemony,1385.0,137,137
138,The Orionan Star Empire,1381.0,138,138
139,The Great Kaelumite Imperium,1373.0,139,139
140,The Great Kaelumari Imperium,1372.0,140,140
141,The Great Aurelite Imperium,1369.0,141,141
142,The Bulgian Technocracy,1367.0,142,142
143,The Great Aurelari Imperium,1364.0,143,143
144,The Solian Star Empire,1358.0,144,144
145,The Great Theta-orionis Imperium,1345.0,145,145
146,The Meran Technocracy,1345.0,146,146
147,The Great Zelian Imperium,1342.0,147,147
148,The Orionan Technocracy,1341.0,148,148
149,The Thranis Star Empire,1335.0,149,149
150,The Meroid AI Hegemony,1329.0,150,150
151,The Bulgan Technocracy,1314.0,151,151
152,The Vesperian Star Empire,1309.0,152,152
153,The Sagittariite Technocracy,1301.0,153,153
154,The Primite Star Empire,1277.0,154,154
155,The Merian AI Hegemony,1260.0,155,155
156,The Sagittarian Technocracy,1259.0,156,156
157,The Great Orionis Imperium,1217.0,157,157
158,The Consolidated Kaelumex Systems,1214.0,158,158
159,The Vesperite AI Hegemony,1180.0,159,159
160,The Great Gamma-orionis Imperium,1176.0,160,160
161,The Gamma-sagittariis Technocracy,1155.0,161,161
162,The Consolidated Beta-bulgis Systems,1135.0,162,162
163,The Aurelian AI Hegemony,1133.0,163,163
164,The Persean AI Hegemony,1116.0,164,164
165,The Orionex AI Hegemony,1114.0,165,165
166,The Great Cygnian Imperium,1072.0,166,166
167,The Consolidated Aurelex Systems,1042.0,167,167
168,The Great Sagittarian Imperium,1039.0,168,168
169,The Aurelex Star Empire,1018.0,169,169
170,The Thranite Star Empire,970.0,170,170
171,739bb87006,610.0,171,171
172,7664b6b371,605.0,172,172
173,14c594f145,505.0,173,173
174,8f64eb0a84,405.0,174,174
175,Great-Great Defense Pact,300.0,175,175
176,The Great-Great Scientific Alliance,270.0,176,176
177,dc652af4e1,215.0,177,177
178,2640424e04,210.0,178,178
179,7c376afd56,210.0,179,179
180,adc1c77061,205.0,180,180
181,Great-Consolidated Defense Pact,180.0,181,181
182,Great-Scientific Defense Pact,180.0,182,182
183,Great-Unified Defense Pact,165.0,183,183
184,The Consolidated-Great Scientific Alliance,135.0,184,184
185,Consolidated-Consolidated Defense Pact,135.0,185,185
186,373ea01e5c,125.0,186,186
187,The Consolidated-Consolidated Scientific Alliance,120.0,187,187
188,Scientific-Great Defense Pact,120.0,188,188
189,Consolidated-Great Defense Pact,120.0,189,189
190,5d94c085f5,120.0,190,190
191,822326926a,120.0,191,191
192,8e17c1b492,120.0,192,192
193,ee9099d9b7,120.0,193,193
194,f8a4edc83b,115.0,194,194
195,23979e6a05,115.0,195,195
196,53856bd8ca,115.0,196,196
197,0ed21e60e5,115.0,197,197
198,4c67325ea2,110.0,198,198
199,b8c054770f,110.0,199,199
200,691ec52085,110.0,200,200
201,The Scientific-Great Scientific Alliance,90.0,201,201
202,Scientific-Consolidated Defense Pact,90.0,202,202
203,The Great-Consolidated Scientific Alliance,90.0,203,203
204,The Great-Unified Scientific Alliance,75.0,204,204
205,The Unified-Great Scientific Alliance,75.0,205,205
206,Unified-Unified Defense Pact,75.0,206,206
207,Scientific Kaeluman Union,72.0,207,207
208,Cygnian Directorate,66.0,208,208
209,1c90d82c80,65.0,209,209
210,176da50470,65.0,210,210
211,Great-Zylarian Defense Pact,60.0,211,211
212,The Galactician-Great Scientific Alliance,60.0,212,212
213,Consolidated-Scientific Defense Pact,60.0,213,213
214,Unified-Great Defense Pact,60.0,214,214
215,c6642b2284,60.0,215,215
216,6c40e5c997,60.0,216,216
217,1c4722b997,60.0,217,217
218,7bf42c3a49,60.0,218,218
219,Unified Orionian Council,56.0,219,219
220,f8c1278b86,55.0,220,220
221,a500abb373,55.0,221,221
222,9594053f90,55.0,222,222
223,185a68bac9,55.0,223,223
224,c4f121b6c1,55.0,224,224
225,70a115d461,55.0,225,225
226,26b5626b6c,55.0,226,226
227,2f0954acad,55.0,227,227
228,511ff78315,55.0,228,228
229,95cba99a70,55.0,229,229
230,033668785c,55.0,230,230
231,243eff68e3,55.0,231,231
232,5db2756626,55.0,232,232
233,962632e3ac,55.0,233,233
234,7315025cfd,55.0,234,234
235,c56a0b9792,55.0,235,235
236,494354518b,55.0,236,236
237,e4a60e62b6,55.0,237,237
238,c64460376e,55.0,238,238
239,6dfc531f16,55.0,239,239
240,36b91772ac,55.0,240,240
241,3c983bfdab,55.0,241,241
242,30e300e760,55.0,242,242
243,6fbfc2a11d,55.0,243,243
244,3c4760ddea,55.0,244,244
245,23094db297,55.0,245,245
246,642e75a08d,55.0,246,246
247,b619dd5fb5,55.0,247,247
248,3e1c9fe27e,55.0,248,248
249,6ebb371c3c,55.0,249,249
250,f4a721a47f,55.0,250,250
251,63d8758b53,55.0,251,251
252,415811daec,55.0,252,252
253,5b3c302325,55.0,253,253
254,e23dc5e375,55.0,254,254
255,4a9574c523,55.0,255,255
256,2a34070c99,55.0,256,256
257,6657429a7c,55.0,257,257
258,5f5ebcf2f5,55.0,258,258
259,a987357567,55.0,259,259
260,cf1fb521d7,55.0,260,260
261,a03b53100a,55.0,261,261
262,ad899b1ed9,55.0,262,262
263,7994a1ada7,55.0,263,263
264,82f9ee8fb4,55.0,264,264
265,a222a74ae8,55.0,265,265
266,f714a79195,55.0,266,266
267,f0cb6b0a91,55.0,267,267
268,7be35390be,55.0,268,268
269,7652ec5c8d,55.0,269,269
270,8bd71d17f7,55.0,270,270
271,71d820677a,55.0,271,271
272,be3191b575,55.0,272,272
273,b75dce1421,55.0,273,273
274,4c8e6a8540,55.0,274,274
275,76c64a14d6,55.0,275,275
276,517cb43ce0,55.0,276,276
277,8853384409,55.0,277,277
278,bda6417e80,55.0,278,278
279,37b8da7a55,55.0,279,279
280,d957806d32,55.0,280,280
281,d5f12251b2,55.0,281,281
282,094756ff65,55.0,282,282
283,78635879d1,55.0,283,283
284,62149b123f,55.0,284,284
285,4c3eb31272,55.0,285,285
286,0e67dd57aa,55.0,286,286
287,19190c022d,55.0,287,287
288,d0016e25b4,55.0,288,288
289,2b478a564d,55.0,289,289
290,23582772c8,55.0,290,290
291,61397f1d85,55.0,291,291
292,bcfcfb49cf,55.0,292,292
293,0b6029ea29,55.0,293,293
294,3557fb1c6f,55.0,294,294
295,9a629191f0,55.0,295,295
296,33e625a829,55.0,296,296
297,03fca7f787,55.0,297,297
298,bc259c8444,55.0,298,298
299,b4e38b5ba0,55.0,299,299
300,ed8eb43829,55.0,300,300
301,1e3994853e,55.0,301,301
302,9696ce2491,55.0,302,302
303,7036dbff3e,55.0,303,303
304,12f8de3472,55.0,304,304
305,afc6771a1e,55.0,305,305
306,da38a63176,55.0,306,306
307,f004cb791e,55.0,307,307
308,cd3cb2af45,55.0,308,308
309,5d262aaec3,55.0,309,309
310,931aa9655e,55.0,310,310
311,4164b650a3,55.0,311,311
312,785ce4730c,55.0,312,312
313,c87f4b2d09,55.0,313,313
314,c59e7444f5,55.0,314,314
315,41e5776038,55.0,315,315
316,cc71651dca,55.0,316,316
317,15c488fdb9,55.0,317,317
318,a9283be55d,55.0,318,318
319,b323933feb,55.0,319,319
320,8d88177d24,55.0,320,320
321,e1c4b2ed14,55.0,321,321
322,a568c633c8,55.0,322,322
323,0187c7d64a,55.0,323,323
324,354b63d6d6,55.0,324,324
325,8c80ad65b6,55.0,325,325
326,e6f9f9e411,55.0,326,326
327,24e153416d,55.0,327,327
328,eacab5ee97,55.0,328,328
329,5573af18db,55.0,329,329
330,2a8b6fc81d,55.0,330,330
331,dc0074adc3,55.0,331,331
332,91474e8269,55.0,332,332
333,f343101fe6,55.0,333,333
334,950050e41a,55.0,334,334
335,bbf8578e8c,55.0,335,335
336,2c64149009,55.0,336,336
337,43cb04ad80,55.0,337,337
338,3a375c2f6d,55.0,338,338
339,1a67be5b7f,55.0,339,339
340,9883f23173,55.0,340,340
341,60a971a839,55.0,341,341
342,0130446f7e,55.0,342,342
343,61dc46303f,55.0,343,343
344,996190e522,55.0,344,344
345,556d6c2378,55.0,345,345
346,4c2540c708,55.0,346,346
347,b7069c3852,55.0,347,347
348,f3f5dfde4c,55.0,348,348
349,22091a7056,55.0,349,349
350,2211d3100d,55.0,350,350
351,182edcdd37,55.0,351,351
352,2705d84a32,55.0,352,352
353,7e5521abbb,55.0,353,353
354,c3b1779520,55.0,354,354
355,e00bc2a5e5,55.0,355,355
356,b2c9872c2d,55.0,356,356
357,764f599826,55.0,357,357
358,31aeef2350,55.0,358,358
359,c1cc584fd5,55.0,359,359
360,f61290c372,55.0,360,360
361,13b6f1c19c,55.0,361,361
362,38d523ac80,55.0,362,362
363,8bc980ecf5,55.0,363,363
364,18daa88e4f,55.0,364,364
365,7c40c9ebf8,55.0,365,365
366,20af608f42,55.0,366,366
367,f03d90fb8f,55.0,367,367
368,e905d91038,55.0,368,368
369,85aec51e58,55.0,369,369
370,4836a15586,50.0,370,370
371,22b55b78e2,50.0,371,371
372,8a41c4ac34,50.0,372,372
373,15286fa1f5,50.0,373,373
374,c7c9fca9a1,50.0,374,374
375,73cb158d41,50.0,375,375
376,7419a59432,50.0,376,376
377,bb1351012f,50.0,377,377
378,3be9d94e07,50.0,378,378
379,d2748466c9,50.0,379,379
380,b6e89e8b4d,50.0,380,380
381,37df7ce9be,50.0,381,381
382,52d6d92e6b,50.0,382,382
383,ea27a17ca6,50.0,383,383
384,0bfb7074dd,50.0,384,384
385,d8145cd1f0,50.0,385,385
386,d853839dba,50.0,386,386
387,2173a01d64,50.0,387,387
388,6d4e0abb77,50.0,388,388
389,a425d5c923,50.0,389,389
390,9cad00795f,50.0,390,390
391,155f4eead5,50.0,391,391
392,35b25d7eaf,50.0,392,392
393,4e674c46b8,50.0,393,393
394,24423298c0,50.0,394,394
395,95985a8620,50.0,395,395
396,80be4440e8,50.0,396,396
397,c7a93adf27,50.0,397,397
398,df2217070a,50.0,398,398
399,53e4b98264,50.0,399,399
400,075b3fb3b1,50.0,400,400
401,d401178af2,50.0,401,401
402,db90f4ff25,50.0,402,402
403,cfec2df928,50.0,403,403
404,a189e2924d,50.0,404,404
405,65ea513ebb,50.0,405,405
406,bceea7e00e,50.0,406,406
407,9875fc03a4,50.0,407,407
408,81601b2e5e,50.0,408,408
409,72196fa906,50.0,409,409
410,e3ba98a843,50.0,410,410
411,50f9748c73,50.0,411,411
412,cb16d2a5bc,50.0,412,412
413,cb312b9d86,50.0,413,413
414,53dc64803e,50.0,414,414
415,7df05aba52,50.0,415,415
416,e99c95009e,50.0,416,416
417,6957a14d13,50.0,417,417
418,8eadd942b0,50.0,418,418
419,5578b4053f,50.0,419,419
420,22e010a52d,50.0,420,420
421,0895acc0af,50.0,421,421
422,cd650c58ff,50.0,422,422
423,208f64f5f9,50.0,423,423
424,b53d4251d2,50.0,424,424
425,2b100070c5,50.0,425,425
426,a067552faf,50.0,426,426
427,9dbca7c528,50.0,427,427
428,26a6b7dcc3,50.0,428,428
429,87f864fe83,50.0,429,429
430,3ba7df6ae1,50.0,430,430
431,a31575c86a,50.0,431,431
432,98fbfa35fa,50.0,432,432
433,6eb9b1daf2,50.0,433,433
434,07a0027478,50.0,434,434
435,7f4ec7825c,50.0,435,435
436,a1d0ea467a,50.0,436,436
437,6d2f3e5ed1,50.0,437,437
438,63f01adf18,50.0,438,438
439,d378f96d17,50.0,439,439
440,56cd534bb7,50.0,440,440
441,c6e77e6789,50.0,441,441
442,ac4afd4a27,50.0,442,442
443,c5213edcba,50.0,443,443
444,2320e9a617,50.0,444,444
445,75a58165a0,50.0,445,445
446,b4221d6e15,50.0,446,446
447,b3ddaf54de,50.0,447,447
448,fa8159dac5,50.0,448,448
449,b0eb206a08,50.0,449,449
450,658cf93cc4,50.0,450,450
451,3b106fa102,50.0,451,451
452,e07661a882,50.0,452,452
453,71f4e16f01,50.0,453,453
454,ce97697488,50.0,454,454
455,4df0d9ee3b,50.0,455,455
456,88977397af,50.0,456,456
457,84a3d643c9,50.0,457,457
458,cadd62d564,50.0,458,458
459,724362e429,50.0,459,459
460,999c5041c4,50.0,460,460
461,06f00def5a,50.0,461,461
462,ca40b2e629,50.0,462,462
463,80d9c3cc28,50.0,463,463
464,9568bafb15,50.0,464,464
465,47e406daef,50.0,465,465
466,ad47c2dda3,50.0,466,466
467,5a9f1f61c7,50.0,467,467
468,02fd90e690,50.0,468,468
469,61550040fc,50.0,469,469
470,f0fcb8f048,50.0,470,470
471,b91403ddc4,50.0,471,471
472,58a2b00e32,50.0,472,472
473,98e5a44c50,50.0,473,473
474,e1017ed35e,50.0,474,474
475,ee6f8a466e,50.0,475,475
476,fc41667c54,50.0,476,476
477,2d7a6c7193,50.0,477,477
478,c4d87c45ee,50.0,478,478
479,634ad45f7e,50.0,479,479
480,75912c8e4c,50.0,480,480
481,c98968025a,50.0,481,481
482,55c2a4dc5e,50.0,482,482
483,3779c3fe76,50.0,483,483
484,cd01ef6fd0,50.0,484,484
485,20dcee6871,50.0,485,485
486,dffeed89fb,50.0,486,486
487,db6da7e17a,50.0,487,487
488,73573955bb,50.0,488,488
489,f929aa33ac,50.0,489,489
490,28d83c4b42,50.0,490,490
491,0ddd78edbb,50.0,491,491
492,df2f64c1a1,50.0,492,492
493,f27ca4fefa,50.0,493,493
494,7135e43d15,50.0,494,494
495,111ab1a74e,50.0,495,495
496,762d1b3438,50.0,496,496
497,11c4291fc3,50.0,497,497
498,c8c30fa0a1,50.0,498,498
499,41a9345e47,50.0,499,499
500,6edc6616b2,50.0,500,500
501,82b29167c3,50.0,501,501
502,5087e1422a,50.0,502,502
503,9eeb4737e9,50.0,503,503
504,35e0e185b7,50.0,504,504
505,52be76d999,50.0,505,505
506,2d148d0e47,50.0,506,506
507,a4eac32597,50.0,507,507
508,f94aaeed85,50.0,508,508
509,27d9c8dc46,50.0,509,509
510,2c89a9e0dc,50.0,510,510
511,c45231c414,50.0,511,511
512,189d8d8d1b,50.0,512,512
513,57f00e3f50,50.0,513,513
514,d427d38a9f,50.0,514,514
515,fce0550f04,50.0,515,515
516,f7a8fcf1b2,50.0,516,516
517,65154f1c30,50.0,517,517
518,38ade68c1e,50.0,518,518
519,fadaa4a404,50.0,519,519
520,ebda9e7b67,50.0,520,520
521,de8a7cab3b,50.0,521,521
522,e13216033f,50.0,522,522
523,bee1d78260,50.0,523,523
524,2320636026,50.0,524,524
525,e976b29c9d,50.0,525,525
526,303a3df484,50.0,526,526
527,0ad458611c,50.0,527,527
528,c2fe0ab024,50.0,528,528
529,1cf19da3a9,50.0,529,529
530,fc241018ec,50.0,530,530
531,2c6958242d,50.0,531,531
532,8478dfd6f7,50.0,532,532
533,6f1e390274,50.0,533,533
534,b12b67a0db,50.0,534,534
535,5d6505f12a,50.0,535,535
536,ed45fe3a8d,50.0,536,536
537,b1f20b8a8c,50.0,537,537
538,0fa7096d5a,50.0,538,538
539,3c196b299c,50.0,539,539
540,862f6cbc45,50.0,540,540
541,22c13af7a1,50.0,541,541
542,ac70f57b73,50.0,542,542
543,e941b86692,50.0,543,543
544,8dcb447d0f,50.0,544,544
545,d1ebd8161b,50.0,545,545
546,d056d7ce4a,50.0,546,546
547,74136dc7b0,50.0,547,547
548,8fbf42f886,50.0,548,548
549,7388512271,50.0,549,549
550,b6ae409cbf,50.0,550,550
551,f7bd18e491,50.0,551,551
552,ff559623e3,50.0,552,552
553,a38e0777cd,50.0,553,553
554,e12feef736,50.0,554,554
555,fba15f0324,50.0,555,555
556,350e107aae,50.0,556,556
557,03d3903c7c,50.0,557,557
558,459f704847,50.0,558,558
559,575810e85b,50.0,559,559
560,92810d80b3,50.0,560,560
561,0cb785b3d6,50.0,561,561
562,57733c8324,50.0,562,562
563,467216187a,50.0,563,563
564,792f609a6f,50.0,564,564
565,3aa8ce54ee,50.0,565,565
566,83c39baf65,50.0,566,566
567,8e65d7f5b1,50.0,567,567
568,f0f8b2423b,50.0,568,568
569,83775e646f,50.0,569,569
570,2ed96a351c,50.0,570,570
571,11452e96e6,50.0,571,571
572,80ce70725d,50.0,572,572
573,4bf29f7756,50.0,573,573
574,8a78a0e229,50.0,574,574
575,b6d872712f,50.0,575,575
576,28f3b831a2,50.0,576,576
577,3c04f1e4d3,50.0,577,577
578,123f4d1fb7,50.0,578,578
579,15474381ae,50.0,579,579
580,f7ed0ea8ba,50.0,580,580
581,9d578c755a,50.0,581,581
582,f1337406a3,50.0,582,582
583,Scientific Kaelumari Union,48.0,583,583
584,The Consolidated-Unified Scientific Alliance,45.0,584,584
585,Consolidated-Kaelumis Defense Pact,45.0,585,585
586,Great-Sigma-orionis Defense Pact,45.0,586,586
587,The Unified-Sigma-orionis Scientific Alliance,45.0,587,587
588,Unified-Scientific Defense Pact,45.0,588,588
589,Unified-Allied Defense Pact,45.0,589,589
590,The Great-Aurelian Scientific Alliance,45.0,590,590
591,Consolidated Prometheian Worlds,45.0,591,591
592,35390a1939,45.0,592,592
593,5a236efd3f,45.0,593,593
594,81714ff4c3,45.0,594,594
595,Allied Kaelumex Systems,45.0,595,595
596,609e70586f,45.0,596,596
597,cb6235e194,45.0,597,597
598,Unified Xenis Council,43.0,598,598
599,Cygnan Commonwealth,42.0,599,599
600,Consolidated Xenoid Worlds,41.0,600,600
601,Orionan Directorate,41.0,601,601
602,f2bbbfc167,40.0,602,602
603,e47a782635,40.0,603,603
604,4c224c8349,40.0,604,604
605,Scientific Orionite Union,39.0,605,605
606,The Valoid Federation,37.0,606,606
607,Unified Zelian Council,35.0,607,607
608,4a7ef72f37,35.0,608,608
609,1b37c066da,35.0,609,609
610,c235dc422c,35.0,610,610
611,66d46fcd47,35.0,611,611
612,622de7102b,35.0,612,612
613,37a4cea3d7,35.0,613,613
614,Valis Commonwealth,34.0,614,614
615,The Bulgite Federation,33.0,615,615
616,Unified Orionis Council,31.0,616,616
617,Unified-Consolidated Defense Pact,30.0,617,617
618,Scientific-Allied Defense Pact,30.0,618,618
619,The Consolidated-Scientific Scientific Alliance,30.0,619,619
620,Allied-Great Defense Pact,30.0,620,620
621,The Great-Bulgian Scientific Alliance,30.0,621,621
622,Consolidated-Unified Defense Pact,30.0,622,622
623,The Scientific-Scientific Scientific Alliance,30.0,623,623
624,Cygnan-Cygnian Defense Pact,30.0,624,624
625,Unified Federation of Great and Great,30.0,625,625
626,Orionite-Great Defense Pact,30.0,626,626
627,The Unified-Unified Scientific Alliance,30.0,627,627
628,The Scientific-Unified Scientific Alliance,30.0,628,628
629,3a3695c8e9,30.0,629,629
630,095464621d,30.0,630,630
631,04b742dd38,30.0,631,631
632,38a2dd884c,30.0,632,632
633,096fc37df4,30.0,633,633
634,63803c4eb1,30.0,634,634
635,17fee1a6ac,30.0,635,635
636,b7f420628f,30.0,636,636
637,1a2a63b5eb,30.0,637,637
638,71efb681fc,30.0,638,638
639,Consolidated Aurelite Worlds,29.0,639,639
640,Allied Sagittariian Systems,29.0,640,640
641,Consolidated Orionite Worlds,29.0,641,641
642,Meroid Directorate,28.0,642,642
643,Beta-bulgis Directorate,28.0,643,643
644,Scientific Bulgite Union,28.0,644,644
645,Unified Orionoid Council,28.0,645,645
646,Allied Sagittariite Systems,28.0,646,646
647,Bulgian Directorate,28.0,647,647
648,Unified Orionite Council,28.0,648,648
649,The Meran Federation,26.0,649,649
650,Scientific Thranan Union,26.0,650,650
651,Aurelian Directorate,26.0,651,651
652,ee951bbfab,25.0,652,652
653,b2e833d309,25.0,653,653
654,947f74a852,25.0,654,654
655,187eb0978f,25.0,655,655
656,1bc76d1c73,25.0,656,656
657,d07bc4ae63,25.0,657,657
658,7ba9deb67e,25.0,658,658
659,927dbfac0b,25.0,659,659
660,Scientific Vesperari Union,25.0,660,660
661,Allied Orionite Systems,24.0,661,661
662,The Aurelis Federation,24.0,662,662
663,The Zylaran Federation,23.0,663,663
664,Consolidated Orionis Worlds,23.0,664,664
665,Orionite Directorate,23.0,665,665
666,Allied Thranian Systems,23.0,666,666
667,Solex Commonwealth,23.0,667,667
668,Scientific Merite Union,23.0,668,668
669,Zelis Directorate,23.0,669,669
670,The Aurelian Federation,23.0,670,670
671,Solari Directorate,23.0,671,671
672,Unified Persean Council,21.0,672,672
673,Allied Valis Systems,21.0,673,673
674,Kaelumian Directorate,21.0,674,674
675,Unified Zylarite Council,20.0,675,675
676,Orionian Directorate,20.0,676,676
677,Unified Xenian Council,20.0,677,677
678,Zylarite Directorate,20.0,678,678
679,Thranite Directorate,20.0,679,679
680,6a9427ac16,20.0,680,680
681,b28f9ec7d4,20.0,681,681
682,9891e1dd90,20.0,682,682
683,02b9381952,20.0,683,683
684,4b4e90bd89,20.0,684,684
685,37270686ec,20.0,685,685
686,f0ada7121c,20.0,686,686
687,Xenian Directorate,20.0,687,687
688,Consolidated Vesperan Worlds,20.0,688,688
689,Scientific Persean Union,20.0,689,689
690,The Thranis Federation,20.0,690,690
691,Unified Valis Council,20.0,691,691
692,Unified Orionan Council,20.0,692,692
693,Scientific Zelite Union,20.0,693,693
694,Aurelex Directorate,18.0,694,694
695,The Zelian Federation,18.0,695,695
696,Scientific Bulgian Union,18.0,696,696
697,Thranari Commonwealth,18.0,697,697
698,Allied Solian Systems,18.0,698,698
699,Unified Meroid Council,18.0,699,699
700,Unified Meran Council,18.0,700,700
