gate_id,gate_type,star_id,construction_cost,energy_usage,throughput,connected_count,owner_empire
GAT-0023,Galactic Gate,eceb4647,5000.0,250.0,5000.0,206,c56a0b9792
GAT-0024,Quantum Relay Gate,f664a17f,8000.0,400.0,10000.0,206,35390a1939
GAT-0025,Quantum Relay Gate,e78ba692,8000.0,400.0,10000.0,206,3a3695c8e9
GAT-0026,Quantum Relay Gate,d8fac1fb,8000.0,400.0,10000.0,206,494354518b
GAT-0027,Quantum Relay Gate,4ad5d8f7,8000.0,400.0,10000.0,206,e4a60e62b6
GAT-0028,Quantum Relay Gate,0b5f3c94,8000.0,400.0,10000.0,206,c64460376e
GAT-0029,Quantum Relay Gate,b7c960e0,8000.0,400.0,10000.0,206,abb26e55dc
GAT-0030,Quantum Relay Gate,77180e42,8000.0,400.0,10000.0,206,6dfc531f16
GAT-0031,Quantum Relay Gate,e67b1191,8000.0,400.0,10000.0,206,36b91772ac
GAT-0032,Quantum Relay Gate,6c088403,8000.0,400.0,10000.0,206,3c983bfdab
GAT-0033,Quantum Relay Gate,2b7c9993,8000.0,400.0,10000.0,206,30e300e760
GAT-0034,Quantum Relay Gate,203928c6,8000.0,400.0,10000.0,206,6fbfc2a11d
GAT-0035,Galactic Gate,f5a12cb1,5000.0,250.0,5000.0,206,3c4760ddea
GAT-0036,Quantum Relay Gate,26fb9c4d,8000.0,400.0,10000.0,206,9d578c755a
GAT-0037,Empire Gate,edc9d801,3000.0,150.0,2500.0,0,23094db297
GAT-0038,Quantum Relay Gate,071e610d,8000.0,400.0,10000.0,206,642e75a08d
GAT-0039,Quantum Relay Gate,59307c85,8000.0,400.0,10000.0,206,b619dd5fb5
GAT-0040,Quantum Relay Gate,d36832b5,8000.0,400.0,10000.0,206,3e1c9fe27e
GAT-0041,Quantum Relay Gate,2b7fa0d2,8000.0,400.0,10000.0,206,6ebb371c3c
GAT-0042,Galactic Gate,c3277bff,5000.0,250.0,5000.0,206,1b37c066da
GAT-0043,Galactic Gate,e120d580,5000.0,250.0,5000.0,206,f4a721a47f
GAT-0044,Empire Gate,7c2a7994,3000.0,150.0,2500.0,0,63d8758b53
GAT-0045,Quantum Relay Gate,0830cbed,8000.0,400.0,10000.0,206,415811daec
GAT-0046,Quantum Relay Gate,d7f3d497,8000.0,400.0,10000.0,206,5b3c302325
GAT-0047,Quantum Relay Gate,f92fc03e,8000.0,400.0,10000.0,206,947f74a852
GAT-0048,Galactic Gate,c8ddee9a,5000.0,250.0,5000.0,206,e23dc5e375
GAT-0049,Quantum Relay Gate,ec18573c,8000.0,400.0,10000.0,206,77811a2fa9
GAT-0050,Quantum Relay Gate,0d0603a9,8000.0,400.0,10000.0,206,4a9574c523
GAT-0051,Quantum Relay Gate,446ad83e,8000.0,400.0,10000.0,206,2a34070c99
GAT-0052,Quantum Relay Gate,09687116,8000.0,400.0,10000.0,206,6657429a7c
GAT-0053,Quantum Relay Gate,e6225847,8000.0,400.0,10000.0,206,5f5ebcf2f5
GAT-0054,Quantum Relay Gate,5d295f95,8000.0,400.0,10000.0,206,095464621d
GAT-0055,Quantum Relay Gate,85611719,8000.0,400.0,10000.0,206,a987357567
GAT-0056,Quantum Relay Gate,311927b0,8000.0,400.0,10000.0,206,cf1fb521d7
GAT-0057,Quantum Relay Gate,f7a8414d,8000.0,400.0,10000.0,206,a03b53100a
GAT-0058,Quantum Relay Gate,36883286,8000.0,400.0,10000.0,206,2640424e04
GAT-0059,Galactic Gate,33b9b258,5000.0,250.0,5000.0,206,ad899b1ed9
GAT-0060,Galactic Gate,80977950,5000.0,250.0,5000.0,206,7994a1ada7
GAT-0061,Galactic Gate,a7851a37,5000.0,250.0,5000.0,206,984d4d4161
GAT-0062,Galactic Gate,2b4e30b7,5000.0,250.0,5000.0,206,04b742dd38
GAT-0063,Quantum Relay Gate,83f02fd1,8000.0,400.0,10000.0,206,82f9ee8fb4
GAT-0064,Quantum Relay Gate,099ed5da,8000.0,400.0,10000.0,206,08d81107e6
GAT-0065,Galactic Gate,22c61624,5000.0,250.0,5000.0,206,38a2dd884c
GAT-0066,Galactic Gate,ec6edc6a,5000.0,250.0,5000.0,207,1c90d82c80
GAT-0067,Quantum Relay Gate,8d8c08b2,8000.0,400.0,10000.0,206,a222a74ae8
GAT-0068,Quantum Relay Gate,0d51013f,8000.0,400.0,10000.0,206,f714a79195
GAT-0069,Quantum Relay Gate,cb2ed0d3,8000.0,400.0,10000.0,206,f0cb6b0a91
GAT-0070,Quantum Relay Gate,08983574,8000.0,400.0,10000.0,206,7be35390be
GAT-0071,Quantum Relay Gate,2cea10f8,8000.0,400.0,10000.0,206,fe5ce1f2b8
GAT-0072,Quantum Relay Gate,ade82d29,8000.0,400.0,10000.0,206,7652ec5c8d
GAT-0073,Quantum Relay Gate,7dce77da,8000.0,400.0,10000.0,206,f0ada7121c
GAT-0074,Quantum Relay Gate,478b3eaf,8000.0,400.0,10000.0,206,187eb0978f
GAT-0075,Quantum Relay Gate,4b4ea6a3,8000.0,400.0,10000.0,206,8bd71d17f7
GAT-0076,Empire Gate,fff60de8,3000.0,150.0,2500.0,0,71d820677a
GAT-0077,Quantum Relay Gate,2ec426da,8000.0,400.0,10000.0,206,be3191b575
GAT-0078,Empire Gate,56170639,3000.0,150.0,2500.0,0,b75dce1421
GAT-0079,Regional Gate,e90ac907,1500.0,75.0,1000.0,0,4c8e6a8540
GAT-0080,Quantum Relay Gate,023024ca,8000.0,400.0,10000.0,206,76c64a14d6
GAT-0081,Quantum Relay Gate,dc600992,8000.0,400.0,10000.0,206,517cb43ce0
GAT-0082,Quantum Relay Gate,e00a227d,8000.0,400.0,10000.0,206,8853384409
GAT-0083,Galactic Gate,b0a48b50,5000.0,250.0,5000.0,206,bda6417e80
GAT-0084,Quantum Relay Gate,facf30ab,8000.0,400.0,10000.0,206,778b8b68c3
GAT-0085,Quantum Relay Gate,5371fcd4,8000.0,400.0,10000.0,206,37b8da7a55
GAT-0086,Quantum Relay Gate,dbf53ab7,8000.0,400.0,10000.0,206,c1803ec34d
GAT-0087,Quantum Relay Gate,e85fd53e,8000.0,400.0,10000.0,206,d957806d32
GAT-0088,Quantum Relay Gate,2e010e14,8000.0,400.0,10000.0,206,d5f12251b2
GAT-0089,Quantum Relay Gate,b05778ee,8000.0,400.0,10000.0,206,529174abfd
GAT-0090,Galactic Gate,3eb58ed7,5000.0,250.0,5000.0,206,6a9427ac16
GAT-0091,Quantum Relay Gate,06b92a40,8000.0,400.0,10000.0,206,094756ff65
GAT-0092,Galactic Gate,bce7d21d,5000.0,250.0,5000.0,206,d340e67e88
GAT-0093,Quantum Relay Gate,f37f6bfb,8000.0,400.0,10000.0,206,78635879d1
GAT-0094,Quantum Relay Gate,cb77346d,8000.0,400.0,10000.0,206,62149b123f
GAT-0095,Quantum Relay Gate,160fb3bb,8000.0,400.0,10000.0,206,4c3eb31272
GAT-0096,Quantum Relay Gate,09f83e94,8000.0,400.0,10000.0,207,6c40e5c997
GAT-0097,Quantum Relay Gate,0c60f83d,8000.0,400.0,10000.0,206,5a236efd3f
GAT-0098,Galactic Gate,5b4b85d0,5000.0,250.0,5000.0,206,1bc76d1c73
GAT-0099,Quantum Relay Gate,a5aa5b1a,8000.0,400.0,10000.0,207,1c4722b997
GAT-0100,Galactic Gate,6c559cff,5000.0,250.0,5000.0,206,0e67dd57aa
GAT-0101,Galactic Gate,f2c5ccdb,5000.0,250.0,5000.0,206,19190c022d
GAT-0102,Quantum Relay Gate,485b2de6,8000.0,400.0,10000.0,206,d0016e25b4
GAT-0103,Empire Gate,80d2e06b,3000.0,150.0,2500.0,0,2b478a564d
GAT-0104,Quantum Relay Gate,56f3a3b6,8000.0,400.0,10000.0,206,23582772c8
GAT-0105,Quantum Relay Gate,dacd2e39,8000.0,400.0,10000.0,206,61397f1d85
GAT-0106,Quantum Relay Gate,51932a4c,8000.0,400.0,10000.0,206,bcfcfb49cf
GAT-0107,Galactic Gate,6672463b,5000.0,250.0,5000.0,206,096fc37df4
GAT-0108,Quantum Relay Gate,d339bd61,8000.0,400.0,10000.0,206,0b6029ea29
GAT-0109,Quantum Relay Gate,18834c8d,8000.0,400.0,10000.0,206,3557fb1c6f
GAT-0110,Quantum Relay Gate,be184be6,8000.0,400.0,10000.0,206,9a629191f0
GAT-0111,Quantum Relay Gate,9b5044d0,8000.0,400.0,10000.0,206,33e625a829
GAT-0112,Galactic Gate,01fb818c,5000.0,250.0,5000.0,206,71073d1e77
GAT-0113,Quantum Relay Gate,57b3f2a1,8000.0,400.0,10000.0,206,dc652af4e1
GAT-0114,Quantum Relay Gate,a7e76322,8000.0,400.0,10000.0,206,bc259c8444
GAT-0115,Quantum Relay Gate,e7cf4d3c,8000.0,400.0,10000.0,206,b4e38b5ba0
GAT-0116,Quantum Relay Gate,dbb1c841,8000.0,400.0,10000.0,206,ed8eb43829
GAT-0117,Quantum Relay Gate,32aff2a0,8000.0,400.0,10000.0,206,1e3994853e
GAT-0118,Galactic Gate,7ce49ce6,5000.0,250.0,5000.0,206,d07bc4ae63
GAT-0119,Quantum Relay Gate,b8cb383f,8000.0,400.0,10000.0,206,9696ce2491
GAT-0120,Empire Gate,83611aa7,3000.0,150.0,2500.0,0,9d449a31b9
GAT-0121,Empire Gate,03d2cd68,3000.0,150.0,2500.0,0,12f8de3472
GAT-0122,Quantum Relay Gate,5214fee4,8000.0,400.0,10000.0,206,afc6771a1e
GAT-0123,Quantum Relay Gate,f2adc5f9,8000.0,400.0,10000.0,206,63803c4eb1
GAT-0124,Galactic Gate,3c4f9e5b,5000.0,250.0,5000.0,206,53856bd8ca
GAT-0125,Quantum Relay Gate,bf8912d1,8000.0,400.0,10000.0,206,da38a63176
GAT-0126,Quantum Relay Gate,714fa661,8000.0,400.0,10000.0,206,f004cb791e
GAT-0127,Galactic Gate,fc6e3f38,5000.0,250.0,5000.0,206,15955262e1
GAT-0128,Quantum Relay Gate,897d9f17,8000.0,400.0,10000.0,206,7dc225fd37
GAT-0129,Galactic Gate,c37cbca3,5000.0,250.0,5000.0,206,373ea01e5c
GAT-0130,Galactic Gate,9081a1f7,5000.0,250.0,5000.0,206,17fee1a6ac
GAT-0131,Quantum Relay Gate,82d87ebd,8000.0,400.0,10000.0,206,5d262aaec3
GAT-0132,Galactic Gate,1bb2c06e,5000.0,250.0,5000.0,207,f2bbbfc167
GAT-0133,Regional Gate,3ff7f130,1500.0,75.0,1000.0,1,f2bbbfc167
GAT-0134,Quantum Relay Gate,6d95ee33,8000.0,400.0,10000.0,206,d7ec4d3018
GAT-0135,Quantum Relay Gate,0ba83e15,8000.0,400.0,10000.0,206,931aa9655e
GAT-0136,Galactic Gate,013e2852,5000.0,250.0,5000.0,206,a7f6005fd2
GAT-0137,Quantum Relay Gate,4d9a3ec0,8000.0,400.0,10000.0,206,4164b650a3
GAT-0138,Quantum Relay Gate,807c7f9a,8000.0,400.0,10000.0,206,7ba9deb67e
GAT-0139,Quantum Relay Gate,a2c1a02e,8000.0,400.0,10000.0,206,785ce4730c
GAT-0140,Galactic Gate,ba32b3bf,5000.0,250.0,5000.0,206,c87f4b2d09
GAT-0141,Quantum Relay Gate,85d91d79,8000.0,400.0,10000.0,206,c59e7444f5
GAT-0142,Quantum Relay Gate,be9a64f4,8000.0,400.0,10000.0,206,41e5776038
GAT-0143,Quantum Relay Gate,a36c0a0c,8000.0,400.0,10000.0,206,cbdac2fac3
GAT-0144,Quantum Relay Gate,d626bdf3,8000.0,400.0,10000.0,206,9891e1dd90
GAT-0145,Quantum Relay Gate,a1da22ce,8000.0,400.0,10000.0,206,5d94c085f5
GAT-0146,Quantum Relay Gate,435d0b34,8000.0,400.0,10000.0,206,cc71651dca
GAT-0147,Galactic Gate,07115d02,5000.0,250.0,5000.0,206,b7f420628f
GAT-0148,Quantum Relay Gate,507fe63e,8000.0,400.0,10000.0,206,1a2a63b5eb
GAT-0149,Empire Gate,12935a73,3000.0,150.0,2500.0,0,8e17c1b492
GAT-0150,Quantum Relay Gate,18228d8b,8000.0,400.0,10000.0,206,15c488fdb9
GAT-0151,Galactic Gate,5435315e,5000.0,250.0,5000.0,206,a9283be55d
GAT-0152,Galactic Gate,e3438189,5000.0,250.0,5000.0,206,7fdb421436
GAT-0153,Empire Gate,3e037a1c,3000.0,150.0,2500.0,0,b323933feb
GAT-0154,Quantum Relay Gate,1dd7aaec,8000.0,400.0,10000.0,206,c5f014b287
GAT-0155,Quantum Relay Gate,11bac5d2,8000.0,400.0,10000.0,206,e1c4b2ed14
GAT-0156,Galactic Gate,28fc036a,5000.0,250.0,5000.0,206,a568c633c8
GAT-0157,Galactic Gate,8bd72b4f,5000.0,250.0,5000.0,206,0187c7d64a
GAT-0158,Quantum Relay Gate,41bf3fe6,8000.0,400.0,10000.0,206,f1337406a3
GAT-0159,Quantum Relay Gate,90e8097e,8000.0,400.0,10000.0,206,354b63d6d6
GAT-0160,Galactic Gate,94bfa287,5000.0,250.0,5000.0,206,8c80ad65b6
GAT-0161,Quantum Relay Gate,b04073fa,8000.0,400.0,10000.0,206,e6f9f9e411
GAT-0162,Quantum Relay Gate,8494b7b9,8000.0,400.0,10000.0,206,24e153416d
GAT-0163,Galactic Gate,bfb6257c,5000.0,250.0,5000.0,206,eacab5ee97
GAT-0164,Quantum Relay Gate,caab8c4c,8000.0,400.0,10000.0,206,5573af18db
GAT-0165,Quantum Relay Gate,aa95dae0,8000.0,400.0,10000.0,206,2a8b6fc81d
GAT-0166,Quantum Relay Gate,74d538e3,8000.0,400.0,10000.0,206,dc0074adc3
GAT-0167,Quantum Relay Gate,305333b9,8000.0,400.0,10000.0,206,08caaac3af
GAT-0168,Quantum Relay Gate,840d8b8f,8000.0,400.0,10000.0,206,91474e8269
GAT-0169,Galactic Gate,4c130f6d,5000.0,250.0,5000.0,206,f343101fe6
GAT-0170,Galactic Gate,1e090922,5000.0,250.0,5000.0,206,950050e41a
GAT-0171,Quantum Relay Gate,21e97463,8000.0,400.0,10000.0,206,bbf8578e8c
GAT-0172,Quantum Relay Gate,aae5f615,8000.0,400.0,10000.0,206,28728de334
GAT-0173,Quantum Relay Gate,9ecfcf5e,8000.0,400.0,10000.0,206,2c64149009
GAT-0174,Quantum Relay Gate,3ebbd767,8000.0,400.0,10000.0,206,43cb04ad80
GAT-0175,Quantum Relay Gate,eb590d95,8000.0,400.0,10000.0,206,3a375c2f6d
GAT-0176,Galactic Gate,69a0cbc9,5000.0,250.0,5000.0,206,1a67be5b7f
GAT-0177,Quantum Relay Gate,569fbf22,8000.0,400.0,10000.0,206,9883f23173
GAT-0178,Quantum Relay Gate,00b07bcb,8000.0,400.0,10000.0,206,60a971a839
GAT-0179,Quantum Relay Gate,607fd3e2,8000.0,400.0,10000.0,206,0130446f7e
GAT-0180,Galactic Gate,8676a083,5000.0,250.0,5000.0,206,61dc46303f
GAT-0181,Galactic Gate,6b4348da,5000.0,250.0,5000.0,206,622de7102b
GAT-0182,Quantum Relay Gate,3ce6b4ed,8000.0,400.0,10000.0,206,996190e522
GAT-0183,Quantum Relay Gate,61f5947e,8000.0,400.0,10000.0,206,556d6c2378
GAT-0184,Quantum Relay Gate,cbe22a8b,8000.0,400.0,10000.0,206,4c2540c708
GAT-0185,Quantum Relay Gate,819b78b5,8000.0,400.0,10000.0,206,b7069c3852
GAT-0186,Quantum Relay Gate,b2237089,8000.0,400.0,10000.0,206,f3f5dfde4c
GAT-0187,Quantum Relay Gate,25c7f883,8000.0,400.0,10000.0,206,22091a7056
GAT-0188,Quantum Relay Gate,b0254239,8000.0,400.0,10000.0,206,2211d3100d
GAT-0189,Galactic Gate,4f448a53,5000.0,250.0,5000.0,206,182edcdd37
GAT-0190,Galactic Gate,13c5f9fc,5000.0,250.0,5000.0,207,e47a782635
GAT-0191,Quantum Relay Gate,bab9d62d,8000.0,400.0,10000.0,206,2705d84a32
GAT-0192,Quantum Relay Gate,97305fd9,8000.0,400.0,10000.0,206,7e5521abbb
GAT-0193,Quantum Relay Gate,2d39dd9d,8000.0,400.0,10000.0,206,7c376afd56
GAT-0194,Empire Gate,5e1e7929,3000.0,150.0,2500.0,0,c3b1779520
GAT-0195,Quantum Relay Gate,a8f2e669,8000.0,400.0,10000.0,206,37a4cea3d7
GAT-0196,Galactic Gate,9730aadd,5000.0,250.0,5000.0,206,e00bc2a5e5
GAT-0197,Quantum Relay Gate,1e8613e9,8000.0,400.0,10000.0,206,b2c9872c2d
GAT-0198,Quantum Relay Gate,1699edb3,8000.0,400.0,10000.0,206,4b4e90bd89
GAT-0199,Quantum Relay Gate,2ee67c76,8000.0,400.0,10000.0,206,764f599826
GAT-0200,Quantum Relay Gate,6cd46a40,8000.0,400.0,10000.0,206,927dbfac0b
GAT-0201,Quantum Relay Gate,c195d72c,8000.0,400.0,10000.0,206,31aeef2350
GAT-0202,Quantum Relay Gate,6d440304,8000.0,400.0,10000.0,206,c1cc584fd5
GAT-0203,Quantum Relay Gate,c6d6b3fd,8000.0,400.0,10000.0,206,f61290c372
GAT-0204,Galactic Gate,6f116dc8,5000.0,250.0,5000.0,206,71efb681fc
GAT-0205,Quantum Relay Gate,a76c941f,8000.0,400.0,10000.0,206,13b6f1c19c
GAT-0206,Quantum Relay Gate,ba33dd6b,8000.0,400.0,10000.0,206,38d523ac80
GAT-0207,Quantum Relay Gate,a866c35c,8000.0,400.0,10000.0,206,5fec320399
GAT-0208,Galactic Gate,991dd9ee,5000.0,250.0,5000.0,206,0a6e8b3547
GAT-0209,Quantum Relay Gate,56535a86,8000.0,400.0,10000.0,206,8bc980ecf5
GAT-0210,Quantum Relay Gate,1d8d6567,8000.0,400.0,10000.0,206,18daa88e4f
GAT-0211,Quantum Relay Gate,4633ccff,8000.0,400.0,10000.0,206,7c40c9ebf8
GAT-0212,Quantum Relay Gate,650ae5a0,8000.0,400.0,10000.0,206,20af608f42
GAT-0213,Quantum Relay Gate,d8576aaf,8000.0,400.0,10000.0,206,f03d90fb8f
GAT-0214,Quantum Relay Gate,847258d3,8000.0,400.0,10000.0,206,e905d91038
GAT-0215,Quantum Relay Gate,e2176638,8000.0,400.0,10000.0,207,176da50470
GAT-0216,Galactic Gate,89ce852a,5000.0,250.0,5000.0,206,f83f785370
GAT-0217,Quantum Relay Gate,017957c7,8000.0,400.0,10000.0,206,85aec51e58
GAT-0218,Galactic Gate,870bffb3,5000.0,250.0,5000.0,206,4c224c8349
GAT-0219,Regional Gate,6be74bea,1500.0,75.0,1000.0,0,c6642b2284
GAT-0220,Regional Gate,0f848144,1500.0,75.0,1000.0,1,6c40e5c997
GAT-0221,Regional Gate,36f27f2f,1500.0,75.0,1000.0,1,1c4722b997
GAT-0222,Regional Gate,44ebb476,1500.0,75.0,1000.0,0,7bf42c3a49
GAT-0223,Regional Gate,8d177043,1500.0,75.0,1000.0,0,cd3cb2af45
GAT-0224,Regional Gate,eaac8b8c,1500.0,75.0,1000.0,1,e47a782635
GAT-0225,Regional Gate,4c8ab099,1500.0,75.0,1000.0,0,37270686ec
GAT-0226,Regional Gate,7ae00114,1500.0,75.0,1000.0,1,1c90d82c80
GAT-0227,Quantum Relay Gate,bae7ca59,8000.0,400.0,10000.0,206,c3662e3808
GAT-0228,Regional Gate,51cdd6f8,1500.0,75.0,1000.0,0,8d88177d24
GAT-0229,Regional Gate,9910f472,1500.0,75.0,1000.0,0,66d46fcd47
GAT-0230,Regional Gate,16ff6919,1500.0,75.0,1000.0,1,176da50470
GAT-0231,Regional Gate,0e934d76,1500.0,75.0,1000.0,0,7036dbff3e
GAT-0232,Galactic Gate,34057b0d,5000.0,250.0,5000.0,206,53856bd8ca
