star_id,star_name,region,betweenness_centrality,strategic_value_score,neighbors_count
ade82d29,Theta Persei,Perseus Arm,0.009087,20.72,207
de4cb43e,Chi Persei,Perseus Arm,0.009087,20.72,5
4b7fc619,HD 225888,Cygnus Arm,0.009089,20.72,5
d8fac1fb,Gaia-2093,Core,0.009085,20.71,210
d16ba6d2,GDE-7141,Core,0.009085,20.71,4
f664a17f,Kepler-4496,Core,0.009079,20.7,209
838b4d92,HD 175486,Orion Arm,0.009071,20.68,4
2deabc50,Webb-1466,Disk Background,0.009065,20.67,5
d8576aaf,TESS-7800,Perseus Arm,0.009053,20.64,210
8494b7b9,Gliese 159.0,Core,0.009017,20.56,208
56170639,Chi Bulge,Core,0.008997,20.51,3
478b3eaf,GDE-2341,Core,0.008985,20.49,210
0b27d229,PSR 282502,Core,0.008971,20.45,5
dbf53ab7,GDE-4866a,Sagittarius Arm,0.008955,20.42,209
5efb46bf,HIP 259106,Sagittarius Arm,0.0073,16.64,6
8676a083,Gaia-9760c,Perseus Arm,0.007292,16.63,208
ebd6dd77,Webb-1448,Disk Background,0.007288,16.62,5
208ea3f1,HIP 168169,Sagittarius Arm,0.00729,16.62,6
2e29c6f2,Gliese 364.0,Perseus Arm,0.007286,16.61,3
6f0bddf7,GDE-8440,Core,0.007284,16.61,5
1dd7aaec,Alpha Bulge,Core,0.007286,16.61,208
55523ac6,Gliese 245.0,Orion Arm,0.007286,16.61,4
bfb6257c,HD 119869,Disk Background,0.007286,16.61,209
936c287f,HR 168757,Perseus Arm,0.007286,16.61,4
e02e84ef,Chi Sagittarii,Sagittarius Arm,0.007286,16.61,7
89ce852a,GDE-4121,Cygnus Arm,0.007286,16.61,208
870bffb3,TESS-5894,Sagittarius Arm,0.007286,16.61,208
e85fd53e,Sigma Galacticis,Disk Background,0.00728,16.6,210
ec97555c,HR 16611,Core,0.007276,16.59,4
5b4b85d0,TESS-3963d,Cygnus Arm,0.007266,16.57,209
6672463b,HD 275033,Perseus Arm,0.007266,16.57,209
88137a6d,Tau Cygni,Cygnus Arm,0.00727,16.57,6
c3277bff,PSR 62227,Cygnus Arm,0.007264,16.56,210
1bb2c06e,Delta Bulge,Core,0.007264,16.56,209
7ae00114,Delta Cygni,Cygnus Arm,0.007264,16.56,4
9b5044d0,TESS-6387,Perseus Arm,0.007264,16.56,209
650ae5a0,Chi Orionis,Orion Arm,0.007264,16.56,210
909275b3,Aethelgard,Sagittarius Arm,0.00725,16.53,6
4633ccff,Gliese 390.0,Core,0.00725,16.53,209
6d95ee33,HR 175320,Core,0.00725,16.53,209
8e9aba61,GDE-7578,Cygnus Arm,0.007246,16.52,4
ecf07b9a,Epsilon Cygni,Cygnus Arm,0.00724,16.51,8
41fc2dd4,Pi Bulge,Core,0.007242,16.51,3
3ce6b4ed,Gaia-776,Core,0.007236,16.5,210
1fa74e2c,Gaia-5704,Cygnus Arm,0.007234,16.49,4
6c088403,Gliese 598.0,Core,0.007222,16.47,209
facf30ab,HR 27482,Core,0.00721,16.44,208
259a2489,Kepler-9181,Core,0.007186,16.38,4
6979b6fd,HIP 271484,Cygnus Arm,0.005507,12.55,5
250f91a5,Kepler-8189,Orion Arm,0.005476,12.49,5
ab4c2378,HIP 93984,Disk Background,0.005476,12.49,7
011cf1c0,HD 52137,Sagittarius Arm,0.005474,12.48,5
01fb818c,HR 211002,Perseus Arm,0.005474,12.48,209
b0254239,TESS-5589,Sagittarius Arm,0.005472,12.48,209
4f448a53,GDE-8146,Cygnus Arm,0.005474,12.48,209
2ee67c76,HD 173878,Sagittarius Arm,0.005472,12.48,212
4fc4e1a5,Webb-784,Cygnus Arm,0.005472,12.48,4
9429fae3,HR 152312,Disk Background,0.005468,12.47,7
77180e42,TESS-3146,Perseus Arm,0.005468,12.47,211
7b6cab6d,Atlas V,Perseus Arm,0.00547,12.47,3
b0e306a7,Omega Persei,Perseus Arm,0.00547,12.47,4
cb2ed0d3,Gaia-7887,Core,0.00547,12.47,208
e00a227d,HD 59434,Sagittarius Arm,0.00547,12.47,208
95d3383e,HD 65918,Cygnus Arm,0.00547,12.47,4
136d39d5,Gliese 336.0,Orion Arm,0.00547,12.47,2
3e505d60,Theia Prime,Core,0.00547,12.47,3
65fe2b07,Tau Cygni,Cygnus Arm,0.00547,12.47,4
a63bcdad,Gliese 446.0,Disk Background,0.00547,12.47,2
44eed999,Mu Bulge,Core,0.005464,12.46,210
5bfc0b9a,Tau Sagittarii,Sagittarius Arm,0.005466,12.46,4
3eb58ed7,Prometheus,Cygnus Arm,0.005466,12.46,209
3c4f9e5b,Tau Sagittarii,Sagittarius Arm,0.005462,12.45,209
15780515,Psi Bulge,Core,0.005462,12.45,4
255cdee9,Alpha Sagittarii,Sagittarius Arm,0.00546,12.45,5
b83ff342,Gliese 214.0,Core,0.005456,12.44,4
897d9f17,PSR 165223,Sagittarius Arm,0.005458,12.44,208
02143620,HIP 286109,Cygnus Arm,0.005454,12.44,6
453749f1,Upsilon Persei,Perseus Arm,0.005456,12.44,5
569fbf22,HD 179598,Core,0.005458,12.44,210
8589d2bc,Webb-6470,Cygnus Arm,0.005448,12.42,209
db8fee6b,Aethelgard,Core,0.005442,12.41,211
396949f1,Beta Orionis,Orion Arm,0.005442,12.41,8
a8f2e669,HIP 262134,Sagittarius Arm,0.005432,12.39,207
14401c4a,TESS-886,Core,0.005428,12.38,4
69a0cbc9,TESS-945,Core,0.005428,12.38,209
11bac5d2,HIP 286034,Disk Background,0.005424,12.37,209
28fc036a,HIP 14841,Core,0.005404,12.32,210
a866c35c,TESS-2121,Cygnus Arm,0.005386,12.28,208
43c54e7c,Chi Sagittarii,Sagittarius Arm,0.005376,12.26,4
6a955b65,Omega Bulge,Core,0.00536,12.22,4
87c8e661,Gamma Cygni,Cygnus Arm,0.003699,8.43,4
46e6691a,Epsilon Cygni,Cygnus Arm,0.003679,8.39,4
0095d960,Gliese 503.0,Cygnus Arm,0.003669,8.37,4
1451b4fa,Gaia-8593,Orion Arm,0.003663,8.35,6
89d8c40b,Webb-9404,Cygnus Arm,0.003655,8.33,5
08bcb72c,Webb-4162b,Core,0.003653,8.33,7
caab8c4c,HIP 53021,Cygnus Arm,0.003653,8.33,209
2d39dd9d,TESS-8623,Perseus Arm,0.003653,8.33,209
b2056bd6,Xylar,Cygnus Arm,0.003651,8.32,3
1ffcd021,Omicron Galacticis,Disk Background,0.003651,8.32,207
0fe5f7e9,Gliese 622.0,Sagittarius Arm,0.003651,8.32,5
5679a237,PSR 37798,Cygnus Arm,0.003649,8.32,6
8121bb10,PSR 237443,Orion Arm,0.003651,8.32,5
8cc8bea1,TESS-1547,Perseus Arm,0.003651,8.32,4
00b07bcb,Pi Cygni,Cygnus Arm,0.003649,8.32,208
e120d580,Gamma Galacticis,Disk Background,0.003651,8.32,207
a9d80bfd,Lambda Cygni,Cygnus Arm,0.003651,8.32,6
4d8147c6,Gaea,Perseus Arm,0.003651,8.32,3
f7a8414d,Gliese 327.0,Cygnus Arm,0.003651,8.32,208
2b4e30b7,Psi Persei,Perseus Arm,0.003649,8.32,209
9a580c1f,Kepler-3303,Perseus Arm,0.003651,8.32,3
e3438189,Tau Cygni,Cygnus Arm,0.003651,8.32,208
2ec426da,Eta Galacticis,Disk Background,0.003651,8.32,207
2e010e14,Gliese 663.0,Core,0.003649,8.32,208
cb77346d,Eta Sagittarii,Sagittarius Arm,0.003651,8.32,209
714fa661,Beta Persei,Perseus Arm,0.003651,8.32,209
b7d66c4b,Webb-6252,Orion Arm,0.003649,8.32,5
be184be6,HD 162586,Sagittarius Arm,0.003651,8.32,207
c3f16776,Chi Sagittarii,Sagittarius Arm,0.003651,8.32,3
87a212ea,Phi Persei,Perseus Arm,0.003651,8.32,4
30d6b446,HIP 217358,Orion Arm,0.003651,8.32,2
9ecfcf5e,Kepler-3223,Sagittarius Arm,0.003651,8.32,207
f0857ddd,Rho Cygni,Cygnus Arm,0.003651,8.32,3
f18906fa,Webb-5934d,Sagittarius Arm,0.003651,8.32,2
61f5947e,HIP 76600,Perseus Arm,0.003651,8.32,207
99ee6195,HD 236675,Core,0.003651,8.32,5
8619c625,PSR 288352,Perseus Arm,0.003651,8.32,2
b84e5edc,Gaia-1954,Sagittarius Arm,0.003645,8.31,210
b2f8c1eb,Gliese 746.0,Disk Background,0.003645,8.31,5
f5a12cb1,HR 208303,Orion Arm,0.003643,8.31,208
e6225847,Kepler-6215,Sagittarius Arm,0.003643,8.31,208
9652fc35,Alpha Persei,Perseus Arm,0.003645,8.31,5
80977950,Xi Bulge,Core,0.003643,8.31,209
d34f2273,PSR 43324,Orion Arm,0.003643,8.31,7
1e8613e9,Omega Sagittarii,Sagittarius Arm,0.003645,8.31,210
4a343f94,GDE-6154,Core,0.003647,8.31,4
b8cb383f,HIP 217328,Perseus Arm,0.003645,8.31,208
e8aa4c5b,Alpha Persei,Perseus Arm,0.003643,8.31,5
9081a1f7,TESS-915,Cygnus Arm,0.003645,8.31,208
4d9a3ec0,HD 14791,Core,0.003647,8.31,209
bde8aa44,HIP 84442,Sagittarius Arm,0.003647,8.31,5
ac0c30d2,Chi Cygni,Cygnus Arm,0.003647,8.31,3
4524e1a1,Eta Orionis,Orion Arm,0.003647,8.31,6
e41acc5f,GDE-8070,Sagittarius Arm,0.003647,8.31,4
eaac8b8c,Xi Sagittarii,Sagittarius Arm,0.003647,8.31,5
627bb054,Gaia-5114,Perseus Arm,0.003641,8.3,4
7200a3bc,PSR 236293,Disk Background,0.003639,8.3,4
9afa0793,Alpha Orionis,Orion Arm,0.003641,8.3,5
aae5f615,Webb-7340,Sagittarius Arm,0.003639,8.3,208
683712a6,Helios III,Core,0.003635,8.29,4
ee503b26,Zeta Orionis,Orion Arm,0.003635,8.29,208
93dff340,HD 212440,Cygnus Arm,0.003635,8.29,211
61da630c,Sigma Bulge,Core,0.003637,8.29,210
0597c038,HIP 118775,Core,0.003637,8.29,4
22d967e2,Kepler-5018,Core,0.003635,8.29,4
c8ddee9a,Chi Galacticis,Disk Background,0.003633,8.28,209
43dff816,HD 191033,Core,0.003631,8.28,4
f03f4852,GDE-409,Core,0.003631,8.28,4
6c559cff,HR 120160,Cygnus Arm,0.003627,8.27,209
237e461a,Webb-7477,Core,0.003629,8.27,6
4b4ea6a3,TESS-2835,Core,0.003625,8.26,209
42877080,GDE-1930,Cygnus Arm,0.003625,8.26,4
17f2ba68,HR 12673,Core,0.003623,8.26,5
bab9d62d,Webb-7499,Sagittarius Arm,0.003623,8.26,209
a276d766,PSR 122076,Sagittarius Arm,0.003619,8.25,2
72b45f97,Mu Galacticis,Disk Background,0.003615,8.24,4
84b94638,HIP 128623,Core,0.003613,8.24,3
16ea4658,Zeta Bulge,Core,0.003587,8.18,209
42ab1d52,Gliese 770.0,Cygnus Arm,0.003587,8.18,8
55c5fbe5,Nu Bulge,Core,0.003573,8.15,3
aba25f48,Webb-803,Cygnus Arm,0.003573,8.15,5
7d4687e1,HR 277606,Core,0.003571,8.14,6
92a495bd,Iota Bulge,Core,0.003555,8.1,4
471dfbf1,HD 217167,Disk Background,0.003555,8.1,5
0d51013f,Epsilon Orionis,Orion Arm,0.003535,8.06,210
103a7fb6,Pi Bulge,Core,0.00202,4.61,6
213b5d5e,HIP 194972,Cygnus Arm,0.001964,4.48,5
cf466493,HD 21539,Cygnus Arm,0.001924,4.39,5
39b28939,Gaia-8051,Core,0.001904,4.34,2
08d60348,Gaia-2577,Perseus Arm,0.001884,4.29,4
48b73528,HIP 224857,Orion Arm,0.001876,4.28,6
efc41c68,Upsilon Bulge,Core,0.001874,4.27,3
300dd191,Webb-4462,Core,0.001874,4.27,4
97f76f12,GDE-6872d,Core,0.001868,4.26,5
32ceae76,Omega Cygni,Cygnus Arm,0.00186,4.24,4
c138b771,Kappa Bulge,Core,0.001846,4.21,3
fbb844dc,Omicron Bulge,Core,0.001848,4.21,5
4b7c064b,TESS-2675,Orion Arm,0.001846,4.21,4
ea34b446,Gaia-5120,Cygnus Arm,0.001842,4.2,6
5d0296c5,GDE-1542,Core,0.001833,4.18,2
c5fa3bd8,Delta Persei,Perseus Arm,0.001831,4.18,4
8b7ab053,Theta Bulge,Core,0.001833,4.18,4
f07e5907,Pi Bulge,Core,0.001831,4.18,3
a58ff1f3,Rho Bulge,Core,0.001833,4.18,5
009ceee0,Theta Cygni,Cygnus Arm,0.001836,4.18,4
c693897f,Xi Bulge,Core,0.001836,4.18,4
b7b3fe33,GDE-7293,Sagittarius Arm,0.001827,4.17,209
59f5e50e,Gliese 247.0,Disk Background,0.001827,4.17,2
e8a1b267,HR 220748,Perseus Arm,0.001827,4.17,208
6c9a2d21,TESS-1874,Cygnus Arm,0.001827,4.17,2
f37f6bfb,Selene,Cygnus Arm,0.001827,4.17,208
d2721cee,Gaia-2908,Cygnus Arm,0.001827,4.17,3
4ef3ab32,Gaia-7260,Core,0.001827,4.17,3
eceb4647,Elysium,Perseus Arm,0.001827,4.17,208
5435315e,Epsilon Persei,Perseus Arm,0.001827,4.17,207
d36832b5,Gamma Cygni,Cygnus Arm,0.001827,4.17,208
57b3f2a1,Sigma Cygni,Cygnus Arm,0.001827,4.17,210
95b4b25d,Rhea III,Cygnus Arm,0.001827,4.17,3
d87ca538,Eta Bulge,Core,0.001827,4.17,2
d43ca547,Kepler-3610,Perseus Arm,0.001827,4.17,4
07c2486a,Omicron Orionis,Orion Arm,0.001827,4.17,4
c99588e1,PSR 283541,Core,0.001827,4.17,3
881ab161,Webb-8175,Cygnus Arm,0.001827,4.17,4
e01b5887,HD 218886,Disk Background,0.001827,4.17,2
91772165,Gliese 717.0,Disk Background,0.001827,4.17,2
f91f82e6,Webb-2933,Sagittarius Arm,0.001827,4.17,4
b0a48b50,Gamma Persei,Perseus Arm,0.001827,4.17,207
bce7d21d,HR 58037,Core,0.001827,4.17,208
52ec7811,Gaia-5293,Sagittarius Arm,0.001827,4.17,2
ab5f4c91,Upsilon Orionis,Orion Arm,0.001827,4.17,5
4439552e,GDE-232,Cygnus Arm,0.001827,4.17,3
acf540a2,GDE-1687,Core,0.001827,4.17,4
6166b550,Gaia-1359a,Perseus Arm,0.001827,4.17,3
d339bd61,Webb-5587a,Cygnus Arm,0.001827,4.17,207
18834c8d,GDE-845,Orion Arm,0.001827,4.17,207
04b2c790,Astraea Prime,Sagittarius Arm,0.001827,4.17,2
c10fd0b3,Zeta Persei,Perseus Arm,0.001827,4.17,4
ce33537e,HD 271550,Perseus Arm,0.001827,4.17,5
52fb528a,Gliese 455.0,Core,0.001827,4.17,3
b7608074,PSR 255191,Core,0.001827,4.17,2
3144372a,Webb-5597c,Cygnus Arm,0.001827,4.17,4
fc6e3f38,PSR 289778,Sagittarius Arm,0.001827,4.17,210
ffd34728,Novis,Perseus Arm,0.001827,4.17,2
179b8b59,Gliese 577.0,Core,0.001827,4.17,3
0ba83e15,Gliese 257.0,Orion Arm,0.001827,4.17,210
95070db4,Iota Sagittarii,Sagittarius Arm,0.001827,4.17,3
c40db321,TESS-7735,Disk Background,0.001827,4.17,4
ba32b3bf,HR 123535,Orion Arm,0.001827,4.17,209
85d91d79,PSR 272701,Core,0.001827,4.17,207
435d0b34,Gaia-4401,Orion Arm,0.001827,4.17,207
42a4e578,Tau Sagittarii,Sagittarius Arm,0.001827,4.17,3
659d98f7,PSR 295578,Sagittarius Arm,0.001827,4.17,4
7d998a32,Omicron Galacticis,Disk Background,0.001827,4.17,2
0d5fe863,HD 45183,Cygnus Arm,0.001827,4.17,3
90131138,PSR 218196,Perseus Arm,0.001827,4.17,2
41bf3fe6,GDE-5391,Cygnus Arm,0.001827,4.17,210
03fd8207,TESS-5290,Perseus Arm,0.001827,4.17,2
1e090922,GDE-4070,Cygnus Arm,0.001827,4.17,207
5e2afd48,Novis,Core,0.001827,4.17,2
656b03ff,Pi Cygni,Cygnus Arm,0.001827,4.17,3
6cb48572,Gaia-4129b,Orion Arm,0.001827,4.17,2
6d440304,Webb-1869,Cygnus Arm,0.001827,4.17,207
ba33dd6b,TESS-8080,Sagittarius Arm,0.001827,4.17,207
81be0011,Kepler-2600,Perseus Arm,0.001827,4.17,4
d0061a5c,GDE-1312,Perseus Arm,0.001827,4.17,4
822c2457,HD 197655,Orion Arm,0.001825,4.16,4
071e610d,GDE-7399,Core,0.001823,4.16,208
a9ae6991,HR 25385,Disk Background,0.001823,4.16,2
1a5aea24,Gliese 561.0,Sagittarius Arm,0.001823,4.16,4
5e6d8a25,Xi Cygni,Cygnus Arm,0.001823,4.16,5
5214fee4,Webb-3991,Cygnus Arm,0.001823,4.16,207
ab40c2be,Webb-9149d,Perseus Arm,0.001823,4.16,5
a2c1a02e,Kepler-8079d,Cygnus Arm,0.001825,4.16,208
453b5577,Theta Sagittarii,Sagittarius Arm,0.001823,4.16,3
90e8097e,Gliese 196.0,Perseus Arm,0.001825,4.16,207
da17f992,HIP 299647,Core,0.001823,4.16,3
607fd3e2,TESS-1750,Cygnus Arm,0.001825,4.16,208
25c7f883,GDE-7889,Perseus Arm,0.001825,4.16,210
472fc1f1,Kepler-9147,Perseus Arm,0.001823,4.16,3
991dd9ee,Nu Cygni,Cygnus Arm,0.001825,4.16,207
04308117,HIP 89711,Cygnus Arm,0.001825,4.16,3
6144e36c,Omicron Orionis,Orion Arm,0.001825,4.16,3
017957c7,Gaia-3148,Sagittarius Arm,0.001823,4.16,208
db74cbd4,Webb-6726b,Perseus Arm,0.001819,4.15,208
d816e4a0,Gaia-7452,Sagittarius Arm,0.001821,4.15,4
27f627fe,HR 232123,Orion Arm,0.001819,4.15,3
6653749b,TESS-3822,Sagittarius Arm,0.001821,4.15,4
e7cf4d3c,Epsilon Bulge,Core,0.001819,4.15,208
8d8c08b2,TESS-8033,Core,0.001819,4.15,207
2cea10f8,HIP 201480,Orion Arm,0.001819,4.15,208
d2b9927f,Gliese 753.0,Sagittarius Arm,0.001821,4.15,4
eba808b1,TESS-8476,Core,0.001819,4.15,4
dcb9022b,HR 288411,Core,0.001821,4.15,4
6f445231,PSR 141980,Cygnus Arm,0.001819,4.15,4
4c130f6d,Kepler-5383,Sagittarius Arm,0.001821,4.15,208
a1205430,Webb-7543,Perseus Arm,0.001819,4.15,4
6b4348da,Kepler-2936,Disk Background,0.001821,4.15,207
4d6b9e7d,Phi Bulge,Core,0.001819,4.15,3
485b2de6,HIP 114085,Perseus Arm,0.001815,4.14,208
bf8912d1,Webb-7458,Perseus Arm,0.001817,4.14,209
97cabe85,Kepler-4055e,Core,0.001815,4.14,4
1f6a7f33,PSR 230511,Core,0.001817,4.14,2
0ac55275,Webb-9710,Sagittarius Arm,0.001817,4.14,3
9be71bc0,HD 234522,Cygnus Arm,0.001811,4.13,3
807c7f9a,Webb-4746d,Core,0.001813,4.13,209
28f9f5ed,HR 76896,Cygnus Arm,0.001809,4.13,4
f7cfa365,PSR 77573,Core,0.001813,4.13,3
7fbfec95,Epsilon Bulge,Core,0.001811,4.13,4
85611719,HR 248540,Orion Arm,0.001807,4.12,210
fc1c6b53,HR 276499,Core,0.001807,4.12,2
1d8d6567,Rho Persei,Perseus Arm,0.001805,4.12,207
9341632f,Webb-5498,Cygnus Arm,0.001803,4.11,4
5aa2bc65,GDE-8486,Sagittarius Arm,0.001797,4.1,3
b633c223,HD 103783,Core,0.001797,4.1,6
b3b883fb,HR 207223,Core,0.001789,4.08,4
f5086a77,PSR 282660,Sagittarius Arm,0.001783,4.07,6
c0f265f3,Kappa Cygni,Cygnus Arm,0.001779,4.06,5
0fadbf92,GDE-7169,Sagittarius Arm,0.001775,4.05,6
2b6f2de2,Zeta Cygni,Cygnus Arm,0.001771,4.04,209
36883286,HR 51505,Sagittarius Arm,0.001769,4.03,209
1b2f89c3,Novis,Disk Background,0.001763,4.02,3
746bf383,TESS-2663d,Disk Background,0.001763,4.02,3
e31a480e,Epsilon Cygni,Cygnus Arm,0.001763,4.02,5
cd4e2500,TESS-1042,Sagittarius Arm,0.001755,4.0,3
d3d826bd,TESS-2593d,Cygnus Arm,0.000277,0.63,4
a578783b,Rho Bulge,Core,0.000217,0.49,7
e1716de2,HD 292272,Cygnus Arm,0.000156,0.36,4
4a028784,Gaia-3417a,Cygnus Arm,0.000146,0.33,5
9a3d1d02,Omega Bulge,Core,8.4e-05,0.19,2
e2d1f1e8,Gaia-6030,Sagittarius Arm,6.8e-05,0.16,4
b6a1552d,Gliese 848.0,Disk Background,7.2e-05,0.16,2
0ced0011,Gaia-3553,Cygnus Arm,6.6e-05,0.15,3
d438f44d,Upsilon Sagittarii,Sagittarius Arm,6.2e-05,0.14,3
d224a7f8,Xi Cygni,Cygnus Arm,6e-05,0.14,4
249c260a,Xi Galacticis,Disk Background,5.8e-05,0.13,4
0e11fed7,HD 163470,Orion Arm,4.6e-05,0.11,6
ad82f4bb,Delta Galacticis,Disk Background,5e-05,0.11,3
8e7872ca,Delta Bulge,Core,4.4e-05,0.1,3
de6f933e,Pi Cygni,Cygnus Arm,4.2e-05,0.1,5
19a713aa,TESS-778,Cygnus Arm,3.6e-05,0.08,3
51cdd6f8,Alpha Bulge,Core,3.2e-05,0.07,4
4928468b,PSR 38803,Cygnus Arm,2.8e-05,0.06,4
2b176def,Gamma Orionis,Orion Arm,2.6e-05,0.06,4
a6e30c3a,HR 18177,Orion Arm,2.8e-05,0.06,3
f3143f78,Kepler-9584,Core,2.6e-05,0.06,4
f7fc01b9,Webb-9994,Core,2.6e-05,0.06,3
28d28df2,TESS-8790,Cygnus Arm,2e-05,0.05,6
002e0283,TESS-9089,Sagittarius Arm,2e-05,0.05,4
57c88089,TESS-3856,Core,2e-05,0.05,4
7845146e,Gaia-5646,Orion Arm,1.6e-05,0.04,4
f9805be0,Webb-7933,Perseus Arm,1.6e-05,0.04,3
0103b4da,Alpha Galacticis,Disk Background,1.8e-05,0.04,5
1e6e8dbb,HIP 144042,Cygnus Arm,1.6e-05,0.04,4
30f60854,GDE-2110,Perseus Arm,1.6e-05,0.04,2
be3a7b58,TESS-3635,Core,1.6e-05,0.04,3
e2190799,HD 146692,Core,1.6e-05,0.04,4
