tick,year,civilization_id,civilization_name,personality,opportunity_score,expansion_factor,trade_factor,tech_factor,energy_factor
1,100,7419a59432,Unified Merari Council,Scientific,47.99,0.0,17.99,20.0,10.0
1,100,bb1351012f,Zylarian Directorate,Scientific,41.46,0.0,14.2,17.27,10.0
1,100,3be9d94e07,Unified Kaelumoid Council,Scientific,45.76,0.0,16.4,19.36,10.0
1,100,033668785c,The Solis Federation,Industrialist,41.21,10.85,8.0,12.36,10.0
1,100,f8a4edc83b,Consolidated Xenoid Worlds,Industrialist,41.84,10.85,7.42,13.57,10.0
1,100,d2748466c9,Scientific Xenis Union,Scientific,45.31,10.85,8.19,16.26,10.0
1,100,4a7ef72f37,The Bulgite Federation,Scientific,33.7,7.56,0.0,16.14,10.0
1,100,23979e6a05,Unified Persean Council,Scientific,41.94,12.66,6.18,13.1,10.0
1,100,b6e89e8b4d,Allied Chi-perseis Systems,Diplomatic,35.39,12.66,3.07,9.66,10.0
1,100,243eff68e3,Sigma-bulgis Directorate,Scientific,37.68,10.15,0.0,17.53,10.0
1,100,9aa2eff7c3,Persean Directorate,Scientific,28.45,0.0,0.0,18.45,10.0
1,100,5db2756626,Unified Zelian Council,Scientific,44.36,0.0,16.59,17.77,10.0
1,100,37df7ce9be,Unified Xenoid Council,Scientific,45.8,0.0,18.17,17.62,10.0
1,100,63fff6610a,Meris Directorate,Scientific,45.01,0.0,16.84,18.17,10.0
1,100,52d6d92e6b,Unified Xenoid Council,Scientific,46.73,0.0,18.52,18.2,10.0
1,100,ea27a17ca6,The Meris Federation,Diplomatic,35.5,0.0,15.58,9.93,10.0
1,100,962632e3ac,Zylarex Directorate,Scientific,37.17,0.0,11.64,15.53,10.0
1,100,0bfb7074dd,Scientific Xenite Union,Scientific,38.92,0.0,12.33,16.6,10.0
1,100,626215ebea,Scientific Xenoid Union,Scientific,37.15,0.0,11.63,15.52,10.0
1,100,d8145cd1f0,Aurelite Commonwealth,Explorer,34.76,0.0,12.2,12.56,10.0
1,100,7315025cfd,Unified Aurelari Council,Scientific,33.5,0.0,3.5,20.0,10.0
1,100,d853839dba,Allied Zelite Systems,Scientific,29.11,0.0,4.91,14.2,10.0
1,100,c56a0b9792,Allied Elysiis Systems,Industrialist,29.26,6.81,3.74,8.71,10.0
1,100,2173a01d64,Allied Elysiian Systems,Industrialist,32.84,6.81,4.29,11.75,10.0
1,100,35390a1939,Valari Directorate,Scientific,56.61,27.0,4.65,14.96,10.0
1,100,6d4e0abb77,Scientific Zelan Union,Scientific,54.53,27.0,4.36,13.17,10.0
1,100,3a3695c8e9,Consolidated Galactican Worlds,Scientific,33.59,10.87,0.0,12.72,10.0
1,100,494354518b,Unified Zylarite Council,Scientific,28.18,0.0,3.04,15.13,10.0
1,100,a425d5c923,Allied Thranari Systems,Scientific,24.86,0.0,2.02,12.84,10.0
1,100,9cad00795f,Allied Aethelgardian Systems,Diplomatic,31.53,0.0,12.58,8.95,10.0
1,100,155f4eead5,The Aethelgardan Federation,Scientific,40.1,0.0,15.14,14.95,10.0
1,100,35b25d7eaf,Unified Aethelgardis Council,Scientific,41.25,0.0,12.92,18.33,10.0
1,100,4e674c46b8,Aethelgardan Directorate,Scientific,39.79,0.0,11.08,18.71,10.0
1,100,e4a60e62b6,Unified Zeloid Council,Scientific,46.57,0.0,21.28,15.29,10.0
1,100,24423298c0,Scientific Zylaroid Union,Scientific,47.8,0.0,22.06,15.75,10.0
1,100,95985a8620,Xenan Directorate,Scientific,53.35,0.0,23.35,20.0,10.0
1,100,80be4440e8,Kaelumis Directorate,Scientific,47.58,0.0,20.5,17.09,10.0
1,100,c7a93adf27,The Thranis Federation,Scientific,43.85,0.0,22.07,11.78,10.0
1,100,df2217070a,Allied Thranari Systems,Scientific,48.0,0.0,23.37,14.62,10.0
1,100,c64460376e,Gamma-orionis Directorate,Scientific,40.61,7.33,8.45,14.83,10.0
1,100,53e4b98264,Unified Orionian Council,Scientific,40.24,7.33,6.77,16.15,10.0
1,100,14c594f145,Unified Orionian Council,Scientific,41.27,7.33,7.95,15.99,10.0
1,100,abb26e55dc,Consolidated Orionian Worlds,Scientific,49.02,20.19,6.89,11.93,10.0
1,100,075b3fb3b1,Unified Theta-orionis Council,Scientific,52.93,20.19,6.0,16.74,10.0
1,100,d401178af2,Theta-orionis Commonwealth,Scientific,52.92,20.19,8.1,14.62,10.0
1,100,6dfc531f16,Unified Xenis Council,Scientific,35.18,10.99,0.0,14.19,10.0
1,100,36b91772ac,Unified Orionis Council,Scientific,38.73,8.73,0.0,20.0,10.0
1,100,3c983bfdab,Unified Vesperari Council,Scientific,42.46,0.0,12.83,19.64,10.0
1,100,db90f4ff25,Unified Xenan Council,Scientific,40.19,0.0,11.15,19.04,10.0
1,100,cfec2df928,Consolidated Zylarex Worlds,Industrialist,29.58,0.0,12.02,7.55,10.0
1,100,a189e2924d,The Thranian Federation,Scientific,35.2,0.0,13.45,11.76,10.0
1,100,30e300e760,Scientific Sagittariite Union,Scientific,29.08,0.0,3.95,15.12,10.0
1,100,65ea513ebb,Unified Sagittarian Council,Scientific,31.55,0.0,4.4,17.15,10.0
1,100,6fbfc2a11d,Unified Orionite Council,Scientific,41.94,0.0,15.27,16.67,10.0
1,100,bceea7e00e,Unified Orionan Council,Scientific,42.56,0.0,15.89,16.67,10.0
1,100,9875fc03a4,Orionian Directorate,Scientific,42.5,0.0,14.55,17.95,10.0
1,100,81601b2e5e,Unified Sigma-orionis Council,Scientific,44.16,0.0,14.47,19.69,10.0
1,100,72196fa906,Sigma-orionis Commonwealth,Isolationist,36.61,0.0,16.17,10.44,10.0
1,100,3c4760ddea,Zelis Commonwealth,Scientific,40.91,17.54,0.0,13.36,10.0
1,100,9d578c755a,Scientific Zelian Union,Scientific,39.32,9.32,0.0,20.0,10.0
1,100,23094db297,Allied Solian Systems,Isolationist,15.83,0.0,0.0,5.83,10.0
1,100,642e75a08d,Scientific Thranan Union,Scientific,36.08,7.32,0.0,18.76,10.0
1,100,b619dd5fb5,Scientific Thranan Union,Scientific,40.28,6.49,7.21,16.57,10.0
1,100,e3ba98a843,Unified Valoid Council,Scientific,42.12,6.49,8.02,17.61,10.0
1,100,50f9748c73,Scientific Vesperex Union,Scientific,41.32,6.49,7.31,17.52,10.0
1,100,3e1c9fe27e,Cygnian Directorate,Scientific,37.19,0.0,8.69,18.5,10.0
1,100,cb16d2a5bc,Gamma-cygnis Directorate,Scientific,31.17,0.0,7.58,13.6,10.0
1,100,340e3912e2,Cygnite Directorate,Scientific,33.43,0.0,6.99,16.44,10.0
1,100,6ebb371c3c,The Tau-galacticis Federation,Scientific,39.72,15.47,0.0,14.25,10.0
1,100,1b37c066da,Valis Commonwealth,Scientific,48.44,24.75,0.0,13.69,10.0
1,100,f4a721a47f,Gamma-galacticis Directorate,Scientific,30.73,6.93,0.0,13.8,10.0
1,100,63d8758b53,The Aurelex Federation,Scientific,43.28,21.43,0.0,11.85,10.0
1,100,415811daec,Solian Directorate,Scientific,41.64,9.57,6.53,15.54,10.0
1,100,cb312b9d86,Aurelex Directorate,Scientific,45.08,9.57,5.88,19.63,10.0
1,100,53dc64803e,Scientific Orionian Union,Scientific,44.49,9.57,4.92,20.0,10.0
1,100,5b3c302325,Scientific Bulgian Union,Scientific,42.32,14.44,0.0,17.88,10.0
1,100,947f74a852,Allied Sagittariite Systems,Explorer,32.15,6.19,4.23,11.72,10.0
1,100,7df05aba52,Unified Sagittarian Council,Scientific,36.48,6.19,4.7,15.59,10.0
1,100,e23dc5e375,Republic of Galactician,Diplomatic,48.8,25.2,0.0,13.6,10.0
1,100,77811a2fa9,Gaeian Directorate,Scientific,31.45,7.39,0.0,14.06,10.0
1,100,4a9574c523,Scientific Kaelumite Union,Scientific,34.02,0.0,8.21,15.81,10.0
1,100,e99c95009e,Merex Directorate,Scientific,34.7,0.0,7.44,17.25,10.0
1,100,6957a14d13,Xenian Directorate,Scientific,35.95,0.0,7.42,18.53,10.0
1,100,2a34070c99,Consolidated Persean Worlds,Scientific,49.38,12.7,11.6,15.08,10.0
1,100,4c67325ea2,Unified Persean Council,Scientific,40.11,0.0,11.55,18.56,10.0
1,100,8eadd942b0,Scientific Phi-perseis Union,Scientific,39.09,0.0,11.81,17.28,10.0
1,100,d2f4557294,Perseian Directorate,Scientific,34.43,0.0,10.45,13.98,10.0
1,100,6657429a7c,Unified Ignis-ivis Council,Scientific,25.61,0.0,0.0,15.61,10.0
1,100,5f5ebcf2f5,Solari Directorate,Scientific,39.72,7.86,3.03,18.84,10.0
1,100,5578b4053f,Unified Zylaris Council,Scientific,37.39,7.86,4.1,15.43,10.0
1,100,095464621d,Cygnan Commonwealth,Isolationist,42.6,17.28,4.33,10.99,10.0
1,100,22e010a52d,Unified Cygnite Council,Scientific,45.07,17.28,1.98,15.81,10.0
1,100,a987357567,Scientific Thranite Union,Scientific,28.52,0.0,0.0,18.52,10.0
1,100,cf1fb521d7,Allied Sagittarian Systems,Scientific,43.36,6.79,14.79,11.78,10.0
1,100,0895acc0af,Sagittarian Directorate,Industrialist,47.11,6.79,15.7,14.62,10.0
1,100,cd650c58ff,Gamma-sagittariis Directorate,Scientific,46.39,6.79,14.52,15.08,10.0
1,100,208f64f5f9,Scientific Sagittarian Union,Scientific,49.41,6.79,13.67,18.94,10.0
1,100,a03b53100a,Orionex Directorate,Scientific,27.64,0.0,0.0,17.64,10.0
1,100,2640424e04,Unified Aurelan Council,Scientific,41.44,11.44,0.0,20.0,10.0
1,100,ad899b1ed9,The Meran Federation,Scientific,31.3,0.0,6.03,15.27,10.0
1,100,b53d4251d2,Meroid Directorate,Scientific,32.48,0.0,5.63,16.85,10.0
1,100,2b4452e77b,Soloid Directorate,Scientific,34.57,0.0,5.22,19.35,10.0
1,100,7994a1ada7,Unified Bulgan Council,Scientific,36.29,8.93,2.99,14.38,10.0
1,100,2b100070c5,Bulgite Directorate,Scientific,39.08,8.93,3.54,16.62,10.0
1,100,984d4d4161,Consolidated Vesperan Worlds,Scientific,47.28,24.85,0.0,12.44,10.0
1,100,04b742dd38,The Perseian Federation,Scientific,27.14,6.63,0.0,10.51,10.0
1,100,82f9ee8fb4,The Valoid Federation,Industrialist,44.63,21.8,0.0,12.82,10.0
1,100,08d81107e6,Zylarian Directorate,Scientific,26.55,0.0,0.0,16.55,10.0
1,100,38a2dd884c,Allied Sagittariian Systems,Industrialist,37.12,18.83,0.0,8.29,10.0
1,100,1c90d82c80,Cygnian Directorate,Scientific,50.83,26.09,0.0,14.74,10.0
1,100,a067552faf,Consolidated Ian Worlds,Scientific,35.36,10.69,2.28,12.4,10.0
1,100,c6642b2284,Scientific Gaea-is Union,Scientific,41.04,10.69,3.34,17.01,10.0
1,100,a222a74ae8,Zelex Directorate,Scientific,42.25,6.65,7.08,18.53,10.0
1,100,c235dc422c,Scientific Kaeluman Union,Industrialist,37.75,6.65,5.56,15.54,10.0
1,100,9dbca7c528,Unified Vesperari Council,Scientific,39.12,6.65,6.33,16.14,10.0
1,100,f714a79195,Scientific Orionian Union,Scientific,31.92,0.0,4.03,17.89,10.0
1,100,f6221e08e8,Orionian Directorate,Scientific,31.38,0.0,3.07,18.31,10.0
1,100,f0cb6b0a91,Xenoid Directorate,Scientific,48.62,8.04,14.22,16.36,10.0
1,100,609e70586f,Scientific Kaeluman Union,Scientific,49.62,8.04,13.87,17.71,10.0
1,100,a866d8dcfc,Zelis Directorate,Scientific,51.3,8.04,13.88,19.38,10.0
1,100,26a6b7dcc3,Consolidated Valan Worlds,Diplomatic,44.97,8.04,12.92,14.01,10.0
1,100,7be35390be,Scientific Valan Union,Scientific,33.56,0.0,11.17,12.4,10.0
1,100,87f864fe83,Unified Thranari Council,Scientific,40.97,0.0,12.65,18.32,10.0
1,100,3ba7df6ae1,Scientific Thranite Union,Scientific,40.67,0.0,10.67,20.0,10.0
1,100,edb45b6eec,Unified Kaelumoid Council,Scientific,37.31,0.0,13.43,13.88,10.0
1,100,fe5ce1f2b8,Consolidated Kaelumari Worlds,Scientific,27.77,0.0,4.64,13.12,10.0
1,100,a31575c86a,Unified Orionex Council,Scientific,29.56,0.0,3.35,16.21,10.0
1,100,7652ec5c8d,Unified Theta-perseis Council,Scientific,27.73,0.0,0.0,17.73,10.0
1,100,98fbfa35fa,Sigma-orionis Commonwealth,Industrialist,20.94,0.0,0.0,10.94,10.0
1,100,f0ada7121c,Consolidated Solex Worlds,Industrialist,41.26,12.76,7.76,10.74,10.0
1,100,6eb9b1daf2,Scientific Xenite Union,Scientific,46.44,12.76,7.63,16.04,10.0
1,100,07a0027478,The Vesperis Federation,Scientific,40.4,12.76,7.26,10.38,10.0
1,100,187eb0978f,Scientific Merite Union,Scientific,43.73,17.18,0.0,16.55,10.0
1,100,8bd71d17f7,Unified Xenis Council,Scientific,37.02,0.0,7.47,19.55,10.0
1,100,7f4ec7825c,Allied Soloid Systems,Scientific,30.45,0.0,7.89,12.56,10.0
1,100,a1d0ea467a,Unified Meris Council,Scientific,35.93,0.0,6.03,19.9,10.0
1,100,71d820677a,The Zylaran Federation,Scientific,35.27,6.67,9.16,9.44,10.0
1,100,6d2f3e5ed1,Aurelari Directorate,Scientific,38.17,6.67,7.98,13.52,10.0
1,100,3339448f7c,Xenan Directorate,Scientific,41.48,6.67,9.1,15.72,10.0
1,100,be3191b575,Scientific Eta-galacticis Union,Scientific,46.54,16.09,6.3,14.14,10.0
1,100,63f01adf18,Consolidated Galacticite Worlds,Diplomatic,38.52,16.09,3.71,8.71,10.0
1,100,b75dce1421,Allied Bulgite Systems,Industrialist,38.66,15.9,3.38,9.38,10.0
1,100,4c8e6a8540,Allied Bulgan Systems,Scientific,44.71,15.9,3.91,14.9,10.0
1,100,76c64a14d6,Unified Orionoid Council,Scientific,27.29,0.0,0.0,17.29,10.0
1,100,517cb43ce0,Scientific Solan Union,Scientific,40.28,0.0,12.67,17.61,10.0
1,100,d378f96d17,Kaelumian Commonwealth,Scientific,35.21,0.0,13.15,12.06,10.0
1,100,7664b6b371,Orionian Directorate,Scientific,40.99,0.0,12.27,18.72,10.0
1,100,739bb87006,Unified Aurelex Council,Scientific,40.76,0.0,11.44,19.32,10.0
1,100,8853384409,Unified Kaelumex Council,Scientific,37.96,10.84,0.0,17.12,10.0
1,100,bda6417e80,Scientific Persean Union,Scientific,38.47,0.0,10.21,18.26,10.0
1,100,56cd534bb7,The Persean Federation,Scientific,32.94,0.0,11.47,11.47,10.0
1,100,c6e77e6789,Persean Directorate,Scientific,39.35,0.0,11.35,18.0,10.0
1,100,ac4afd4a27,Perseite Directorate,Scientific,39.24,0.0,11.53,17.7,10.0
1,100,778b8b68c3,Scientific Aurelex Union,Scientific,32.14,0.0,2.55,19.59,10.0
1,100,c5213edcba,Scientific Meran Union,Scientific,30.17,0.0,4.26,15.91,10.0
1,100,37b8da7a55,Zylaris Directorate,Scientific,34.45,6.16,0.0,18.29,10.0
1,100,c1803ec34d,Aurelari Directorate,Scientific,25.18,0.0,0.0,15.18,10.0
1,100,d957806d32,Galactician Commonwealth,Isolationist,39.25,8.02,8.5,12.73,10.0
1,100,fcda05fc4e,Unified Sigma-galacticis Council,Scientific,43.89,8.02,8.65,17.22,10.0
1,100,2320e9a617,Galactican Directorate,Scientific,39.2,8.02,5.72,15.47,10.0
1,100,75a58165a0,The Galactican Federation,Isolationist,30.39,8.02,8.27,4.1,10.0
1,100,d5f12251b2,Unified Xenian Council,Scientific,43.13,0.0,14.15,18.98,10.0
1,100,b4221d6e15,Unified Xenis Council,Scientific,41.37,0.0,15.01,16.37,10.0
1,100,b3ddaf54de,Unified Zylarex Council,Scientific,42.66,0.0,16.19,16.47,10.0
1,100,fa8159dac5,Unified Xenian Council,Scientific,41.38,0.0,13.72,17.66,10.0
1,100,02e103d2b6,Dominion of Thranari,Isolationist,44.24,0.0,18.36,15.88,10.0
1,100,b0eb206a08,The Thranis Federation,Industrialist,25.43,0.0,7.34,8.08,10.0
1,100,529174abfd,Unified Meroid Council,Scientific,34.74,0.0,6.51,18.23,10.0
1,100,658cf93cc4,Unified Zylarian Council,Scientific,35.62,0.0,6.86,18.76,10.0
1,100,3b106fa102,Unified Perseian Council,Scientific,26.12,0.0,2.99,13.12,10.0
1,100,cb6235e194,Allied Phi-perseis Systems,Scientific,28.86,0.0,2.05,16.81,10.0
1,100,6a9427ac16,Consolidated Prometheian Worlds,Scientific,42.37,20.39,0.0,11.98,10.0
1,100,094756ff65,Unified Vesperis Council,Industrialist,39.34,8.96,4.62,15.76,10.0
1,100,e07661a882,Aurelari Directorate,Scientific,39.88,8.96,3.6,17.32,10.0
1,100,d340e67e88,Scientific Aurelan Union,Scientific,24.64,0.0,0.0,14.64,10.0
1,100,78635879d1,Scientific Priman Union,Scientific,32.83,0.0,2.99,19.84,10.0
1,100,71f4e16f01,Primite Directorate,Scientific,28.62,0.0,1.93,16.68,10.0
1,100,62149b123f,Scientific Sagittarian Union,Scientific,25.79,0.0,0.0,15.79,10.0
1,100,4c3eb31272,Iota-sagittariis Directorate,Scientific,31.36,0.0,2.79,18.57,10.0
1,100,460d2edc1f,Sagittarian Directorate,Scientific,28.13,0.0,3.39,14.75,10.0
1,100,6c40e5c997,Orionite Directorate,Scientific,45.89,9.93,7.85,18.1,10.0
1,100,ce97697488,Scientific Orionian Union,Scientific,43.67,9.93,8.39,15.35,10.0
1,100,4df0d9ee3b,Scientific Orionite Union,Scientific,43.67,9.93,6.01,17.74,10.0
1,100,5a236efd3f,Beta-bulgis Commonwealth,Scientific,60.27,29.7,4.62,15.96,10.0
1,100,b8c054770f,Beta-bulgis Directorate,Scientific,60.38,29.7,3.6,17.08,10.0
1,100,1bc76d1c73,Consolidated Orionis Worlds,Scientific,45.56,21.61,0.0,13.95,10.0
1,100,1c4722b997,Unified Orionite Council,Scientific,37.35,7.48,0.0,19.86,10.0
1,100,0e67dd57aa,Unified Valis Council,Scientific,38.17,6.56,7.76,13.85,10.0
1,100,88977397af,Zylarex Directorate,Scientific,40.33,6.56,7.67,16.1,10.0
1,100,84a3d643c9,Scientific Orionis Union,Scientific,43.93,6.56,8.9,18.47,10.0
1,100,19190c022d,Allied Zylaris Systems,Industrialist,37.47,9.55,5.62,12.3,10.0
1,100,cadd62d564,Allied Aurelite Systems,Diplomatic,37.14,9.55,4.56,13.03,10.0
1,100,d0016e25b4,The Meran Federation,Scientific,42.23,15.86,5.41,10.96,10.0
1,100,724362e429,Zeloid Commonwealth,Diplomatic,37.85,15.86,3.55,8.43,10.0
1,100,2b478a564d,Aurelian Commonwealth,Industrialist,32.58,8.37,5.66,8.55,10.0
1,100,999c5041c4,Scientific Aureliis Union,Scientific,42.64,8.37,5.7,18.57,10.0
1,100,06f00def5a,Scientific Aureliite Union,Scientific,39.28,8.37,4.52,16.39,10.0
1,100,23582772c8,Orionite Directorate,Scientific,26.4,0.0,0.0,16.4,10.0
1,100,61397f1d85,Solari Directorate,Scientific,43.44,9.73,6.27,17.44,10.0
1,100,ca40b2e629,Scientific Solex Union,Scientific,44.14,9.73,7.93,16.48,10.0
1,100,80d9c3cc28,Vesperian Directorate,Scientific,42.86,9.73,7.32,15.81,10.0
1,100,bcfcfb49cf,Scientific Thranex Union,Scientific,27.5,0.0,0.0,17.5,10.0
1,100,9568bafb15,Chi-bulgis Directorate,Scientific,34.29,0.0,6.89,17.4,10.0
1,100,47e406daef,Bulgian Directorate,Scientific,35.08,0.0,8.22,16.86,10.0
1,100,ad47c2dda3,Bulgite Commonwealth,Scientific,29.63,0.0,8.49,11.14,10.0
1,100,096fc37df4,Scientific Vesperoid Union,Scientific,56.45,32.67,0.0,13.78,10.0
1,100,0b6029ea29,Scientific Vesperis Union,Scientific,52.49,12.72,12.15,17.62,10.0
1,100,0ed21e60e5,Orionan Directorate,Scientific,54.45,12.72,13.75,17.99,10.0
1,100,5a9f1f61c7,Scientific Merex Union,Scientific,51.5,12.72,12.15,16.64,10.0
1,100,02fd90e690,Allied Meris Systems,Scientific,46.0,12.72,10.98,12.3,10.0
1,100,3557fb1c6f,Allied Kaelumex Systems,Militaristic,52.44,21.65,11.28,9.5,10.0
1,100,61550040fc,Unified Aurelian Council,Scientific,53.87,21.65,7.41,14.81,10.0
1,100,f0fcb8f048,The Valari Federation,Scientific,56.53,21.65,11.16,13.72,10.0
1,100,691ec52085,The Zelian Federation,Scientific,56.61,21.65,10.4,14.56,10.0
1,100,9a629191f0,Allied Orionan Systems,Scientific,22.88,0.0,0.0,12.88,10.0
1,100,33e625a829,Aureloid Directorate,Scientific,30.45,0.0,2.93,17.52,10.0
1,100,b91403ddc4,Consolidated Merari Worlds,Scientific,25.64,0.0,4.24,11.41,10.0
1,100,71073d1e77,Scientific Xenex Union,Scientific,34.4,9.1,0.0,15.3,10.0
1,100,58a2b00e32,Consolidated Persean Worlds,Explorer,38.02,10.12,7.44,10.46,10.0
1,100,03fca7f787,Perseian Commonwealth,Scientific,40.34,10.12,7.28,12.94,10.0
1,100,939c53fc68,Scientific Perseian Union,Scientific,44.15,10.12,8.11,15.92,10.0
1,100,dc652af4e1,Cygnan Commonwealth,Scientific,44.85,11.0,10.14,13.7,10.0
1,100,98e5a44c50,Cygnan Directorate,Scientific,47.98,11.0,8.72,18.26,10.0
1,100,e1017ed35e,Cygnan Directorate,Scientific,47.0,11.0,8.35,17.65,10.0
1,100,ee6f8a466e,Cygnian Commonwealth,Isolationist,45.13,11.0,11.97,12.16,10.0
1,100,bc259c8444,Scientific Kaelumian Union,Scientific,37.58,8.8,4.5,14.28,10.0
1,100,fc41667c54,Kaeluman Directorate,Scientific,43.16,8.8,4.36,20.0,10.0
1,100,b4e38b5ba0,Scientific Bulgian Union,Scientific,26.42,0.0,0.0,16.42,10.0
1,100,ed8eb43829,Omega-bulgis Directorate,Scientific,35.82,0.0,9.78,16.04,10.0
1,100,2d7a6c7193,Unified Omega-bulgis Council,Scientific,35.86,0.0,11.06,14.8,10.0
1,100,c4d87c45ee,Unified Bulgite Council,Scientific,39.75,0.0,10.13,19.62,10.0
1,100,62a7129a59,Unified Bulgian Council,Scientific,38.86,0.0,11.73,17.13,10.0
1,100,1e3994853e,Consolidated Thranian Worlds,Scientific,50.27,17.22,10.0,13.05,10.0
1,100,b28f9ec7d4,Scientific Thranari Union,Scientific,56.47,17.22,9.63,19.63,10.0
1,100,634ad45f7e,Scientific Aurelan Union,Scientific,51.95,17.22,9.59,15.14,10.0
1,100,75912c8e4c,Kaelumari Directorate,Scientific,53.08,17.22,9.19,16.68,10.0
1,100,d07bc4ae63,Scientific Valian Union,Industrialist,35.03,10.92,0.0,14.12,10.0
1,100,9696ce2491,Scientific Vesperari Union,Scientific,26.29,0.0,0.0,16.29,10.0
1,100,7036dbff3e,Scientific Orionite Union,Scientific,43.29,15.79,4.68,12.82,10.0
1,100,c98968025a,Orionan Directorate,Scientific,45.66,15.79,4.77,15.1,10.0
1,100,9d449a31b9,Consolidated Omega-cygnis Worlds,Industrialist,51.96,30.96,0.0,11.0,10.0
1,100,12f8de3472,Thranari Commonwealth,Industrialist,29.15,9.16,0.0,9.99,10.0
1,100,afc6771a1e,Unified Xenoid Council,Scientific,36.18,0.0,11.3,14.88,10.0
1,100,55c2a4dc5e,Thranari Commonwealth,Scientific,35.19,0.0,11.08,14.11,10.0
1,100,3779c3fe76,Unified Zelian Council,Scientific,37.84,0.0,10.75,17.09,10.0
1,100,cd01ef6fd0,Scientific Merari Union,Scientific,41.17,0.0,11.17,20.0,10.0
1,100,63803c4eb1,Unified Zelari Council,Scientific,44.71,17.47,4.29,12.95,10.0
1,100,20dcee6871,Unified Valoid Council,Scientific,39.57,9.5,3.1,16.98,10.0
1,100,53856bd8ca,Allied Sagittariian Systems,Scientific,50.46,29.01,0.0,11.45,10.0
1,100,da38a63176,Unified Orionis Council,Scientific,42.4,8.51,4.49,19.4,10.0
1,100,8196db66b3,Scientific Thranan Union,Scientific,41.36,8.51,5.53,17.32,10.0
1,100,f004cb791e,Scientific Perseian Union,Scientific,28.95,0.0,0.0,18.95,10.0
1,100,15955262e1,Aurelian Directorate,Scientific,48.09,23.35,0.0,14.74,10.0
1,100,c3662e3808,Unified Sagittariite Council,Scientific,47.54,20.3,0.0,17.24,10.0
1,100,7dc225fd37,Consolidated Orionian Worlds,Scientific,46.14,22.77,0.0,13.38,10.0
1,100,373ea01e5c,Consolidated Zylaris Worlds,Scientific,60.72,37.89,0.0,12.83,10.0
1,100,17fee1a6ac,The Thranite Federation,Scientific,29.8,8.42,0.0,11.38,10.0
1,100,66d46fcd47,Consolidated Orionite Worlds,Diplomatic,46.77,26.12,0.0,10.66,10.0
1,100,dffeed89fb,Chi-bulgis Directorate,Scientific,38.19,8.61,4.07,15.51,10.0
1,100,cd3cb2af45,The Chi-bulgis Federation,Scientific,38.77,8.61,5.44,14.72,10.0
1,100,5d262aaec3,Consolidated Xenite Worlds,Diplomatic,39.58,7.45,8.77,13.36,10.0
1,100,db6da7e17a,Orionis Directorate,Scientific,44.42,7.45,10.71,16.26,10.0
1,100,73573955bb,Orionite Directorate,Scientific,45.3,7.45,9.44,18.41,10.0
1,100,f2bbbfc167,Bulgan Commonwealth,Diplomatic,42.98,6.7,15.88,10.4,10.0
1,100,f929aa33ac,Bulgian Commonwealth,Scientific,43.8,6.7,14.89,12.21,10.0
1,100,28d83c4b42,Scientific Bulgite Union,Scientific,47.65,6.7,15.68,15.27,10.0
1,100,0ddd78edbb,The Delta-bulgis Federation,Diplomatic,41.97,6.7,14.51,10.76,10.0
1,100,d7ec4d3018,Thranan Directorate,Scientific,36.57,6.77,4.76,15.05,10.0
1,100,adc1c77061,Unified Thranis Council,Scientific,38.57,6.77,2.9,18.9,10.0
