wormhole_id,wormhole_type,stability_type,entry_system,exit_system,distance_reduction,stability,capacity,owner_empire
WRM-NAT-0040,Natural,Stable,7bffbd1a,08bcb72c,1464.34,1.0,1234.18,None
WRM-NAT-0041,Natural,Unstable,8d111666,9b62ffa7,40718.29,0.236,1642.43,None
WRM-NAT-0042,Natural,Unstable,85b3973d,4a343f94,19084.6,0.084,1448.46,None
WRM-NAT-0044,Natural,Stable,b7c960e0,43c54e7c,18125.79,1.0,561.16,None
WRM-NAT-0047,Natural,Unstable,7200a3bc,471dfbf1,16676.23,0.0,1011.6,None
WRM-NAT-0048,Natural,Unstable,18834c8d,a866c35c,34503.81,0.339,886.91,None
WRM-NAT-0049,Natural,Unstable,4b7fc619,46e6691a,50148.25,0.178,1294.48,None
WRM-NAT-0050,Natural,Stable,473dea70,a576f5a6,29700.12,1.0,1845.82,None
WRM-NAT-0052,Natural,Unstable,ab4c2378,f9805be0,33932.6,0.344,1669.81,None
WRM-NAT-0053,Natural,Stable,d9468784,1fa74e2c,68336.44,1.0,742.44,None
WRM-NAT-0055,Natural,Stable,f76d9126,61bec44a,14690.95,1.0,741.21,None
WRM-NAT-0056,Natural,Unstable,0a119398,41553110,17438.04,0.226,836.4,None
WRM-NAT-0057,Natural,Unstable,edc9d801,e773d95b,53293.42,0.063,1619.74,None
WRM-NAT-0058,Natural,Unstable,419c001a,df21000a,13412.88,0.229,1352.46,None
WRM-NAT-0060,Natural,Unstable,e24dc40c,627bb054,30360.16,0.346,1446.71,None
WRM-NAT-0061,Natural,Unstable,3353ef95,622636ae,25743.87,0.188,1238.78,None
WRM-NAT-0062,Natural,Unstable,838b4d92,e02e84ef,17442.75,0.186,1652.83,None
WRM-NAT-0063,Natural,Unstable,f8aa3b9b,683712a6,35359.18,0.135,919.34,None
WRM-NAT-0064,Natural,Unstable,abf1d9c6,f76d9126,31328.59,0.377,996.13,None
WRM-NAT-0065,Natural,Unstable,e01b5887,e120d580,24485.44,0.39,613.02,None
WRM-NAT-0066,Natural,Stable,39b28939,9a3d1d02,16131.64,1.0,902.71,None
WRM-NAT-0067,Natural,Unstable,a6e30c3a,b47ab25f,34136.42,0.097,1766.32,None
WRM-NAT-0068,Natural,Stable,a6e30c3a,4d6b9e7d,28546.0,1.0,813.38,None
WRM-NAT-0069,Natural,Unstable,030a27f0,819b78b5,21431.38,0.027,942.94,None
WRM-NAT-0071,Natural,Unstable,5d0296c5,b7d66c4b,28379.11,0.11,884.31,None
WRM-NAT-0072,Natural,Stable,0f848144,5e6d8a25,25744.07,1.0,507.78,None
WRM-NAT-0073,Natural,Stable,f5086a77,8e7872ca,17151.78,1.0,606.41,None
WRM-NAT-0074,Natural,Unstable,cb77346d,27b516dd,9046.71,0.069,1063.37,None
WRM-NAT-0076,Natural,Unstable,50580b5b,0b94ec1a,15198.51,0.195,545.75,None
WRM-NAT-0077,Natural,Unstable,2de6f589,7d998a32,28537.82,0.08,690.59,None
WRM-NAT-0079,Natural,Stable,9beac07b,b6a1552d,25685.41,1.0,1297.03,None
WRM-NAT-0080,Natural,Unstable,81ec4b80,a58ff1f3,7334.93,0.263,1963.78,None
WRM-NAT-0081,Natural,Unstable,97cabe85,d8fac1fb,4788.49,0.298,906.25,None
WRM-NAT-0082,Natural,Stable,82d87ebd,671fed61,38792.16,1.0,538.03,None
WRM-NAT-0083,Natural,Unstable,dbb1c841,16a611db,35692.59,0.248,1113.43,None
WRM-NAT-0084,Natural,Stable,671fed61,1c9c4f97,20651.05,1.0,875.36,None
WRM-NAT-0085,Natural,Unstable,08bcb72c,2b176def,22196.32,0.23,919.9,None
WRM-NAT-0086,Natural,Unstable,d34f2273,c5fa3bd8,57357.5,0.177,1417.58,None
WRM-NAT-0088,Natural,Stable,3e505d60,9a580c1f,36441.2,1.0,569.0,None
WRM-NAT-0089,Natural,Unstable,5e8cf4c1,17f2ba68,32985.29,0.0,525.74,None
WRM-NAT-0091,Natural,Stable,e85fd53e,9429fae3,26259.14,1.0,1923.72,None
WRM-NAT-0092,Natural,Unstable,eceb4647,aae5f615,42173.92,0.0,1900.15,None
WRM-NAT-0093,Natural,Unstable,55523ac6,7d161f8a,51182.44,0.242,1423.78,None
WRM-NAT-0094,Natural,Unstable,5bfc0b9a,ec97555c,25223.29,0.334,1454.61,None
WRM-NAT-0095,Natural,Unstable,48b73528,aba25f48,38107.09,0.187,692.75,None
WRM-NAT-0096,Natural,Unstable,6b4a448c,18228d8b,10186.99,0.213,1730.64,None
WRM-NAT-0097,Natural,Unstable,87c8e661,e93079dc,47987.33,0.037,821.88,None
WRM-NAT-0098,Natural,Stable,e01b5887,412d5502,17101.46,1.0,1427.38,None
WRM-NAT-0099,Natural,Unstable,8500084c,731fdccc,26558.71,0.093,1522.42,None
WRM-NAT-0100,Natural,Unstable,43dff816,0ced0011,10488.17,0.0,1545.11,None
WRM-NAT-0101,Natural,Unstable,0eca2aee,e9cf5c2b,40448.08,0.268,1705.22,None
WRM-NAT-0102,Natural,Stable,caab8c4c,07115d02,30764.45,1.0,1625.92,None
WRM-NAT-0103,Natural,Unstable,a9d80bfd,03fd8207,27209.75,0.106,1058.03,None
WRM-NAT-0104,Natural,Unstable,c693897f,07d00cb9,9893.52,0.365,1787.62,None
WRM-NAT-0105,Natural,Unstable,15780515,87a212ea,13247.35,0.277,654.69,None
WRM-NAT-0106,Natural,Unstable,011cf1c0,44ebb476,40150.75,0.313,980.07,None
WRM-NAT-0107,Natural,Unstable,5a6feec9,1ffcd021,20879.06,0.0,1858.07,None
WRM-NAT-0108,Natural,Unstable,3b241cd5,099ed5da,33325.73,0.375,1925.91,None
WRM-NAT-0109,Natural,Unstable,61f5947e,a7e76322,33480.19,0.124,939.82,None
WRM-NAT-0110,Natural,Unstable,ebd6dd77,8405f8a2,21847.56,0.276,1687.37,None
WRM-NAT-0111,Natural,Stable,1e6e8dbb,5d0296c5,42067.36,1.0,1241.63,None
WRM-NAT-0112,Natural,Unstable,6f116dc8,b83ff342,9245.01,0.121,1831.56,None
WRM-NAT-0113,Natural,Stable,e6225847,a1205430,27273.8,1.0,714.49,None
WRM-NAT-0115,Natural,Stable,08d60348,87c8e661,25708.17,1.0,1732.79,None
WRM-NAT-0116,Natural,Stable,1c9c4f97,7c2d6a19,32796.85,1.0,627.26,None
WRM-NAT-0117,Natural,Unstable,dc19cee1,9c68fb17,28303.2,0.085,1719.2,None
WRM-NAT-0118,Natural,Unstable,4b184660,775c658a,32515.85,0.277,1064.39,None
WRM-NAT-0119,Natural,Unstable,cf466493,e1716de2,25322.22,0.179,1136.33,None
WRM-NAT-0120,Natural,Stable,4f448a53,3bc416d8,52644.91,1.0,1238.94,None
WRM-NAT-0122,Natural,Unstable,e02e84ef,ea34b446,30909.83,0.273,1375.05,None
WRM-NAT-0125,Natural,Unstable,e02e84ef,2dc6f993,17711.11,0.164,1989.45,None
WRM-NAT-0126,Natural,Unstable,2deabc50,07115d02,8320.6,0.385,1284.65,None
WRM-NAT-0127,Natural,Unstable,97f76f12,e2d1f1e8,6530.55,0.127,1441.34,None
WRM-NAT-0128,Natural,Unstable,46ecf74b,80977950,14454.19,0.0,921.44,None
WRM-NAT-0129,Natural,Unstable,4524e1a1,213b5d5e,16395.27,0.128,1430.2,None
WRM-NAT-0130,Natural,Stable,7845146e,b2f8c1eb,31475.0,1.0,1195.55,None
WRM-NAT-0132,Natural,Unstable,32ceae76,76a53093,60654.19,0.168,964.29,None
WRM-NAT-0134,Natural,Unstable,39b28939,83611aa7,21843.56,0.263,1420.12,None
WRM-NAT-0135,Natural,Unstable,dacd2e39,b2056bd6,66586.94,0.333,567.83,None
WRM-NAT-0136,Natural,Unstable,2e29c6f2,a63bcdad,29669.22,0.14,1977.93,None
WRM-NAT-0138,Natural,Stable,02143620,6672463b,19666.16,1.0,555.23,None
WRM-NAT-0139,Natural,Stable,4b184660,807851ac,50897.49,1.0,613.04,None
WRM-NAT-0140,Natural,Unstable,e14f10eb,d0061a5c,28708.99,0.275,1869.75,None
WRM-NAT-0141,Natural,Unstable,9429fae3,4f284fdb,9104.94,0.279,1066.78,None
WRM-NAT-0143,Natural,Unstable,e41acc5f,1dd7aaec,20256.92,0.278,570.34,None
WRM-NAT-0144,Natural,Stable,b2426014,4ef3ab32,12712.08,1.0,1247.25,None
WRM-NAT-0145,Natural,Unstable,c2ed2f91,2b176def,20698.51,0.054,1724.58,None
WRM-NAT-0146,Natural,Stable,9652fc35,a9ae6991,32109.99,1.0,1687.73,None
WRM-NAT-0147,Natural,Unstable,4a343f94,34dc3f3b,52677.07,0.11,1677.0,None
WRM-NAT-0148,Natural,Unstable,f16a3cca,3144372a,27460.94,0.352,1425.9,None
WRM-NAT-0149,Natural,Unstable,d16ba6d2,208ea3f1,33132.54,0.218,1332.22,None
WRM-NAT-0150,Natural,Unstable,f2c5ccdb,255cdee9,19633.33,0.174,1176.37,None
WRM-NAT-0151,Natural,Unstable,2ec426da,b7608074,48538.62,0.331,1924.28,None
WRM-NAT-0152,Natural,Unstable,2ee67c76,af669957,35950.7,0.146,887.37,None
WRM-NAT-0153,Natural,Unstable,4fc4e1a5,8b08f1f9,27796.92,0.146,993.13,None
WRM-NAT-0155,Natural,Stable,95b4b25d,744b7c39,22788.91,1.0,708.24,None
WRM-NAT-0156,Natural,Stable,7ce49ce6,2ee67c76,11878.22,1.0,1018.5,None
WRM-NAT-0157,Natural,Unstable,103a7fb6,d3d826bd,16676.87,0.234,758.48,None
WRM-NAT-0158,Natural,Stable,1c9c4f97,74ba6a6c,42080.64,1.0,753.4,None
WRM-NAT-0159,Natural,Stable,82d87ebd,7d998a32,39706.42,1.0,633.05,None
WRM-NAT-0160,Natural,Unstable,ce745aad,85d91d79,10231.02,0.003,1046.4,None
WRM-NAT-0162,Natural,Stable,8121bb10,0d0603a9,16801.65,1.0,1810.37,None
WRM-NAT-0163,Natural,Stable,746bf383,16ea4658,5079.38,1.0,915.32,None
WRM-NAT-0165,Natural,Unstable,c40db321,80efa36c,15891.64,0.209,1053.37,None
WRM-NAT-0167,Natural,Unstable,b7b3fe33,26815867,37099.42,0.156,1298.17,None
WRM-NAT-0169,Natural,Stable,d35f9ca4,01fb818c,40670.88,1.0,1345.95,None
WRM-NAT-0170,Natural,Stable,011cf1c0,07c2486a,37959.42,1.0,1303.0,None
WRM-NAT-0171,Natural,Unstable,52fb528a,8cc8bea1,10377.84,0.137,1032.66,None
WRM-NAT-0172,Natural,Unstable,97f76f12,909275b3,19307.03,0.192,1605.23,None
WRM-NAT-0173,Natural,Unstable,89d8c40b,453749f1,26301.39,0.182,1068.16,None
WRM-NAT-0174,Natural,Unstable,c6de0b3f,abf1d9c6,29106.39,0.204,866.53,None
WRM-NAT-0175,Natural,Unstable,ecf07b9a,009ceee0,31450.12,0.367,511.3,None
WRM-NAT-0176,Natural,Unstable,622636ae,9b62ffa7,29054.6,0.144,1776.23,None
WRM-NAT-0178,Natural,Stable,1699edb3,29b68348,8531.15,1.0,1545.44,None
WRM-NAT-0179,Natural,Unstable,d9468784,446ad83e,51160.86,0.188,1876.09,None
WRM-NAT-0180,Natural,Unstable,3ce6b4ed,bde8aa44,20112.82,0.145,1584.34,None
WRM-ART-0001,Artificial,Stable,1bb2c06e,3ff7f130,5399.81,0.95,3000.0,f2bbbfc167
WRM-ART-0002,Artificial,Stable,ec6edc6a,7ae00114,36384.67,0.95,3000.0,1c90d82c80
WRM-ART-0003,Artificial,Stable,ec18573c,6be74bea,36164.35,0.95,3000.0,c6642b2284
WRM-ART-0004,Artificial,Stable,2b7c9993,44ebb476,1406.75,0.95,3000.0,7bf42c3a49
WRM-ART-0005,Artificial,Stable,e2176638,16ff6919,18706.06,0.95,3000.0,176da50470
WRM-ART-0006,Artificial,Stable,8b08f1f9,de4cb43e,39980.33,0.95,3000.0,03fca7f787
