tick,year,planet_id,commodity,price,volatility,inventory,value_index
1,100,0c3cb54d90,Rare Minerals,16.25,0.095,238.5,0.65
1,100,0c3cb54d90,Water,7.22,0.109,5.5,1.44
1,100,0c3cb54d90,Helium-3,13.0,0.095,34.2,0.65
1,100,0c3cb54d90,Energy,11.54,0.109,0.0,1.44
1,100,0c3cb54d90,Food,8.64,0.108,0.0,1.44
1,100,0c3cb54d90,Advanced Components,71.79,0.108,0.0,1.44
1,100,0c3cb54d90,Quantum Materials,78.0,0.095,79.1,0.65
1,100,0c3cb54d90,Dark Matter Extracts,195.0,0.095,56.7,0.65
1,100,2835dcbe39,Iron,6.5,0.095,200.0,0.65
1,100,2835dcbe39,Titanium,9.75,0.095,200.0,0.65
1,100,2835dcbe39,Rare Minerals,16.25,0.095,200.0,0.65
1,100,2835dcbe39,Water,3.25,0.095,200.0,0.65
1,100,2835dcbe39,Helium-3,13.0,0.095,50.0,0.65
1,100,2835dcbe39,Energy,5.2,0.095,200.0,0.65
1,100,2835dcbe39,Food,3.9,0.095,200.0,0.65
1,100,2835dcbe39,Advanced Components,32.5,0.095,50.0,0.65
1,100,2835dcbe39,Quantum Materials,78.0,0.095,50.0,0.65
1,100,2835dcbe39,Dark Matter Extracts,195.0,0.095,50.0,0.65
1,100,d14470e66b,Iron,6.5,0.095,228.2,0.65
1,100,d14470e66b,Titanium,9.75,0.095,237.8,0.65
1,100,d14470e66b,Rare Minerals,16.25,0.095,222.3,0.65
1,100,d14470e66b,Water,7.18,0.108,0.0,1.44
1,100,d14470e66b,Helium-3,13.0,0.095,36.0,0.65
1,100,d14470e66b,Energy,11.59,0.11,0.0,1.45
1,100,d14470e66b,Food,8.6,0.107,0.0,1.43
1,100,d14470e66b,Advanced Components,72.39,0.11,0.0,1.45
1,100,d14470e66b,Quantum Materials,78.0,0.095,75.6,0.65
1,100,d14470e66b,Dark Matter Extracts,195.0,0.095,55.6,0.65
1,100,a515d160f9,Iron,6.5,0.095,293.8,0.65
1,100,a515d160f9,Titanium,9.75,0.095,284.8,0.65
1,100,a515d160f9,Rare Minerals,16.25,0.095,260.8,0.65
1,100,a515d160f9,Water,7.24,0.11,0.0,1.45
1,100,a515d160f9,Helium-3,13.0,0.095,34.2,0.65
1,100,a515d160f9,Energy,11.57,0.109,0.0,1.45
1,100,a515d160f9,Food,8.67,0.109,0.0,1.44
1,100,a515d160f9,Advanced Components,72.24,0.109,0.0,1.44
1,100,a515d160f9,Quantum Materials,78.0,0.095,79.1,0.65
1,100,a515d160f9,Dark Matter Extracts,195.0,0.095,56.7,0.65
1,100,c0b4416fc0,Iron,6.5,0.095,311.5,0.65
1,100,c0b4416fc0,Titanium,9.75,0.095,299.5,0.65
1,100,c0b4416fc0,Rare Minerals,16.25,0.095,272.9,0.65
1,100,c0b4416fc0,Water,7.21,0.109,0.0,1.44
1,100,c0b4416fc0,Helium-3,13.0,0.095,34.6,0.65
1,100,c0b4416fc0,Energy,11.52,0.109,0.0,1.44
1,100,c0b4416fc0,Food,8.62,0.108,0.0,1.44
1,100,c0b4416fc0,Advanced Components,71.91,0.108,0.0,1.44
1,100,c0b4416fc0,Quantum Materials,78.0,0.095,78.3,0.65
1,100,c0b4416fc0,Dark Matter Extracts,195.0,0.095,56.5,0.65
1,100,38554c70e7,Iron,6.5,0.095,271.6,0.65
1,100,38554c70e7,Titanium,9.75,0.095,263.0,0.65
1,100,38554c70e7,Rare Minerals,16.25,0.095,323.2,0.65
1,100,38554c70e7,Water,7.24,0.11,0.0,1.45
1,100,38554c70e7,Helium-3,13.0,0.095,36.4,0.65
1,100,38554c70e7,Energy,11.54,0.109,0.0,1.44
1,100,38554c70e7,Food,8.68,0.109,0.0,1.45
1,100,38554c70e7,Advanced Components,72.11,0.109,0.0,1.44
1,100,38554c70e7,Quantum Materials,78.0,0.095,74.8,0.65
1,100,38554c70e7,Dark Matter Extracts,195.0,0.095,55.3,0.65
1,100,e2077d40a4,Iron,6.5,0.095,271.5,0.65
1,100,e2077d40a4,Titanium,9.75,0.095,263.2,0.65
1,100,e2077d40a4,Rare Minerals,16.25,0.095,322.3,0.65
1,100,e2077d40a4,Water,7.24,0.11,0.0,1.45
1,100,e2077d40a4,Helium-3,13.0,0.095,34.2,0.65
1,100,e2077d40a4,Energy,11.54,0.109,0.0,1.44
1,100,e2077d40a4,Food,8.68,0.109,0.0,1.45
1,100,e2077d40a4,Advanced Components,72.13,0.109,0.0,1.44
1,100,e2077d40a4,Quantum Materials,78.0,0.095,79.1,0.65
1,100,e2077d40a4,Dark Matter Extracts,195.0,0.095,56.7,0.65
1,100,f524f881d3,Iron,6.5,0.095,296.3,0.65
1,100,f524f881d3,Titanium,9.75,0.095,286.9,0.65
1,100,f524f881d3,Rare Minerals,16.25,0.095,262.5,0.65
1,100,f524f881d3,Water,7.23,0.11,0.0,1.45
1,100,f524f881d3,Helium-3,13.0,0.095,34.2,0.65
1,100,f524f881d3,Energy,11.57,0.109,0.0,1.45
1,100,f524f881d3,Food,8.66,0.109,0.0,1.44
1,100,f524f881d3,Advanced Components,72.19,0.109,0.0,1.44
1,100,f524f881d3,Quantum Materials,78.0,0.095,78.9,0.65
1,100,f524f881d3,Dark Matter Extracts,195.0,0.095,56.8,0.65
1,100,fc20f1db2a,Iron,6.5,0.095,271.4,0.65
1,100,fc20f1db2a,Titanium,9.75,0.095,266.0,0.65
1,100,fc20f1db2a,Rare Minerals,16.25,0.095,246.8,0.65
1,100,fc20f1db2a,Water,7.25,0.11,0.0,1.45
1,100,fc20f1db2a,Helium-3,13.0,0.095,35.4,0.65
1,100,fc20f1db2a,Energy,11.59,0.11,0.0,1.45
1,100,fc20f1db2a,Food,8.69,0.11,0.0,1.45
1,100,fc20f1db2a,Advanced Components,72.39,0.11,0.0,1.45
1,100,fc20f1db2a,Quantum Materials,78.0,0.095,76.8,0.65
1,100,fc20f1db2a,Dark Matter Extracts,195.0,0.095,55.9,0.65
1,100,ceb849c6ff,Iron,6.5,0.095,276.2,0.65
1,100,ceb849c6ff,Titanium,9.75,0.095,270.1,0.65
1,100,ceb849c6ff,Rare Minerals,16.25,0.095,249.1,0.65
1,100,ceb849c6ff,Water,7.23,0.109,0.0,1.45
1,100,ceb849c6ff,Helium-3,13.0,0.095,34.2,0.65
1,100,ceb849c6ff,Energy,11.56,0.109,0.0,1.44
1,100,ceb849c6ff,Food,8.65,0.109,0.0,1.44
1,100,ceb849c6ff,Advanced Components,72.07,0.109,0.0,1.44
1,100,ceb849c6ff,Quantum Materials,78.0,0.095,79.1,0.65
1,100,ceb849c6ff,Dark Matter Extracts,195.0,0.095,56.7,0.65
1,100,2bc9664750,Iron,6.5,0.095,266.7,0.65
1,100,2bc9664750,Titanium,9.75,0.095,259.3,0.65
1,100,2bc9664750,Rare Minerals,16.25,0.095,315.3,0.65
1,100,2bc9664750,Water,7.24,0.11,0.0,1.45
1,100,2bc9664750,Helium-3,13.0,0.095,34.6,0.65
1,100,2bc9664750,Energy,11.54,0.109,0.0,1.44
1,100,2bc9664750,Food,8.68,0.109,0.0,1.45
1,100,2bc9664750,Advanced Components,72.12,0.109,0.0,1.44
1,100,2bc9664750,Quantum Materials,78.0,0.095,78.3,0.65
1,100,2bc9664750,Dark Matter Extracts,195.0,0.095,56.5,0.65
1,100,8724c84304,Iron,6.5,0.095,308.4,0.65
1,100,8724c84304,Titanium,9.75,0.095,297.0,0.65
1,100,8724c84304,Rare Minerals,16.25,0.095,270.6,0.65
1,100,8724c84304,Water,7.24,0.11,0.0,1.45
1,100,8724c84304,Helium-3,13.0,0.095,34.2,0.65
1,100,8724c84304,Energy,11.58,0.11,0.0,1.45
1,100,8724c84304,Food,8.68,0.109,0.0,1.45
1,100,8724c84304,Advanced Components,72.34,0.11,0.0,1.45
1,100,8724c84304,Quantum Materials,78.0,0.095,78.9,0.65
1,100,8724c84304,Dark Matter Extracts,195.0,0.095,56.7,0.65
1,100,202a3af108,Iron,6.5,0.095,291.0,0.65
1,100,202a3af108,Titanium,9.75,0.095,282.5,0.65
1,100,202a3af108,Rare Minerals,16.25,0.095,259.0,0.65
1,100,202a3af108,Water,7.24,0.11,0.0,1.45
1,100,202a3af108,Helium-3,13.0,0.095,34.1,0.65
1,100,202a3af108,Energy,11.59,0.11,0.0,1.45
1,100,202a3af108,Food,8.69,0.11,0.0,1.45
1,100,202a3af108,Advanced Components,72.4,0.11,0.0,1.45
1,100,202a3af108,Quantum Materials,78.0,0.095,79.2,0.65
1,100,202a3af108,Dark Matter Extracts,195.0,0.095,56.8,0.65
1,100,45178b6506,Iron,6.5,0.095,372.4,0.65
1,100,45178b6506,Titanium,9.75,0.095,381.4,0.65
1,100,45178b6506,Rare Minerals,16.25,0.095,342.2,0.65
1,100,45178b6506,Water,7.2,0.109,0.0,1.44
1,100,45178b6506,Helium-3,13.0,0.095,39.2,0.65
1,100,45178b6506,Energy,11.57,0.109,0.0,1.45
1,100,45178b6506,Food,8.59,0.107,0.0,1.43
1,100,45178b6506,Advanced Components,72.34,0.11,0.0,1.45
1,100,45178b6506,Quantum Materials,78.0,0.095,69.7,0.65
1,100,45178b6506,Dark Matter Extracts,195.0,0.095,53.3,0.65
1,100,8a94f397dc,Iron,6.5,0.095,292.7,0.65
1,100,8a94f397dc,Titanium,9.75,0.095,283.5,0.65
1,100,8a94f397dc,Rare Minerals,16.25,0.095,262.7,0.65
1,100,8a94f397dc,Water,7.19,0.108,29.6,1.44
1,100,8a94f397dc,Helium-3,13.0,0.095,37.8,0.65
1,100,8a94f397dc,Energy,11.48,0.108,0.0,1.43
1,100,8a94f397dc,Food,8.55,0.106,50.0,1.42
1,100,8a94f397dc,Advanced Components,71.36,0.107,0.0,1.43
1,100,8a94f397dc,Quantum Materials,78.0,0.095,72.4,0.65
1,100,8a94f397dc,Dark Matter Extracts,195.0,0.095,54.3,0.65
1,100,f16b9f7d7e,Iron,6.5,0.095,271.4,0.65
1,100,f16b9f7d7e,Titanium,9.75,0.095,265.5,0.65
1,100,f16b9f7d7e,Rare Minerals,16.25,0.095,249.5,0.65
1,100,f16b9f7d7e,Water,7.24,0.11,0.0,1.45
1,100,f16b9f7d7e,Helium-3,13.0,0.095,39.2,0.65
1,100,f16b9f7d7e,Energy,11.58,0.11,0.0,1.45
1,100,f16b9f7d7e,Food,8.68,0.11,0.0,1.45
1,100,f16b9f7d7e,Advanced Components,72.29,0.109,0.0,1.45
1,100,f16b9f7d7e,Quantum Materials,78.0,0.095,69.7,0.65
1,100,f16b9f7d7e,Dark Matter Extracts,195.0,0.095,53.3,0.65
1,100,4670e74d95,Iron,6.5,0.095,260.2,0.65
1,100,4670e74d95,Titanium,9.75,0.095,254.1,0.65
1,100,4670e74d95,Rare Minerals,16.25,0.095,305.2,0.65
1,100,4670e74d95,Water,7.24,0.11,0.0,1.45
1,100,4670e74d95,Helium-3,13.0,0.095,34.2,0.65
1,100,4670e74d95,Energy,11.49,0.108,0.0,1.44
1,100,4670e74d95,Food,8.66,0.109,0.0,1.44
1,100,4670e74d95,Advanced Components,71.78,0.108,0.0,1.44
1,100,4670e74d95,Quantum Materials,78.0,0.095,79.1,0.65
1,100,4670e74d95,Dark Matter Extracts,195.0,0.095,56.7,0.65
1,100,0f21771c61,Iron,6.5,0.095,200.0,0.65
1,100,0f21771c61,Titanium,9.75,0.095,200.0,0.65
1,100,0f21771c61,Rare Minerals,16.25,0.095,200.0,0.65
1,100,0f21771c61,Water,3.25,0.095,200.0,0.65
1,100,0f21771c61,Helium-3,13.0,0.095,50.0,0.65
1,100,0f21771c61,Energy,5.2,0.095,200.0,0.65
1,100,0f21771c61,Food,3.9,0.095,200.0,0.65
1,100,0f21771c61,Advanced Components,32.5,0.095,50.0,0.65
1,100,0f21771c61,Quantum Materials,78.0,0.095,50.0,0.65
1,100,0f21771c61,Dark Matter Extracts,195.0,0.095,50.0,0.65
1,100,0d8a7c37a4,Iron,6.5,0.095,293.8,0.65
1,100,0d8a7c37a4,Titanium,9.75,0.095,284.9,0.65
1,100,0d8a7c37a4,Rare Minerals,16.25,0.095,260.9,0.65
1,100,0d8a7c37a4,Water,7.24,0.11,0.0,1.45
1,100,0d8a7c37a4,Helium-3,13.0,0.095,34.2,0.65
1,100,0d8a7c37a4,Energy,11.58,0.11,0.0,1.45
1,100,0d8a7c37a4,Food,8.67,0.109,0.0,1.45
1,100,0d8a7c37a4,Advanced Components,72.28,0.109,0.0,1.45
1,100,0d8a7c37a4,Quantum Materials,78.0,0.095,79.1,0.65
1,100,0d8a7c37a4,Dark Matter Extracts,195.0,0.095,56.8,0.65
1,100,279c6debf9,Iron,6.5,0.095,311.5,0.65
1,100,279c6debf9,Titanium,9.75,0.095,299.6,0.65
1,100,279c6debf9,Rare Minerals,16.25,0.095,272.7,0.65
1,100,279c6debf9,Water,7.22,0.109,0.0,1.44
1,100,279c6debf9,Helium-3,13.0,0.095,34.2,0.65
1,100,279c6debf9,Energy,11.53,0.109,0.0,1.44
1,100,279c6debf9,Food,8.63,0.108,0.0,1.44
1,100,279c6debf9,Advanced Components,71.98,0.108,0.0,1.44
1,100,279c6debf9,Quantum Materials,78.0,0.095,79.1,0.65
1,100,279c6debf9,Dark Matter Extracts,195.0,0.095,56.7,0.65
1,100,1071cb51c1,Iron,6.5,0.095,200.0,0.65
1,100,1071cb51c1,Titanium,9.75,0.095,200.0,0.65
1,100,1071cb51c1,Rare Minerals,16.25,0.095,200.0,0.65
1,100,1071cb51c1,Water,3.25,0.095,200.0,0.65
1,100,1071cb51c1,Helium-3,13.0,0.095,50.0,0.65
1,100,1071cb51c1,Energy,5.2,0.095,200.0,0.65
1,100,1071cb51c1,Food,3.9,0.095,200.0,0.65
1,100,1071cb51c1,Advanced Components,32.5,0.095,50.0,0.65
1,100,1071cb51c1,Quantum Materials,78.0,0.095,50.0,0.65
1,100,1071cb51c1,Dark Matter Extracts,195.0,0.095,50.0,0.65
1,100,43f9bbcdb6,Iron,6.5,0.095,274.1,0.65
1,100,43f9bbcdb6,Titanium,9.75,0.095,268.2,0.65
1,100,43f9bbcdb6,Rare Minerals,16.25,0.095,248.7,0.65
1,100,43f9bbcdb6,Water,7.21,0.109,0.0,1.44
1,100,43f9bbcdb6,Helium-3,13.0,0.095,35.5,0.65
1,100,43f9bbcdb6,Energy,11.52,0.109,0.0,1.44
1,100,43f9bbcdb6,Food,8.61,0.108,0.0,1.44
1,100,43f9bbcdb6,Advanced Components,71.71,0.108,0.0,1.43
1,100,43f9bbcdb6,Quantum Materials,78.0,0.095,76.6,0.65
1,100,43f9bbcdb6,Dark Matter Extracts,195.0,0.095,55.8,0.65
1,100,566e95ee2b,Iron,6.5,0.095,251.5,0.65
1,100,566e95ee2b,Titanium,9.75,0.095,249.2,0.65
1,100,566e95ee2b,Rare Minerals,16.25,0.095,235.1,0.65
1,100,566e95ee2b,Water,7.23,0.109,0.0,1.45
1,100,566e95ee2b,Helium-3,13.0,0.095,37.6,0.65
1,100,566e95ee2b,Energy,11.56,0.109,0.0,1.45
1,100,566e95ee2b,Food,8.66,0.109,0.0,1.44
1,100,566e95ee2b,Advanced Components,71.93,0.108,0.0,1.44
1,100,566e95ee2b,Quantum Materials,78.0,0.095,72.8,0.65
1,100,566e95ee2b,Dark Matter Extracts,195.0,0.095,54.5,0.65
1,100,4abd655836,Iron,6.5,0.095,301.2,0.65
1,100,4abd655836,Titanium,9.75,0.095,291.0,0.65
1,100,4abd655836,Rare Minerals,16.25,0.095,265.8,0.65
1,100,4abd655836,Water,7.23,0.109,0.0,1.45
1,100,4abd655836,Helium-3,13.0,0.095,34.2,0.65
1,100,4abd655836,Energy,11.56,0.109,0.0,1.45
1,100,4abd655836,Food,8.66,0.109,0.0,1.44
1,100,4abd655836,Advanced Components,72.22,0.109,0.0,1.44
1,100,4abd655836,Quantum Materials,78.0,0.095,79.1,0.65
1,100,4abd655836,Dark Matter Extracts,195.0,0.095,56.7,0.65
1,100,473c3c2fa5,Iron,6.5,0.095,304.5,0.65
1,100,473c3c2fa5,Titanium,9.75,0.095,293.5,0.65
1,100,473c3c2fa5,Rare Minerals,16.25,0.095,269.5,0.65
1,100,473c3c2fa5,Water,7.24,0.11,0.0,1.45
1,100,473c3c2fa5,Helium-3,13.0,0.095,36.3,0.65
1,100,473c3c2fa5,Energy,11.58,0.11,0.0,1.45
1,100,473c3c2fa5,Food,8.68,0.11,0.0,1.45
1,100,473c3c2fa5,Advanced Components,72.37,0.11,0.0,1.45
1,100,473c3c2fa5,Quantum Materials,78.0,0.095,75.1,0.65
1,100,473c3c2fa5,Dark Matter Extracts,195.0,0.095,55.3,0.65
1,100,962da5ac1f,Iron,6.5,0.095,200.0,0.65
1,100,962da5ac1f,Titanium,9.75,0.095,200.0,0.65
1,100,962da5ac1f,Rare Minerals,16.25,0.095,200.0,0.65
1,100,962da5ac1f,Water,3.25,0.095,200.0,0.65
1,100,962da5ac1f,Helium-3,13.0,0.095,50.0,0.65
1,100,962da5ac1f,Energy,5.2,0.095,200.0,0.65
1,100,962da5ac1f,Food,3.9,0.095,200.0,0.65
1,100,962da5ac1f,Advanced Components,32.5,0.095,50.0,0.65
1,100,962da5ac1f,Quantum Materials,78.0,0.095,50.0,0.65
1,100,962da5ac1f,Dark Matter Extracts,195.0,0.095,50.0,0.65
1,100,6e985c9ca2,Iron,6.5,0.095,304.9,0.65
1,100,6e985c9ca2,Titanium,9.75,0.095,294.0,0.65
1,100,6e985c9ca2,Rare Minerals,16.25,0.095,268.2,0.65
1,100,6e985c9ca2,Water,7.23,0.11,0.0,1.45
1,100,6e985c9ca2,Helium-3,13.0,0.095,34.2,0.65
1,100,6e985c9ca2,Energy,11.57,0.109,0.0,1.45
1,100,6e985c9ca2,Food,8.66,0.109,0.0,1.44
1,100,6e985c9ca2,Advanced Components,72.22,0.109,0.0,1.44
1,100,6e985c9ca2,Quantum Materials,78.0,0.095,79.1,0.65
1,100,6e985c9ca2,Dark Matter Extracts,195.0,0.095,56.7,0.65
1,100,f08590922d,Iron,6.5,0.095,294.2,0.65
1,100,f08590922d,Titanium,9.75,0.095,285.1,0.65
1,100,f08590922d,Rare Minerals,16.25,0.095,261.1,0.65
1,100,f08590922d,Water,7.23,0.109,0.0,1.45
1,100,f08590922d,Helium-3,13.0,0.095,34.2,0.65
1,100,f08590922d,Energy,11.56,0.109,0.0,1.45
1,100,f08590922d,Food,8.66,0.109,0.0,1.44
1,100,f08590922d,Advanced Components,72.18,0.109,0.0,1.44
1,100,f08590922d,Quantum Materials,78.0,0.095,79.1,0.65
1,100,f08590922d,Dark Matter Extracts,195.0,0.095,56.7,0.65
1,100,137aa285ad,Iron,6.5,0.095,206.5,0.65
1,100,137aa285ad,Titanium,9.75,0.095,216.3,0.65
1,100,137aa285ad,Rare Minerals,16.25,0.095,205.8,0.65
1,100,137aa285ad,Water,7.22,0.109,0.0,1.44
1,100,137aa285ad,Helium-3,13.0,0.095,35.5,0.65
