civilization_id,name,species,planet_id,tech_level,energy_source,government_type,civilization_age
70a115d461,Consolidated Aurelite Worlds,"{'species_id': 'aa2e4d154d', 'name': 'Aurelite', 'planet_id': 'a8517fe13d', 'intelligence': 66.05, 'cooperation': 58.56, 'aggression': 43.07, 'adaptability': 37.41, 'lifespan': 48.56, 'population': 12728524153.0}",a8517fe13d,65.6,Fusion,Technocracy,67541.0
26b5626b6c,Scientific Thranan Union,"{'species_id': 'fe56724f6e', 'name': 'Thranan', 'planet_id': '0177a51953', 'intelligence': 86.86, 'cooperation': 41.29, 'aggression': 45.3, 'adaptability': 39.78, 'lifespan': 51.77, 'population': 484287061.0}",0177a51953,97.16,Dyson Swarm Prototype,Technocracy,68349.0
8a41c4ac34,Valis Directorate,"{'species_id': 'ac99efee5d', 'name': 'Valis', 'planet_id': '77b10c76f1', 'intelligence': 86.81, 'cooperation': 43.82, 'aggression': 47.73, 'adaptability': 27.77, 'lifespan': 60.3, 'population': 11574902406.0}",77b10c76f1,91.9,Antimatter,AI Governance,380847.0
15286fa1f5,Consolidated Zelari Worlds,"{'species_id': '1c421f2ab4', 'name': 'Zelari', 'planet_id': '0c3cb54d90', 'intelligence': 71.75, 'cooperation': 53.04, 'aggression': 49.83, 'adaptability': 45.26, 'lifespan': 58.73, 'population': 4343276517.0}",0c3cb54d90,100.0,Dyson Swarm Prototype,Scientific Council,455188.0
ec5efdeb2d,The Bulgite Federation,"{'species_id': 'ac9684481b', 'name': 'Bulgite', 'planet_id': '2835dcbe39', 'intelligence': 59.04, 'cooperation': 41.05, 'aggression': 47.01, 'adaptability': 42.97, 'lifespan': 51.37, 'population': 9577062209.0}",2835dcbe39,71.18,Fusion,Technocracy,89957.0
2f0954acad,Scientific Aethelgardian Union,"{'species_id': '192fd7b889', 'name': 'Aethelgardian', 'planet_id': 'd14470e66b', 'intelligence': 91.4, 'cooperation': 36.86, 'aggression': 53.12, 'adaptability': 53.25, 'lifespan': 60.85, 'population': 8394752465.0}",d14470e66b,92.88,Antimatter,AI Governance,188627.0
c7c9fca9a1,Unified Aethelgardis Council,"{'species_id': '141f3758c2', 'name': 'Aethelgardis', 'planet_id': 'a515d160f9', 'intelligence': 100.0, 'cooperation': 50.5, 'aggression': 45.3, 'adaptability': 25.02, 'lifespan': 50.3, 'population': 13345739425.0}",a515d160f9,100.0,Dyson Swarm Prototype,Federation,340297.0
511ff78315,Allied Zeta-cygnis Systems,"{'species_id': '164c580b81', 'name': 'Zeta-cygnis', 'planet_id': 'c0b4416fc0', 'intelligence': 71.93, 'cooperation': 53.08, 'aggression': 67.22, 'adaptability': 39.69, 'lifespan': 38.09, 'population': 2263982840.0}",c0b4416fc0,98.48,Dyson Swarm Prototype,AI Governance,478882.0
95cba99a70,Consolidated Aureloid Worlds,"{'species_id': '6da1f95f5d', 'name': 'Aureloid', 'planet_id': '38554c70e7', 'intelligence': 72.16, 'cooperation': 57.68, 'aggression': 48.92, 'adaptability': 36.58, 'lifespan': 39.14, 'population': 763907920.0}",38554c70e7,91.52,Antimatter,AI Governance,306528.0
73cb158d41,Unified Vesperari Council,"{'species_id': '986b35293e', 'name': 'Vesperari', 'planet_id': 'e2077d40a4', 'intelligence': 91.11, 'cooperation': 50.43, 'aggression': 48.64, 'adaptability': 50.66, 'lifespan': 39.01, 'population': 468882953.0}",e2077d40a4,100.0,Dyson Swarm Prototype,Scientific Council,440183.0
7419a59432,Unified Merari Council,"{'species_id': '342609e51c', 'name': 'Merari', 'planet_id': 'f524f881d3', 'intelligence': 99.46, 'cooperation': 49.99, 'aggression': 53.31, 'adaptability': 49.88, 'lifespan': 51.71, 'population': 6803110802.0}",f524f881d3,100.0,Dyson Swarm Prototype,Technocracy,310226.0
bb1351012f,Zylarian Directorate,"{'species_id': 'b62fd80ce0', 'name': 'Zylarian', 'planet_id': 'fc20f1db2a', 'intelligence': 83.86, 'cooperation': 51.32, 'aggression': 43.28, 'adaptability': 21.2, 'lifespan': 49.73, 'population': 2840600289.0}",fc20f1db2a,95.05,Dyson Swarm Prototype,Monarchy,428910.0
3be9d94e07,Unified Kaelumoid Council,"{'species_id': '01391b6097', 'name': 'Kaelumoid', 'planet_id': 'ceb849c6ff', 'intelligence': 96.28, 'cooperation': 56.25, 'aggression': 18.5, 'adaptability': 41.86, 'lifespan': 30.79, 'population': 2530771241.0}",ceb849c6ff,100.0,Dyson Swarm Prototype,Democracy,483192.0
033668785c,The Solis Federation,"{'species_id': '1d0c6362de', 'name': 'Solis', 'planet_id': '2bc9664750', 'intelligence': 64.26, 'cooperation': 47.04, 'aggression': 35.84, 'adaptability': 33.47, 'lifespan': 61.95, 'population': 655982882.0}",2bc9664750,98.33,Dyson Swarm Prototype,Scientific Council,382054.0
f8a4edc83b,Consolidated Xenoid Worlds,"{'species_id': '02a14994ea', 'name': 'Xenoid', 'planet_id': '8724c84304', 'intelligence': 67.79, 'cooperation': 52.67, 'aggression': 36.07, 'adaptability': 31.85, 'lifespan': 45.47, 'population': 2610963076.0}",8724c84304,100.0,Dyson Swarm Prototype,Collective,71627.0
d2748466c9,Scientific Xenis Union,"{'species_id': 'bafb98ec44', 'name': 'Xenis', 'planet_id': '202a3af108', 'intelligence': 82.94, 'cooperation': 45.72, 'aggression': 41.44, 'adaptability': 63.48, 'lifespan': 49.72, 'population': 3918068707.0}",202a3af108,100.0,Dyson Swarm Prototype,Scientific Council,440240.0
4a7ef72f37,The Bulgite Federation,"{'species_id': 'a36903482c', 'name': 'Bulgite', 'planet_id': '45178b6506', 'intelligence': 79.91, 'cooperation': 72.12, 'aggression': 25.23, 'adaptability': 42.04, 'lifespan': 56.0, 'population': 12076618981.0}",45178b6506,78.64,Fusion,Collective,21462.0
23979e6a05,Unified Persean Council,"{'species_id': '7cd3317ac3', 'name': 'Persean', 'planet_id': '8a94f397dc', 'intelligence': 79.9, 'cooperation': 39.8, 'aggression': 43.14, 'adaptability': 35.7, 'lifespan': 62.33, 'population': 7568161787.0}",8a94f397dc,86.06,Antimatter,Technocracy,167313.0
b6e89e8b4d,Allied Chi-perseis Systems,"{'species_id': 'aec32f8e49', 'name': 'Chi-perseis', 'planet_id': 'f16b9f7d7e', 'intelligence': 54.44, 'cooperation': 65.74, 'aggression': 41.34, 'adaptability': 39.21, 'lifespan': 13.43, 'population': 2127983199.0}",f16b9f7d7e,80.23,Antimatter,Federation,37830.0
243eff68e3,Sigma-bulgis Directorate,"{'species_id': 'f9e734f82c', 'name': 'Sigma-bulgis', 'planet_id': '4670e74d95', 'intelligence': 81.94, 'cooperation': 41.14, 'aggression': 39.59, 'adaptability': 50.99, 'lifespan': 54.39, 'population': 210111918.0}",4670e74d95,100.0,Dyson Swarm Prototype,Monarchy,421906.0
9aa2eff7c3,Persean Directorate,"{'species_id': '7b5137f2cc', 'name': 'Persean', 'planet_id': '0f21771c61', 'intelligence': 85.24, 'cooperation': 63.71, 'aggression': 34.55, 'adaptability': 33.87, 'lifespan': 74.82, 'population': 13146823757.0}",0f21771c61,100.0,Dyson Swarm Prototype,Collective,145728.0
5db2756626,Unified Zelian Council,"{'species_id': '57e6a6a3f0', 'name': 'Zelian', 'planet_id': '0d8a7c37a4', 'intelligence': 93.74, 'cooperation': 50.86, 'aggression': 40.73, 'adaptability': 40.83, 'lifespan': 33.08, 'population': 1330010076.0}",0d8a7c37a4,100.0,Dyson Swarm Prototype,Scientific Council,115972.0
37df7ce9be,Unified Xenoid Council,"{'species_id': '437d5d93f7', 'name': 'Xenoid', 'planet_id': '279c6debf9', 'intelligence': 95.85, 'cooperation': 42.04, 'aggression': 34.95, 'adaptability': 53.6, 'lifespan': 29.65, 'population': 13047190956.0}",279c6debf9,100.0,Dyson Swarm Prototype,Collective,55109.0
63fff6610a,Meris Directorate,"{'species_id': '89c3f7ee76', 'name': 'Meris', 'planet_id': '1071cb51c1', 'intelligence': 97.41, 'cooperation': 54.52, 'aggression': 44.02, 'adaptability': 40.89, 'lifespan': 32.84, 'population': 10657126089.0}",1071cb51c1,95.78,Dyson Swarm Prototype,Scientific Council,55470.0
52d6d92e6b,Unified Xenoid Council,"{'species_id': 'fc156808a6', 'name': 'Xenoid', 'planet_id': '43f9bbcdb6', 'intelligence': 89.37, 'cooperation': 36.15, 'aggression': 35.75, 'adaptability': 30.33, 'lifespan': 55.01, 'population': 6256761115.0}",43f9bbcdb6,94.79,Antimatter,Monarchy,329060.0
ea27a17ca6,The Meris Federation,"{'species_id': '497ec7b569', 'name': 'Meris', 'planet_id': '566e95ee2b', 'intelligence': 61.12, 'cooperation': 62.71, 'aggression': 29.89, 'adaptability': 31.25, 'lifespan': 23.24, 'population': 2209549798.0}",566e95ee2b,85.62,Antimatter,Technocracy,235043.0
962632e3ac,Zylarex Directorate,"{'species_id': 'daddfcdede', 'name': 'Zylarex', 'planet_id': '4abd655836', 'intelligence': 83.79, 'cooperation': 54.34, 'aggression': 46.93, 'adaptability': 41.51, 'lifespan': 35.63, 'population': 6894199613.0}",4abd655836,100.0,Dyson Swarm Prototype,Monarchy,493379.0
0bfb7074dd,Scientific Xenite Union,"{'species_id': '4d0e16cec3', 'name': 'Xenite', 'planet_id': '473c3c2fa5', 'intelligence': 85.27, 'cooperation': 46.99, 'aggression': 43.36, 'adaptability': 42.79, 'lifespan': 12.04, 'population': 1725053179.0}",473c3c2fa5,91.57,Antimatter,Scientific Council,415805.0
626215ebea,Scientific Xenoid Union,"{'species_id': 'a0359b4250', 'name': 'Xenoid', 'planet_id': '962da5ac1f', 'intelligence': 79.21, 'cooperation': 55.93, 'aggression': 48.06, 'adaptability': 48.13, 'lifespan': 33.61, 'population': 4715843726.0}",962da5ac1f,92.39,Antimatter,Technocracy,143252.0
d8145cd1f0,Aurelite Commonwealth,"{'species_id': '3d14686243', 'name': 'Aurelite', 'planet_id': '6e985c9ca2', 'intelligence': 68.76, 'cooperation': 44.82, 'aggression': 43.46, 'adaptability': 60.47, 'lifespan': 46.86, 'population': 9390764918.0}",6e985c9ca2,100.0,Dyson Swarm Prototype,Collective,444494.0
7315025cfd,Unified Aurelari Council,"{'species_id': 'de4762bc06', 'name': 'Aurelari', 'planet_id': 'f08590922d', 'intelligence': 95.12, 'cooperation': 53.85, 'aggression': 34.89, 'adaptability': 36.58, 'lifespan': 23.86, 'population': 4089807685.0}",f08590922d,100.0,Dyson Swarm Prototype,Federation,281295.0
d853839dba,Allied Zelite Systems,"{'species_id': '08ac4985df', 'name': 'Zelite', 'planet_id': '137aa285ad', 'intelligence': 68.69, 'cooperation': 44.52, 'aggression': 44.94, 'adaptability': 39.67, 'lifespan': 23.14, 'population': 6410637400.0}",137aa285ad,94.72,Antimatter,Democracy,107996.0
c56a0b9792,Allied Elysiis Systems,"{'species_id': '18f3783c60', 'name': 'Elysiis', 'planet_id': 'd551c2bfb3', 'intelligence': 55.66, 'cooperation': 58.92, 'aggression': 45.69, 'adaptability': 37.09, 'lifespan': 59.09, 'population': 1958886697.0}",d551c2bfb3,63.5,Fusion,Democracy,17725.0
2173a01d64,Allied Elysiian Systems,"{'species_id': 'bf2ffdd69b', 'name': 'Elysiian', 'planet_id': '9c817bff31', 'intelligence': 66.23, 'cooperation': 43.69, 'aggression': 35.72, 'adaptability': 28.02, 'lifespan': 61.08, 'population': 2032598013.0}",9c817bff31,70.22,Fusion,Collective,9094.0
35390a1939,Valari Directorate,"{'species_id': 'e8fb5d040e', 'name': 'Valari', 'planet_id': '3cd9fd968f', 'intelligence': 79.6, 'cooperation': 50.16, 'aggression': 47.97, 'adaptability': 40.69, 'lifespan': 50.13, 'population': 464035786.0}",3cd9fd968f,91.08,Antimatter,Democracy,116483.0
6d4e0abb77,Scientific Zelan Union,"{'species_id': 'd3d084887d', 'name': 'Zelan', 'planet_id': '5421f321f0', 'intelligence': 78.38, 'cooperation': 59.49, 'aggression': 28.38, 'adaptability': 40.79, 'lifespan': 55.21, 'population': 2674083157.0}",5421f321f0,80.0,Antimatter,Federation,59032.0
3a3695c8e9,Consolidated Galactican Worlds,"{'species_id': '9013ec6cab', 'name': 'Galactican', 'planet_id': '06fbf6dcab', 'intelligence': 65.79, 'cooperation': 52.46, 'aggression': 56.38, 'adaptability': 48.82, 'lifespan': 54.95, 'population': 6793350232.0}",06fbf6dcab,84.54,Antimatter,Monarchy,59067.0
494354518b,Unified Zylarite Council,"{'species_id': '54a1054fa1', 'name': 'Zylarite', 'planet_id': '46386ddb85', 'intelligence': 77.83, 'cooperation': 34.18, 'aggression': 52.43, 'adaptability': 59.09, 'lifespan': 40.44, 'population': 6780085312.0}",46386ddb85,100.0,Dyson Swarm Prototype,Technocracy,122307.0
a425d5c923,Allied Thranari Systems,"{'species_id': '08353dddc8', 'name': 'Thranari', 'planet_id': '11c0a12eb9', 'intelligence': 70.36, 'cooperation': 49.46, 'aggression': 58.06, 'adaptability': 39.25, 'lifespan': 55.77, 'population': 9185577912.0}",11c0a12eb9,79.43,Fusion,Scientific Council,21303.0
9cad00795f,Allied Aethelgardian Systems,"{'species_id': '35bb39eaae', 'name': 'Aethelgardian', 'planet_id': '5c79b088ab', 'intelligence': 51.33, 'cooperation': 56.27, 'aggression': 40.9, 'adaptability': 57.09, 'lifespan': 51.47, 'population': 131971714.0}",5c79b088ab,73.04,Fusion,Scientific Council,32744.0
155f4eead5,The Aethelgardan Federation,"{'species_id': 'a2ba48f521', 'name': 'Aethelgardan', 'planet_id': '90ff26504b', 'intelligence': 74.3, 'cooperation': 28.5, 'aggression': 64.27, 'adaptability': 59.84, 'lifespan': 54.7, 'population': 4023752016.0}",90ff26504b,87.16,Antimatter,Democracy,102513.0
35b25d7eaf,Unified Aethelgardis Council,"{'species_id': '5fa7c15cbf', 'name': 'Aethelgardis', 'planet_id': '4ed82904aa', 'intelligence': 93.49, 'cooperation': 54.53, 'aggression': 33.5, 'adaptability': 55.05, 'lifespan': 30.4, 'population': 2901950272.0}",4ed82904aa,90.63,Antimatter,Democracy,401682.0
4e674c46b8,Aethelgardan Directorate,"{'species_id': '41d0154270', 'name': 'Aethelgardan', 'planet_id': 'cfed9b9501', 'intelligence': 95.23, 'cooperation': 56.26, 'aggression': 34.32, 'adaptability': 44.59, 'lifespan': 60.27, 'population': 15000000000.0}",cfed9b9501,90.66,Antimatter,AI Governance,357342.0
e4a60e62b6,Unified Zeloid Council,"{'species_id': 'f6b507013c', 'name': 'Zeloid', 'planet_id': '1f848c8972', 'intelligence': 78.01, 'cooperation': 55.17, 'aggression': 15.7, 'adaptability': 55.11, 'lifespan': 24.78, 'population': 395695403.0}",1f848c8972,100.0,Dyson Swarm Prototype,Democracy,153061.0
24423298c0,Scientific Zylaroid Union,"{'species_id': 'c39b365091', 'name': 'Zylaroid', 'planet_id': '4699d07dc1', 'intelligence': 81.13, 'cooperation': 52.8, 'aggression': 30.69, 'adaptability': 36.0, 'lifespan': 46.37, 'population': 415099425.0}",4699d07dc1,100.0,Dyson Swarm Prototype,Scientific Council,118254.0
95985a8620,Xenan Directorate,"{'species_id': '975b343640', 'name': 'Xenan', 'planet_id': '417ec54e78', 'intelligence': 100.0, 'cooperation': 51.13, 'aggression': 36.3, 'adaptability': 48.29, 'lifespan': 54.83, 'population': 2581165095.0}",417ec54e78,100.0,Dyson Swarm Prototype,Scientific Council,338516.0
80be4440e8,Kaelumis Directorate,"{'species_id': '662a6ca336', 'name': 'Kaelumis', 'planet_id': '7b9f34bf7d', 'intelligence': 87.15, 'cooperation': 62.79, 'aggression': 25.66, 'adaptability': 33.2, 'lifespan': 20.09, 'population': 2851552120.0}",7b9f34bf7d,95.09,Dyson Swarm Prototype,Technocracy,95358.0
c7a93adf27,The Thranis Federation,"{'species_id': 'dcddb106c6', 'name': 'Thranis', 'planet_id': '2f3886be03', 'intelligence': 65.64, 'cooperation': 49.16, 'aggression': 34.14, 'adaptability': 53.02, 'lifespan': 28.94, 'population': 1126823223.0}",2f3886be03,89.74,Antimatter,Federation,190150.0
df2217070a,Allied Thranari Systems,"{'species_id': '71ee5f9cd4', 'name': 'Thranari', 'planet_id': 'b5f45fccf7', 'intelligence': 70.38, 'cooperation': 45.78, 'aggression': 51.55, 'adaptability': 34.17, 'lifespan': 52.78, 'population': 8854384844.0}",b5f45fccf7,80.0,Antimatter,Federation,381876.0
c64460376e,Gamma-orionis Directorate,"{'species_id': '3c2140184a', 'name': 'Gamma-orionis', 'planet_id': '9fe5a745b7', 'intelligence': 78.2, 'cooperation': 36.01, 'aggression': 40.34, 'adaptability': 37.27, 'lifespan': 21.31, 'population': 1000000000.0}",9fe5a745b7,97.92,Dyson Swarm Prototype,Collective,334519.0
53e4b98264,Unified Orionian Council,"{'species_id': '32f19520eb', 'name': 'Orionian', 'planet_id': 'acf9b7df5c', 'intelligence': 78.09, 'cooperation': 56.21, 'aggression': 30.77, 'adaptability': 38.35, 'lifespan': 46.38, 'population': 7940425506.0}",acf9b7df5c,100.0,Dyson Swarm Prototype,Scientific Council,144458.0
14c594f145,Unified Orionian Council,"{'species_id': '652bf7d892', 'name': 'Orionian', 'planet_id': '515b327449', 'intelligence': 82.32, 'cooperation': 45.57, 'aggression': 40.56, 'adaptability': 34.57, 'lifespan': 42.73, 'population': 12668040322.0}",515b327449,100.0,Dyson Swarm Prototype,Monarchy,248343.0
abb26e55dc,Consolidated Orionian Worlds,"{'species_id': '5d80eb3edd', 'name': 'Orionian', 'planet_id': 'fbbfdec657', 'intelligence': 65.97, 'cooperation': 46.81, 'aggression': 43.54, 'adaptability': 37.45, 'lifespan': 46.03, 'population': 5439232345.0}",fbbfdec657,100.0,Dyson Swarm Prototype,Federation,61424.0
075b3fb3b1,Unified Theta-orionis Council,"{'species_id': 'ec6524c344', 'name': 'Theta-orionis', 'planet_id': 'c6978ae190', 'intelligence': 91.27, 'cooperation': 57.48, 'aggression': 45.72, 'adaptability': 28.71, 'lifespan': 33.05, 'population': 342951818.0}",c6978ae190,100.0,Dyson Swarm Prototype,Scientific Council,494928.0
d401178af2,Theta-orionis Commonwealth,"{'species_id': '9f7e7061c9', 'name': 'Theta-orionis', 'planet_id': '528c9adeed', 'intelligence': 70.81, 'cooperation': 35.76, 'aggression': 45.16, 'adaptability': 32.84, 'lifespan': 59.38, 'population': 6282577516.0}",528c9adeed,100.0,Dyson Swarm Prototype,Collective,366776.0
6dfc531f16,Unified Xenis Council,"{'species_id': '40c89631a2', 'name': 'Xenis', 'planet_id': '2715964379', 'intelligence': 87.13, 'cooperation': 37.35, 'aggression': 39.24, 'adaptability': 39.03, 'lifespan': 39.23, 'population': 733397760.0}",2715964379,100.0,Dyson Swarm Prototype,Scientific Council,148780.0
36b91772ac,Unified Orionis Council,"{'species_id': '635c574f83', 'name': 'Orionis', 'planet_id': '89f259818b', 'intelligence': 94.62, 'cooperation': 52.69, 'aggression': 36.11, 'adaptability': 53.46, 'lifespan': 68.04, 'population': 4954058190.0}",89f259818b,100.0,Dyson Swarm Prototype,Scientific Council,492981.0
3c983bfdab,Unified Vesperari Council,"{'species_id': '946494d0bc', 'name': 'Vesperari', 'planet_id': '8e83767a17', 'intelligence': 90.95, 'cooperation': 55.12, 'aggression': 52.44, 'adaptability': 41.27, 'lifespan': 34.52, 'population': 361765366.0}",8e83767a17,100.0,Dyson Swarm Prototype,Scientific Council,97960.0
db90f4ff25,Unified Xenan Council,"{'species_id': '3a85b46f37', 'name': 'Xenan', 'planet_id': 'a2ac10fa69', 'intelligence': 100.0, 'cooperation': 65.43, 'aggression': 26.88, 'adaptability': 45.1, 'lifespan': 58.28, 'population': 15000000000.0}",a2ac10fa69,100.0,Dyson Swarm Prototype,Democracy,124828.0
cfec2df928,Consolidated Zylarex Worlds,"{'species_id': 'db53a7de83', 'name': 'Zylarex', 'planet_id': '7095ce8818', 'intelligence': 47.45, 'cooperation': 55.53, 'aggression': 23.65, 'adaptability': 32.02, 'lifespan': 54.86, 'population': 3443663183.0}",7095ce8818,55.4,Nuclear,Federation,95455.0
a189e2924d,The Thranian Federation,"{'species_id': 'b42026719c', 'name': 'Thranian', 'planet_id': '1948d23f66', 'intelligence': 63.83, 'cooperation': 32.52, 'aggression': 46.33, 'adaptability': 37.19, 'lifespan': 48.18, 'population': 5788475129.0}",1948d23f66,58.66,Nuclear,Federation,41867.0
30e300e760,Scientific Sagittariite Union,"{'species_id': '1ca802a695', 'name': 'Sagittariite', 'planet_id': 'b26a3e63b5', 'intelligence': 76.36, 'cooperation': 71.03, 'aggression': 45.65, 'adaptability': 34.06, 'lifespan': 69.77, 'population': 12498038699.0}",b26a3e63b5,100.0,Dyson Swarm Prototype,AI Governance,412953.0
65ea513ebb,Unified Sagittarian Council,"{'species_id': '926a4782c8', 'name': 'Sagittarian', 'planet_id': '785229f66e', 'intelligence': 86.75, 'cooperation': 52.59, 'aggression': 38.78, 'adaptability': 23.39, 'lifespan': 41.51, 'population': 1632459079.0}",785229f66e,100.0,Dyson Swarm Prototype,Scientific Council,65276.0
6fbfc2a11d,Unified Orionite Council,"{'species_id': '9b123f8982', 'name': 'Orionite', 'planet_id': '1fc99a3a6f', 'intelligence': 81.52, 'cooperation': 46.28, 'aggression': 52.03, 'adaptability': 39.2, 'lifespan': 33.52, 'population': 414907130.0}",1fc99a3a6f,100.0,Dyson Swarm Prototype,Collective,153504.0
bceea7e00e,Unified Orionan Council,"{'species_id': '9ae0ef0054', 'name': 'Orionan', 'planet_id': 'b1f4fb5b0d', 'intelligence': 81.38, 'cooperation': 43.62, 'aggression': 53.83, 'adaptability': 31.05, 'lifespan': 37.29, 'population': 328051314.0}",b1f4fb5b0d,95.02,Dyson Swarm Prototype,Technocracy,331651.0
9875fc03a4,Orionian Directorate,"{'species_id': 'f3c5fe6026', 'name': 'Orionian', 'planet_id': '99b841f32e', 'intelligence': 86.16, 'cooperation': 58.37, 'aggression': 40.89, 'adaptability': 39.8, 'lifespan': 60.13, 'population': 6017858370.0}",99b841f32e,99.13,Dyson Swarm Prototype,Scientific Council,230869.0
81601b2e5e,Unified Sigma-orionis Council,"{'species_id': 'fff659107c', 'name': 'Sigma-orionis', 'planet_id': '0c516c0189', 'intelligence': 91.95, 'cooperation': 51.55, 'aggression': 22.87, 'adaptability': 22.41, 'lifespan': 34.75, 'population': 2936107930.0}",0c516c0189,100.0,Dyson Swarm Prototype,Scientific Council,371999.0
72196fa906,Sigma-orionis Commonwealth,"{'species_id': '0fcbf2a56f', 'name': 'Sigma-orionis', 'planet_id': 'ee70302cc3', 'intelligence': 57.73, 'cooperation': 36.34, 'aggression': 32.03, 'adaptability': 46.83, 'lifespan': 47.34, 'population': 12003009446.0}",ee70302cc3,84.06,Antimatter,Monarchy,326035.0
3c4760ddea,Zelis Commonwealth,"{'species_id': '3fec554b38', 'name': 'Zelis', 'planet_id': '92c55418c0', 'intelligence': 70.09, 'cooperation': 51.89, 'aggression': 34.86, 'adaptability': 45.97, 'lifespan': 50.94, 'population': 5003772677.0}",92c55418c0,66.02,Fusion,Federation,6726.0
9d578c755a,Scientific Zelian Union,"{'species_id': 'bcb6000c25', 'name': 'Zelian', 'planet_id': '3eb0faf107', 'intelligence': 99.03, 'cooperation': 52.29, 'aggression': 22.55, 'adaptability': 41.77, 'lifespan': 17.89, 'population': 3535269312.0}",3eb0faf107,100.0,Dyson Swarm Prototype,Technocracy,150718.0
23094db297,Allied Solian Systems,"{'species_id': 'f48bc86d8a', 'name': 'Solian', 'planet_id': 'ac94618135', 'intelligence': 39.86, 'cooperation': 42.11, 'aggression': 39.77, 'adaptability': 22.38, 'lifespan': 47.9, 'population': 12201914919.0}",ac94618135,60.08,Fusion,Technocracy,26012.0
642e75a08d,Scientific Thranan Union,"{'species_id': 'b585cd6f2c', 'name': 'Thranan', 'planet_id': '2ca7e3cc0d', 'intelligence': 87.96, 'cooperation': 69.02, 'aggression': 31.02, 'adaptability': 42.24, 'lifespan': 53.07, 'population': 11770563588.0}",2ca7e3cc0d,100.0,Dyson Swarm Prototype,Scientific Council,206514.0
b619dd5fb5,Scientific Thranan Union,"{'species_id': '60073d8b75', 'name': 'Thranan', 'planet_id': '8892ee6162', 'intelligence': 84.74, 'cooperation': 52.28, 'aggression': 50.56, 'adaptability': 40.64, 'lifespan': 35.21, 'population': 180476634.0}",8892ee6162,95.68,Dyson Swarm Prototype,Technocracy,468541.0
