event_id,tick,year,civilization_id,event_type,description
ECN-EVT-00019,1,100,95cba99a70,Hyperinflation,Hyperinflation crisis declared in 95cba99a70 as local currency values plummeted by 111.2%.
ECN-EVT-00020,1,100,73cb158d41,Hyperinflation,Hyperinflation crisis declared in 73cb158d41 as local currency values plummeted by 111.2%.
ECN-EVT-00021,1,100,7419a59432,Hyperinflation,Hyperinflation crisis declared in 7419a59432 as local currency values plummeted by 111.2%.
ECN-EVT-00022,1,100,bb1351012f,Hyperinflation,Hyperinflation crisis declared in bb1351012f as local currency values plummeted by 111.2%.
ECN-EVT-00023,1,100,3be9d94e07,Hyperinflation,Hyperinflation crisis declared in 3be9d94e07 as local currency values plummeted by 111.2%.
ECN-EVT-00024,1,100,033668785c,Hyperinflation,Hyperinflation crisis declared in 033668785c as local currency values plummeted by 111.2%.
ECN-EVT-00025,1,100,f8a4edc83b,Hyperinflation,Hyperinflation crisis declared in f8a4edc83b as local currency values plummeted by 111.1%.
ECN-EVT-00026,1,100,d2748466c9,Hyperinflation,Hyperinflation crisis declared in d2748466c9 as local currency values plummeted by 111.2%.
ECN-EVT-00027,1,100,4a7ef72f37,Hyperinflation,Hyperinflation crisis declared in 4a7ef72f37 as local currency values plummeted by 111.1%.
ECN-EVT-00028,1,100,b6e89e8b4d,Hyperinflation,Hyperinflation crisis declared in b6e89e8b4d as local currency values plummeted by 111.2%.
ECN-EVT-00029,1,100,243eff68e3,Hyperinflation,Hyperinflation crisis declared in 243eff68e3 as local currency values plummeted by 110.6%.
ECN-EVT-00030,1,100,9aa2eff7c3,Golden Age,"9aa2eff7c3 entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00031,1,100,5db2756626,Hyperinflation,Hyperinflation crisis declared in 5db2756626 as local currency values plummeted by 111.2%.
ECN-EVT-00032,1,100,37df7ce9be,Hyperinflation,Hyperinflation crisis declared in 37df7ce9be as local currency values plummeted by 111.1%.
ECN-EVT-00033,1,100,63fff6610a,Golden Age,"63fff6610a entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00034,1,100,52d6d92e6b,Hyperinflation,Hyperinflation crisis declared in 52d6d92e6b as local currency values plummeted by 111.1%.
ECN-EVT-00035,1,100,ea27a17ca6,Hyperinflation,Hyperinflation crisis declared in ea27a17ca6 as local currency values plummeted by 111.1%.
ECN-EVT-00036,1,100,962632e3ac,Hyperinflation,Hyperinflation crisis declared in 962632e3ac as local currency values plummeted by 111.2%.
ECN-EVT-00037,1,100,0bfb7074dd,Hyperinflation,Hyperinflation crisis declared in 0bfb7074dd as local currency values plummeted by 111.2%.
ECN-EVT-00038,1,100,626215ebea,Golden Age,"626215ebea entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00039,1,100,d8145cd1f0,Hyperinflation,Hyperinflation crisis declared in d8145cd1f0 as local currency values plummeted by 111.2%.
ECN-EVT-00040,1,100,7315025cfd,Hyperinflation,Hyperinflation crisis declared in 7315025cfd as local currency values plummeted by 111.2%.
ECN-EVT-00041,1,100,d853839dba,Hyperinflation,Hyperinflation crisis declared in d853839dba as local currency values plummeted by 111.2%.
ECN-EVT-00042,1,100,c56a0b9792,Hyperinflation,Hyperinflation crisis declared in c56a0b9792 as local currency values plummeted by 111.2%.
ECN-EVT-00043,1,100,2173a01d64,Hyperinflation,Hyperinflation crisis declared in 2173a01d64 as local currency values plummeted by 111.1%.
ECN-EVT-00044,1,100,35390a1939,Hyperinflation,Hyperinflation crisis declared in 35390a1939 as local currency values plummeted by 110.8%.
ECN-EVT-00045,1,100,6d4e0abb77,Hyperinflation,Hyperinflation crisis declared in 6d4e0abb77 as local currency values plummeted by 111.2%.
ECN-EVT-00046,1,100,3a3695c8e9,Hyperinflation,Hyperinflation crisis declared in 3a3695c8e9 as local currency values plummeted by 111.1%.
ECN-EVT-00047,1,100,494354518b,Hyperinflation,Hyperinflation crisis declared in 494354518b as local currency values plummeted by 111.2%.
ECN-EVT-00048,1,100,a425d5c923,Hyperinflation,Hyperinflation crisis declared in a425d5c923 as local currency values plummeted by 111.2%.
ECN-EVT-00049,1,100,9cad00795f,Hyperinflation,Hyperinflation crisis declared in 9cad00795f as local currency values plummeted by 111.1%.
ECN-EVT-00050,1,100,155f4eead5,Hyperinflation,Hyperinflation crisis declared in 155f4eead5 as local currency values plummeted by 111.2%.
ECN-EVT-00051,1,100,35b25d7eaf,Hyperinflation,Hyperinflation crisis declared in 35b25d7eaf as local currency values plummeted by 111.2%.
ECN-EVT-00052,1,100,4e674c46b8,Hyperinflation,Hyperinflation crisis declared in 4e674c46b8 as local currency values plummeted by 111.1%.
ECN-EVT-00053,1,100,e4a60e62b6,Hyperinflation,Hyperinflation crisis declared in e4a60e62b6 as local currency values plummeted by 111.2%.
ECN-EVT-00054,1,100,24423298c0,Hyperinflation,Hyperinflation crisis declared in 24423298c0 as local currency values plummeted by 111.2%.
ECN-EVT-00055,1,100,95985a8620,Hyperinflation,Hyperinflation crisis declared in 95985a8620 as local currency values plummeted by 111.2%.
ECN-EVT-00056,1,100,80be4440e8,Hyperinflation,Hyperinflation crisis declared in 80be4440e8 as local currency values plummeted by 111.2%.
ECN-EVT-00057,1,100,c7a93adf27,Hyperinflation,Hyperinflation crisis declared in c7a93adf27 as local currency values plummeted by 111.2%.
ECN-EVT-00058,1,100,df2217070a,Hyperinflation,Hyperinflation crisis declared in df2217070a as local currency values plummeted by 111.2%.
ECN-EVT-00059,1,100,c64460376e,Hyperinflation,Hyperinflation crisis declared in c64460376e as local currency values plummeted by 111.2%.
ECN-EVT-00060,1,100,53e4b98264,Hyperinflation,Hyperinflation crisis declared in 53e4b98264 as local currency values plummeted by 111.2%.
ECN-EVT-00061,1,100,14c594f145,Golden Age,"14c594f145 entered a Golden Age, fueled by high GDP growth (1951423.9%) and low inflation."
ECN-EVT-00062,1,100,abb26e55dc,Golden Age,"abb26e55dc entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00063,1,100,075b3fb3b1,Hyperinflation,Hyperinflation crisis declared in 075b3fb3b1 as local currency values plummeted by 110.9%.
ECN-EVT-00064,1,100,d401178af2,Hyperinflation,Hyperinflation crisis declared in d401178af2 as local currency values plummeted by 111.2%.
ECN-EVT-00065,1,100,6dfc531f16,Hyperinflation,Hyperinflation crisis declared in 6dfc531f16 as local currency values plummeted by 110.5%.
ECN-EVT-00066,1,100,36b91772ac,Hyperinflation,Hyperinflation crisis declared in 36b91772ac as local currency values plummeted by 111.1%.
ECN-EVT-00067,1,100,3c983bfdab,Hyperinflation,Hyperinflation crisis declared in 3c983bfdab as local currency values plummeted by 111.2%.
ECN-EVT-00068,1,100,db90f4ff25,Hyperinflation,Hyperinflation crisis declared in db90f4ff25 as local currency values plummeted by 111.2%.
ECN-EVT-00069,1,100,cfec2df928,Hyperinflation,Hyperinflation crisis declared in cfec2df928 as local currency values plummeted by 70.9%.
ECN-EVT-00070,1,100,a189e2924d,Hyperinflation,Hyperinflation crisis declared in a189e2924d as local currency values plummeted by 111.1%.
ECN-EVT-00071,1,100,30e300e760,Hyperinflation,Hyperinflation crisis declared in 30e300e760 as local currency values plummeted by 111.1%.
ECN-EVT-00072,1,100,65ea513ebb,Hyperinflation,Hyperinflation crisis declared in 65ea513ebb as local currency values plummeted by 111.2%.
ECN-EVT-00073,1,100,6fbfc2a11d,Hyperinflation,Hyperinflation crisis declared in 6fbfc2a11d as local currency values plummeted by 111.2%.
ECN-EVT-00074,1,100,bceea7e00e,Hyperinflation,Hyperinflation crisis declared in bceea7e00e as local currency values plummeted by 111.2%.
ECN-EVT-00075,1,100,9875fc03a4,Hyperinflation,Hyperinflation crisis declared in 9875fc03a4 as local currency values plummeted by 111.2%.
ECN-EVT-00076,1,100,81601b2e5e,Hyperinflation,Hyperinflation crisis declared in 81601b2e5e as local currency values plummeted by 111.2%.
ECN-EVT-00077,1,100,72196fa906,Hyperinflation,Hyperinflation crisis declared in 72196fa906 as local currency values plummeted by 111.2%.
ECN-EVT-00078,1,100,3c4760ddea,Hyperinflation,Hyperinflation crisis declared in 3c4760ddea as local currency values plummeted by 111.2%.
ECN-EVT-00079,1,100,23094db297,Hyperinflation,Hyperinflation crisis declared in 23094db297 as local currency values plummeted by 111.1%.
ECN-EVT-00080,1,100,642e75a08d,Hyperinflation,Hyperinflation crisis declared in 642e75a08d as local currency values plummeted by 110.9%.
ECN-EVT-00081,1,100,b619dd5fb5,Hyperinflation,Hyperinflation crisis declared in b619dd5fb5 as local currency values plummeted by 110.8%.
ECN-EVT-00082,1,100,e3ba98a843,Hyperinflation,Hyperinflation crisis declared in e3ba98a843 as local currency values plummeted by 111.2%.
ECN-EVT-00083,1,100,50f9748c73,Hyperinflation,Hyperinflation crisis declared in 50f9748c73 as local currency values plummeted by 111.1%.
ECN-EVT-00084,1,100,3e1c9fe27e,Hyperinflation,Hyperinflation crisis declared in 3e1c9fe27e as local currency values plummeted by 111.2%.
ECN-EVT-00085,1,100,cb16d2a5bc,Hyperinflation,Hyperinflation crisis declared in cb16d2a5bc as local currency values plummeted by 111.2%.
ECN-EVT-00086,1,100,340e3912e2,Golden Age,"340e3912e2 entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00087,1,100,6ebb371c3c,Hyperinflation,Hyperinflation crisis declared in 6ebb371c3c as local currency values plummeted by 111.1%.
ECN-EVT-00088,1,100,1b37c066da,Hyperinflation,Hyperinflation crisis declared in 1b37c066da as local currency values plummeted by 110.9%.
ECN-EVT-00089,1,100,f4a721a47f,Hyperinflation,Hyperinflation crisis declared in f4a721a47f as local currency values plummeted by 111.1%.
ECN-EVT-00090,1,100,63d8758b53,Hyperinflation,Hyperinflation crisis declared in 63d8758b53 as local currency values plummeted by 109.6%.
ECN-EVT-00091,1,100,415811daec,Hyperinflation,Hyperinflation crisis declared in 415811daec as local currency values plummeted by 111.2%.
ECN-EVT-00092,1,100,cb312b9d86,Hyperinflation,Hyperinflation crisis declared in cb312b9d86 as local currency values plummeted by 71.2%.
ECN-EVT-00093,1,100,53dc64803e,Hyperinflation,Hyperinflation crisis declared in 53dc64803e as local currency values plummeted by 111.2%.
ECN-EVT-00094,1,100,5b3c302325,Hyperinflation,Hyperinflation crisis declared in 5b3c302325 as local currency values plummeted by 110.8%.
ECN-EVT-00095,1,100,947f74a852,Hyperinflation,Hyperinflation crisis declared in 947f74a852 as local currency values plummeted by 110.5%.
ECN-EVT-00096,1,100,7df05aba52,Hyperinflation,Hyperinflation crisis declared in 7df05aba52 as local currency values plummeted by 111.2%.
ECN-EVT-00097,1,100,e23dc5e375,Hyperinflation,Hyperinflation crisis declared in e23dc5e375 as local currency values plummeted by 111.2%.
ECN-EVT-00098,1,100,77811a2fa9,Golden Age,"77811a2fa9 entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00099,1,100,4a9574c523,Hyperinflation,Hyperinflation crisis declared in 4a9574c523 as local currency values plummeted by 111.1%.
ECN-EVT-00100,1,100,e99c95009e,Hyperinflation,Hyperinflation crisis declared in e99c95009e as local currency values plummeted by 111.2%.
ECN-EVT-00101,1,100,6957a14d13,Hyperinflation,Hyperinflation crisis declared in 6957a14d13 as local currency values plummeted by 111.2%.
ECN-EVT-00102,1,100,2a34070c99,Hyperinflation,Hyperinflation crisis declared in 2a34070c99 as local currency values plummeted by 111.1%.
ECN-EVT-00103,1,100,8eadd942b0,Hyperinflation,Hyperinflation crisis declared in 8eadd942b0 as local currency values plummeted by 111.2%.
ECN-EVT-00104,1,100,d2f4557294,Golden Age,"d2f4557294 entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00105,1,100,6657429a7c,Hyperinflation,Hyperinflation crisis declared in 6657429a7c as local currency values plummeted by 111.1%.
ECN-EVT-00106,1,100,5f5ebcf2f5,Hyperinflation,Hyperinflation crisis declared in 5f5ebcf2f5 as local currency values plummeted by 111.1%.
ECN-EVT-00107,1,100,5578b4053f,Hyperinflation,Hyperinflation crisis declared in 5578b4053f as local currency values plummeted by 111.2%.
ECN-EVT-00108,1,100,095464621d,Hyperinflation,Hyperinflation crisis declared in 095464621d as local currency values plummeted by 110.9%.
ECN-EVT-00109,1,100,22e010a52d,Hyperinflation,Hyperinflation crisis declared in 22e010a52d as local currency values plummeted by 111.2%.
ECN-EVT-00110,1,100,a987357567,Hyperinflation,Hyperinflation crisis declared in a987357567 as local currency values plummeted by 71.0%.
ECN-EVT-00111,1,100,cf1fb521d7,Hyperinflation,Hyperinflation crisis declared in cf1fb521d7 as local currency values plummeted by 111.2%.
ECN-EVT-00112,1,100,0895acc0af,Hyperinflation,Hyperinflation crisis declared in 0895acc0af as local currency values plummeted by 110.6%.
ECN-EVT-00113,1,100,cd650c58ff,Hyperinflation,Hyperinflation crisis declared in cd650c58ff as local currency values plummeted by 111.2%.
ECN-EVT-00114,1,100,208f64f5f9,Hyperinflation,Hyperinflation crisis declared in 208f64f5f9 as local currency values plummeted by 111.2%.
ECN-EVT-00115,1,100,a03b53100a,Hyperinflation,Hyperinflation crisis declared in a03b53100a as local currency values plummeted by 111.2%.
ECN-EVT-00116,1,100,ad899b1ed9,Hyperinflation,Hyperinflation crisis declared in ad899b1ed9 as local currency values plummeted by 111.2%.
ECN-EVT-00117,1,100,b53d4251d2,Hyperinflation,Hyperinflation crisis declared in b53d4251d2 as local currency values plummeted by 111.2%.
ECN-EVT-00118,1,100,2b4452e77b,Golden Age,"2b4452e77b entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00119,1,100,7994a1ada7,Hyperinflation,Hyperinflation crisis declared in 7994a1ada7 as local currency values plummeted by 111.2%.
ECN-EVT-00120,1,100,2b100070c5,Hyperinflation,Hyperinflation crisis declared in 2b100070c5 as local currency values plummeted by 110.3%.
ECN-EVT-00121,1,100,984d4d4161,Golden Age,"984d4d4161 entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00122,1,100,04b742dd38,Hyperinflation,Hyperinflation crisis declared in 04b742dd38 as local currency values plummeted by 111.1%.
ECN-EVT-00123,1,100,82f9ee8fb4,Hyperinflation,Hyperinflation crisis declared in 82f9ee8fb4 as local currency values plummeted by 111.0%.
ECN-EVT-00124,1,100,08d81107e6,Golden Age,"08d81107e6 entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00125,1,100,38a2dd884c,Hyperinflation,Hyperinflation crisis declared in 38a2dd884c as local currency values plummeted by 109.8%.
ECN-EVT-00126,1,100,1c90d82c80,Hyperinflation,Hyperinflation crisis declared in 1c90d82c80 as local currency values plummeted by 111.1%.
ECN-EVT-00127,1,100,a067552faf,Hyperinflation,Hyperinflation crisis declared in a067552faf as local currency values plummeted by 111.2%.
ECN-EVT-00128,1,100,c6642b2284,Hyperinflation,Hyperinflation crisis declared in c6642b2284 as local currency values plummeted by 111.1%.
ECN-EVT-00129,1,100,a222a74ae8,Hyperinflation,Hyperinflation crisis declared in a222a74ae8 as local currency values plummeted by 111.2%.
ECN-EVT-00130,1,100,c235dc422c,Hyperinflation,Hyperinflation crisis declared in c235dc422c as local currency values plummeted by 71.2%.
ECN-EVT-00131,1,100,9dbca7c528,Hyperinflation,Hyperinflation crisis declared in 9dbca7c528 as local currency values plummeted by 111.2%.
ECN-EVT-00132,1,100,f714a79195,Hyperinflation,Hyperinflation crisis declared in f714a79195 as local currency values plummeted by 111.2%.
ECN-EVT-00133,1,100,f6221e08e8,Golden Age,"f6221e08e8 entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00134,1,100,f0cb6b0a91,Hyperinflation,Hyperinflation crisis declared in f0cb6b0a91 as local currency values plummeted by 111.2%.
ECN-EVT-00135,1,100,a866d8dcfc,Golden Age,"a866d8dcfc entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00136,1,100,26a6b7dcc3,Hyperinflation,Hyperinflation crisis declared in 26a6b7dcc3 as local currency values plummeted by 111.2%.
ECN-EVT-00137,1,100,7be35390be,Hyperinflation,Hyperinflation crisis declared in 7be35390be as local currency values plummeted by 111.1%.
ECN-EVT-00138,1,100,87f864fe83,Hyperinflation,Hyperinflation crisis declared in 87f864fe83 as local currency values plummeted by 111.1%.
ECN-EVT-00139,1,100,3ba7df6ae1,Hyperinflation,Hyperinflation crisis declared in 3ba7df6ae1 as local currency values plummeted by 111.2%.
ECN-EVT-00140,1,100,edb45b6eec,Golden Age,"edb45b6eec entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00141,1,100,fe5ce1f2b8,Golden Age,"fe5ce1f2b8 entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00142,1,100,a31575c86a,Hyperinflation,Hyperinflation crisis declared in a31575c86a as local currency values plummeted by 111.2%.
ECN-EVT-00143,1,100,7652ec5c8d,Hyperinflation,Hyperinflation crisis declared in 7652ec5c8d as local currency values plummeted by 111.2%.
ECN-EVT-00144,1,100,98fbfa35fa,Hyperinflation,Hyperinflation crisis declared in 98fbfa35fa as local currency values plummeted by 111.2%.
ECN-EVT-00145,1,100,6eb9b1daf2,Hyperinflation,Hyperinflation crisis declared in 6eb9b1daf2 as local currency values plummeted by 111.2%.
ECN-EVT-00146,1,100,07a0027478,Hyperinflation,Hyperinflation crisis declared in 07a0027478 as local currency values plummeted by 111.1%.
ECN-EVT-00147,1,100,187eb0978f,Hyperinflation,Hyperinflation crisis declared in 187eb0978f as local currency values plummeted by 111.1%.
ECN-EVT-00148,1,100,8bd71d17f7,Hyperinflation,Hyperinflation crisis declared in 8bd71d17f7 as local currency values plummeted by 111.2%.
ECN-EVT-00149,1,100,7f4ec7825c,Hyperinflation,Hyperinflation crisis declared in 7f4ec7825c as local currency values plummeted by 111.2%.
ECN-EVT-00150,1,100,a1d0ea467a,Hyperinflation,Hyperinflation crisis declared in a1d0ea467a as local currency values plummeted by 111.2%.
ECN-EVT-00151,1,100,71d820677a,Hyperinflation,Hyperinflation crisis declared in 71d820677a as local currency values plummeted by 110.8%.
ECN-EVT-00152,1,100,6d2f3e5ed1,Hyperinflation,Hyperinflation crisis declared in 6d2f3e5ed1 as local currency values plummeted by 111.2%.
ECN-EVT-00153,1,100,3339448f7c,Golden Age,"3339448f7c entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00154,1,100,be3191b575,Hyperinflation,Hyperinflation crisis declared in be3191b575 as local currency values plummeted by 111.1%.
ECN-EVT-00155,1,100,63f01adf18,Hyperinflation,Hyperinflation crisis declared in 63f01adf18 as local currency values plummeted by 111.1%.
ECN-EVT-00156,1,100,b75dce1421,Hyperinflation,Hyperinflation crisis declared in b75dce1421 as local currency values plummeted by 111.2%.
ECN-EVT-00157,1,100,4c8e6a8540,Hyperinflation,Hyperinflation crisis declared in 4c8e6a8540 as local currency values plummeted by 111.0%.
ECN-EVT-00158,1,100,76c64a14d6,Hyperinflation,Hyperinflation crisis declared in 76c64a14d6 as local currency values plummeted by 111.2%.
ECN-EVT-00159,1,100,517cb43ce0,Hyperinflation,Hyperinflation crisis declared in 517cb43ce0 as local currency values plummeted by 111.1%.
ECN-EVT-00160,1,100,d378f96d17,Hyperinflation,Hyperinflation crisis declared in d378f96d17 as local currency values plummeted by 111.2%.
ECN-EVT-00161,1,100,7664b6b371,Golden Age,"7664b6b371 entered a Golden Age, fueled by high GDP growth (1201283.4%) and low inflation."
ECN-EVT-00162,1,100,739bb87006,Golden Age,"739bb87006 entered a Golden Age, fueled by high GDP growth (1282197.5%) and low inflation."
ECN-EVT-00163,1,100,8853384409,Hyperinflation,Hyperinflation crisis declared in 8853384409 as local currency values plummeted by 110.1%.
ECN-EVT-00164,1,100,bda6417e80,Hyperinflation,Hyperinflation crisis declared in bda6417e80 as local currency values plummeted by 71.0%.
ECN-EVT-00165,1,100,56cd534bb7,Hyperinflation,Hyperinflation crisis declared in 56cd534bb7 as local currency values plummeted by 111.2%.
ECN-EVT-00166,1,100,c6e77e6789,Hyperinflation,Hyperinflation crisis declared in c6e77e6789 as local currency values plummeted by 111.2%.
ECN-EVT-00167,1,100,ac4afd4a27,Hyperinflation,Hyperinflation crisis declared in ac4afd4a27 as local currency values plummeted by 111.2%.
ECN-EVT-00168,1,100,778b8b68c3,Golden Age,"778b8b68c3 entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00169,1,100,c5213edcba,Hyperinflation,Hyperinflation crisis declared in c5213edcba as local currency values plummeted by 111.2%.
ECN-EVT-00170,1,100,37b8da7a55,Hyperinflation,Hyperinflation crisis declared in 37b8da7a55 as local currency values plummeted by 111.2%.
ECN-EVT-00171,1,100,c1803ec34d,Golden Age,"c1803ec34d entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00172,1,100,d957806d32,Hyperinflation,Hyperinflation crisis declared in d957806d32 as local currency values plummeted by 111.1%.
ECN-EVT-00173,1,100,fcda05fc4e,Golden Age,"fcda05fc4e entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00174,1,100,2320e9a617,Hyperinflation,Hyperinflation crisis declared in 2320e9a617 as local currency values plummeted by 111.2%.
ECN-EVT-00175,1,100,75a58165a0,Hyperinflation,Hyperinflation crisis declared in 75a58165a0 as local currency values plummeted by 110.6%.
ECN-EVT-00176,1,100,d5f12251b2,Hyperinflation,Hyperinflation crisis declared in d5f12251b2 as local currency values plummeted by 111.1%.
ECN-EVT-00177,1,100,b4221d6e15,Hyperinflation,Hyperinflation crisis declared in b4221d6e15 as local currency values plummeted by 111.2%.
ECN-EVT-00178,1,100,b3ddaf54de,Hyperinflation,Hyperinflation crisis declared in b3ddaf54de as local currency values plummeted by 111.2%.
ECN-EVT-00179,1,100,fa8159dac5,Hyperinflation,Hyperinflation crisis declared in fa8159dac5 as local currency values plummeted by 111.2%.
ECN-EVT-00180,1,100,02e103d2b6,Golden Age,"02e103d2b6 entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00181,1,100,b0eb206a08,Golden Age,"b0eb206a08 entered a Golden Age, fueled by high GDP growth (633037.1%) and low inflation."
ECN-EVT-00182,1,100,529174abfd,Golden Age,"529174abfd entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00183,1,100,658cf93cc4,Hyperinflation,Hyperinflation crisis declared in 658cf93cc4 as local currency values plummeted by 111.2%.
ECN-EVT-00184,1,100,3b106fa102,Hyperinflation,Hyperinflation crisis declared in 3b106fa102 as local currency values plummeted by 111.2%.
ECN-EVT-00185,1,100,6a9427ac16,Hyperinflation,Hyperinflation crisis declared in 6a9427ac16 as local currency values plummeted by 110.9%.
ECN-EVT-00186,1,100,094756ff65,Hyperinflation,Hyperinflation crisis declared in 094756ff65 as local currency values plummeted by 111.1%.
ECN-EVT-00187,1,100,e07661a882,Hyperinflation,Hyperinflation crisis declared in e07661a882 as local currency values plummeted by 111.2%.
ECN-EVT-00188,1,100,d340e67e88,Golden Age,"d340e67e88 entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00189,1,100,78635879d1,Hyperinflation,Hyperinflation crisis declared in 78635879d1 as local currency values plummeted by 111.2%.
ECN-EVT-00190,1,100,71f4e16f01,Hyperinflation,Hyperinflation crisis declared in 71f4e16f01 as local currency values plummeted by 111.2%.
ECN-EVT-00191,1,100,62149b123f,Hyperinflation,Hyperinflation crisis declared in 62149b123f as local currency values plummeted by 111.2%.
ECN-EVT-00192,1,100,4c3eb31272,Hyperinflation,Hyperinflation crisis declared in 4c3eb31272 as local currency values plummeted by 111.2%.
ECN-EVT-00193,1,100,460d2edc1f,Golden Age,"460d2edc1f entered a Golden Age, fueled by high GDP growth (10000.0%) and low inflation."
ECN-EVT-00194,1,100,6c40e5c997,Hyperinflation,Hyperinflation crisis declared in 6c40e5c997 as local currency values plummeted by 110.8%.
ECN-EVT-00195,1,100,ce97697488,Hyperinflation,Hyperinflation crisis declared in ce97697488 as local currency values plummeted by 111.2%.
ECN-EVT-00196,1,100,4df0d9ee3b,Hyperinflation,Hyperinflation crisis declared in 4df0d9ee3b as local currency values plummeted by 111.2%.
ECN-EVT-00197,1,100,5a236efd3f,Hyperinflation,Hyperinflation crisis declared in 5a236efd3f as local currency values plummeted by 110.8%.
ECN-EVT-00198,1,100,1bc76d1c73,Hyperinflation,Hyperinflation crisis declared in 1bc76d1c73 as local currency values plummeted by 111.1%.
ECN-EVT-00199,1,100,1c4722b997,Hyperinflation,Hyperinflation crisis declared in 1c4722b997 as local currency values plummeted by 71.2%.
ECN-EVT-00200,1,100,0e67dd57aa,Hyperinflation,Hyperinflation crisis declared in 0e67dd57aa as local currency values plummeted by 111.2%.
ECN-EVT-00201,1,100,88977397af,Hyperinflation,Hyperinflation crisis declared in 88977397af as local currency values plummeted by 111.1%.
ECN-EVT-00202,1,100,84a3d643c9,Hyperinflation,Hyperinflation crisis declared in 84a3d643c9 as local currency values plummeted by 111.0%.
ECN-EVT-00203,1,100,19190c022d,Hyperinflation,Hyperinflation crisis declared in 19190c022d as local currency values plummeted by 110.7%.
