species_id,name,planet_id,intelligence,cooperation,aggression,adaptability,lifespan,population
f9e734f82c,Sigma-bulgis,4670e74d95,81.94,41.14,39.59,50.99,54.39,210111918.0
7b5137f2cc,Persean,0f21771c61,85.24,63.71,34.55,33.87,74.82,13146823757.0
57e6a6a3f0,Zelian,0d8a7c37a4,93.74,50.86,40.73,40.83,33.08,1330010076.0
437d5d93f7,Xenoid,279c6debf9,95.85,42.04,34.95,53.6,29.65,13047190956.0
89c3f7ee76,Meris,1071cb51c1,97.41,54.52,44.02,40.89,32.84,10657126089.0
fc156808a6,Xenoid,43f9bbcdb6,89.37,36.15,35.75,30.33,55.01,6256761115.0
497ec7b569,Meris,566e95ee2b,61.12,62.71,29.89,31.25,23.24,2209549798.0
daddfcdede,Zylarex,4abd655836,83.79,54.34,46.93,41.51,35.63,6894199613.0
4d0e16cec3,Xenite,473c3c2fa5,85.27,46.99,43.36,42.79,12.04,1725053179.0
a0359b4250,Xenoid,962da5ac1f,79.21,55.93,48.06,48.13,33.61,4715843726.0
3d14686243,Aurelite,6e985c9ca2,68.76,44.82,43.46,60.47,46.86,9390764918.0
de4762bc06,Aurelari,f08590922d,95.12,53.85,34.89,36.58,23.86,4089807685.0
08ac4985df,Zelite,137aa285ad,68.69,44.52,44.94,39.67,23.14,6410637400.0
18f3783c60,Elysiis,d551c2bfb3,55.66,58.92,45.69,37.09,59.09,1958886697.0
bf2ffdd69b,Elysiian,9c817bff31,66.23,43.69,35.72,28.02,61.08,2032598013.0
e8fb5d040e,Valari,3cd9fd968f,79.6,50.16,47.97,40.69,50.13,464035786.0
d3d084887d,Zelan,5421f321f0,78.38,59.49,28.38,40.79,55.21,2674083157.0
9013ec6cab,Galactican,06fbf6dcab,65.79,52.46,56.38,48.82,54.95,6793350232.0
54a1054fa1,Zylarite,46386ddb85,77.83,34.18,52.43,59.09,40.44,6780085312.0
08353dddc8,Thranari,11c0a12eb9,70.36,49.46,58.06,39.25,55.77,9185577912.0
35bb39eaae,Aethelgardian,5c79b088ab,51.33,56.27,40.9,57.09,51.47,131971714.0
a2ba48f521,Aethelgardan,90ff26504b,74.3,28.5,64.27,59.84,54.7,4023752016.0
5fa7c15cbf,Aethelgardis,4ed82904aa,93.49,54.53,33.5,55.05,30.4,2901950272.0
41d0154270,Aethelgardan,cfed9b9501,95.23,56.26,34.32,44.59,60.27,15000000000.0
f6b507013c,Zeloid,1f848c8972,78.01,55.17,15.7,55.11,24.78,395695403.0
c39b365091,Zylaroid,4699d07dc1,81.13,52.8,30.69,36.0,46.37,415099425.0
975b343640,Xenan,417ec54e78,100.0,51.13,36.3,48.29,54.83,2581165095.0
662a6ca336,Kaelumis,7b9f34bf7d,87.15,62.79,25.66,33.2,20.09,2851552120.0
dcddb106c6,Thranis,2f3886be03,65.64,49.16,34.14,53.02,28.94,1126823223.0
71ee5f9cd4,Thranari,b5f45fccf7,70.38,45.78,51.55,34.17,52.78,8854384844.0
3c2140184a,Gamma-orionis,9fe5a745b7,78.2,36.01,40.34,37.27,21.31,1000000000.0
32f19520eb,Orionian,acf9b7df5c,78.09,56.21,30.77,38.35,46.38,7940425506.0
652bf7d892,Orionian,515b327449,82.32,45.57,40.56,34.57,42.73,12668040322.0
5d80eb3edd,Orionian,fbbfdec657,65.97,46.81,43.54,37.45,46.03,5439232345.0
ec6524c344,Theta-orionis,c6978ae190,91.27,57.48,45.72,28.71,33.05,342951818.0
9f7e7061c9,Theta-orionis,528c9adeed,70.81,35.76,45.16,32.84,59.38,6282577516.0
40c89631a2,Xenis,2715964379,87.13,37.35,39.24,39.03,39.23,733397760.0
635c574f83,Orionis,89f259818b,94.62,52.69,36.11,53.46,68.04,4954058190.0
946494d0bc,Vesperari,8e83767a17,90.95,55.12,52.44,41.27,34.52,361765366.0
3a85b46f37,Xenan,a2ac10fa69,100.0,65.43,26.88,45.1,58.28,15000000000.0
db53a7de83,Zylarex,7095ce8818,47.45,55.53,23.65,32.02,54.86,3443663183.0
b42026719c,Thranian,1948d23f66,63.83,32.52,46.33,37.19,48.18,5788475129.0
1ca802a695,Sagittariite,b26a3e63b5,76.36,71.03,45.65,34.06,69.77,12498038699.0
926a4782c8,Sagittarian,785229f66e,86.75,52.59,38.78,23.39,41.51,1632459079.0
9b123f8982,Orionite,1fc99a3a6f,81.52,46.28,52.03,39.2,33.52,414907130.0
9ae0ef0054,Orionan,b1f4fb5b0d,81.38,43.62,53.83,31.05,37.29,328051314.0
f3c5fe6026,Orionian,99b841f32e,86.16,58.37,40.89,39.8,60.13,6017858370.0
fff659107c,Sigma-orionis,0c516c0189,91.95,51.55,22.87,22.41,34.75,2936107930.0
0fcbf2a56f,Sigma-orionis,ee70302cc3,57.73,36.34,32.03,46.83,47.34,12003009446.0
3fec554b38,Zelis,92c55418c0,70.09,51.89,34.86,45.97,50.94,5003772677.0
bcb6000c25,Zelian,3eb0faf107,99.03,52.29,22.55,41.77,17.89,3535269312.0
f48bc86d8a,Solian,ac94618135,39.86,42.11,39.77,22.38,47.9,12201914919.0
b585cd6f2c,Thranan,2ca7e3cc0d,87.96,69.02,31.02,42.24,53.07,11770563588.0
60073d8b75,Thranan,8892ee6162,84.74,52.28,50.56,40.64,35.21,180476634.0
caa3ba6d06,Valoid,297bcff199,83.08,44.31,40.72,45.56,31.25,3598133217.0
ae375b447e,Vesperex,320504c43f,85.53,46.37,27.13,47.46,53.66,9806735357.0
2583ffbec7,Cygnian,ec36c4508f,91.92,35.61,44.63,44.09,41.96,669953447.0
be7138fa29,Gamma-cygnis,8737f6ce71,75.18,53.8,54.9,39.34,30.55,1585158024.0
0ba0bffcee,Cygnite,671fb36525,82.28,58.8,42.88,45.78,46.41,15000000000.0
1f9c4aac2b,Tau-galacticis,884af2a3f7,71.29,46.71,40.2,42.43,42.21,3945638252.0
5bd103b4b7,Valis,416ac5e217,74.25,60.81,44.92,47.23,54.91,11340327193.0
1aa7e87acc,Gamma-galacticis,71eef858e4,75.67,57.18,31.8,58.01,42.31,2456029345.0
9eaeb209b0,Aurelex,778bc621cb,70.93,51.73,64.38,35.04,64.23,15000000000.0
feda408bc2,Solian,ae20509c54,82.16,33.57,43.15,36.17,30.09,2942000568.0
8667876292,Aurelex,79baa0b6b8,87.24,35.37,44.88,29.37,63.52,7912947272.0
84f119e9e0,Orionian,ae286cb20d,96.15,46.27,44.68,46.81,42.4,10803803662.0
dddde40742,Bulgian,6a90d75784,100.0,44.11,58.54,41.98,42.3,12698341690.0
56919b39f4,Sagittariite,255232d77f,57.01,52.3,26.43,51.98,37.32,136220686.0
39d83700dc,Sagittarian,1f6522eea4,82.32,56.64,37.76,45.03,54.58,13031635157.0
8c7d568fc2,Galactician,092e7aa9ac,71.67,79.95,17.68,34.27,62.03,8267449130.0
b0322fb9ef,Gaeian,27476467dc,76.66,56.97,33.1,33.28,66.81,15000000000.0
5e97513080,Kaelumite,86de6549a6,79.01,41.04,33.05,23.74,57.01,278534288.0
857cffdd10,Merex,3173db71bf,90.92,43.23,25.79,35.72,63.96,329403984.0
63d0477abd,Xenian,c69da4fe7b,88.48,52.47,49.81,42.39,58.26,13340780153.0
13bafecc0f,Persean,76694745c9,74.69,36.01,40.9,44.48,42.88,303734400.0
74a561cc88,Persean,d6ccfb6850,87.01,49.83,50.01,11.04,58.28,98487703.0
0681eaadf5,Phi-perseis,14a73a1424,90.56,39.86,52.76,38.36,47.38,6214075151.0
555c688818,Perseian,7d92a78965,79.42,56.87,49.68,51.87,52.07,5745754555.0
71e6ad47ab,Ignis-ivis,8c22edd0c2,83.96,40.21,45.36,54.35,41.18,1715387376.0
d123ec4a58,Solari,71526b6e82,96.94,47.78,41.65,29.71,27.43,4911119603.0
8f79133a3d,Zylaris,af493ae6ac,85.64,48.07,44.9,29.51,65.75,15000000000.0
30a98b924c,Cygnan,c8d2d80b53,65.29,27.78,54.67,64.4,64.47,12498137644.0
57aeee56fc,Cygnite,1be8b9e8cb,81.3,48.16,38.48,45.53,43.37,3981702752.0
b82911054c,Thranite,fcdcae244d,92.23,54.22,33.12,24.13,37.86,4284282194.0
24de1b4154,Sagittarian,047b05b042,61.54,54.94,38.82,45.52,41.73,1650151528.0
277d82dd5e,Sagittarian,a6289c2a81,77.62,54.54,44.09,27.04,56.82,9488493414.0
d5495f89d1,Gamma-sagittariis,e8c2d06860,78.85,63.01,30.66,42.79,43.0,950639950.0
7ebbfbfc94,Sagittarian,76b1c55693,98.38,66.77,21.28,42.68,73.02,15000000000.0
f47b9e2e97,Orionex,eb47da8001,89.51,55.8,41.87,34.66,19.34,967330329.0
426ef299af,Aurelan,b4f1a7213a,93.78,31.33,56.12,37.85,34.3,4273998032.0
8be76533f5,Meran,21a83dc4e7,69.19,29.86,43.91,41.13,70.67,9858688290.0
07f8316e17,Meroid,06849e43d4,92.29,40.15,41.77,43.84,29.15,4880859656.0
5c996b816d,Soloid,119d756a5c,100.0,47.09,42.5,36.91,41.33,5194327367.0
92d50bb73f,Bulgan,be10bee0ef,78.37,42.97,42.28,47.08,45.33,11704502280.0
38f860b97b,Bulgite,a576291b8b,75.46,44.37,50.32,37.1,38.36,2697165294.0
4e7721da91,Vesperan,14dd088433,73.38,57.11,49.44,44.75,51.86,12610008517.0
fcfae6a2f8,Perseian,8dddd2ec6f,68.3,51.63,44.75,40.54,32.94,10399454660.0
6617bc7150,Valoid,615f68ebb0,70.38,65.63,48.31,19.84,37.72,5148322923.0
68aed15678,Zylarian,ba1d5d378c,81.59,46.21,36.88,41.7,54.89,15000000000.0
5387a6fd30,Sagittariian,ef76c06682,50.75,51.64,27.97,21.98,48.86,7273019718.0
59a102f9f0,Cygnian,0dfc3a6355,81.1,45.22,42.04,28.81,31.96,4671577857.0
a0a2bcd6b2,Ian,8dbd73bdcd,71.91,37.14,40.84,57.12,29.19,430480799.0
e2b59f4e84,Gaea-is,ac7a6b5922,92.48,34.78,27.05,35.93,34.53,2198699250.0
bf82fdbb59,Zelex,656b674976,89.3,39.77,62.18,41.37,41.41,3049008179.0
8b68e65e8e,Kaeluman,e28326c8f1,81.54,58.5,50.74,17.97,36.56,6069496769.0
aeb9f8a813,Vesperari,e791884991,75.61,44.04,54.47,45.56,41.85,1207179738.0
5d8a1c91c4,Orionian,a2c8ca59d9,90.01,51.96,63.24,44.21,46.91,3113769347.0
1c91adccbd,Orionian,c7e1816f5a,88.68,50.57,39.43,60.43,36.81,11952311302.0
13f69f0a6e,Xenoid,8c2a4ca914,86.3,56.33,45.36,51.73,38.63,3917140554.0
6b4cfd3bda,Kaeluman,4a131a224b,88.39,54.34,34.89,30.6,65.36,12974031599.0
b13917cf75,Zelis,68d3f0752a,97.11,55.71,37.47,27.76,43.31,8769544275.0
41791f9ac2,Valan,8a2f983ba6,66.61,63.85,53.62,66.25,50.88,11239868961.0
a8c53f1fba,Valan,81127348e7,76.94,59.74,27.34,40.06,64.74,11094922226.0
ad85c80b3a,Thranari,1db6f58a59,91.68,41.79,43.45,31.64,63.6,115419354.0
3d25455522,Thranite,70226c1b2a,100.0,63.15,27.45,43.86,51.45,6686566184.0
de5daa25da,Kaelumoid,cb4611319f,76.77,28.86,43.4,38.78,79.09,15000000000.0
ed1c8b4a2e,Kaelumari,857b2cc3b6,67.49,43.74,37.53,50.89,86.52,15000000000.0
03dc656e8e,Orionex,0040dccf97,91.81,55.3,34.83,45.29,37.21,5581219800.0
1cbca62e9e,Theta-perseis,6684ee649d,88.24,53.08,34.74,36.54,61.26,12203998628.0
30eb092a4d,Sigma-orionis,e190d3ef52,56.66,42.89,30.73,20.63,34.84,2186133367.0
41d9f66f49,Solex,720b28f033,56.69,51.15,47.14,37.19,43.0,7571134345.0
7e7ab4cd80,Xenite,b3e6d5d595,75.81,48.41,27.62,29.27,43.83,4412495707.0
cba92722ae,Vesperis,3d614d7807,66.16,43.83,45.03,58.12,43.42,5773820819.0
668dddcaa3,Merite,cedad1b316,79.41,61.57,29.26,50.03,33.01,1775288745.0
c8e1c66cef,Xenis,cc150e4198,91.13,47.36,44.1,31.63,36.25,677482844.0
987d0c48bc,Soloid,34004ae8d0,67.3,35.4,55.57,35.37,44.81,749919864.0
c004812915,Meris,e3ac0b867e,89.96,58.3,50.22,45.37,52.17,6185764319.0
2b179a414c,Zylaran,aabc273650,62.55,51.43,30.16,44.24,67.78,205014467.0
29eff4466f,Aurelari,804f9f208c,76.06,55.05,29.76,51.74,40.59,11087990554.0
a418f8455c,Xenan,5c957860fb,83.65,52.51,41.18,53.18,37.36,7196358514.0
47fe9ede16,Eta-galacticis,41ce470ba9,78.83,50.01,48.4,45.47,49.14,6131553632.0
b658a6ee6b,Galacticite,66b83490b5,51.98,67.5,35.47,52.25,39.06,1812821550.0
a0af1a2251,Bulgite,5057d9d5a0,69.28,51.54,45.56,35.25,50.58,550698174.0
4d35b039bb,Bulgan,72030e44ad,73.24,40.96,49.04,46.67,35.75,11430388623.0
062a961d7f,Orionoid,ce0c18dc7f,78.27,57.21,41.09,39.37,34.29,990624887.0
852fe668dc,Solan,e705c22e84,87.06,51.8,40.03,41.54,59.45,319517464.0
f64d8aa9c3,Kaelumian,880d990c65,64.79,43.88,25.16,47.79,58.91,3637799934.0
5f6d4d4545,Orionian,20e205eab6,96.28,47.99,34.82,23.08,57.12,8752368270.0
ad3ec7eff5,Aurelex,9bf2886f37,90.38,51.86,41.52,50.01,21.32,6179164779.0
57de5cca9a,Kaelumex,94e2e777cc,93.5,45.17,54.98,51.09,35.96,4966511555.0
e37fda4ce7,Persean,3f7195886a,98.73,47.23,39.5,38.16,38.37,116703202.0
ebf1be5af5,Persean,bb6c8e317f,65.94,45.33,25.89,47.6,40.6,1538204291.0
ffcdd56cda,Persean,dcc81c3a91,91.1,40.38,46.72,67.31,39.54,1781550238.0
daf7833037,Perseite,aab8c4984f,95.23,46.37,59.74,39.39,35.81,4742837242.0
c5208548a2,Aurelex,a1aed63e53,94.98,47.43,36.74,45.76,65.7,15000000000.0
f0b34c9791,Meran,1643c3fc59,82.31,41.55,53.95,51.57,52.18,1680102436.0
43ba953cbe,Zylaris,8f69144906,94.9,58.06,51.21,41.17,39.91,2294495871.0
a749a2a7be,Aurelari,f7145b840e,84.95,45.61,50.57,44.27,50.29,15000000000.0
73a8c7f8da,Galactician,0cac230fec,65.53,24.77,60.01,44.57,35.41,2280426817.0
300fb68be9,Sigma-galacticis,bd8a43aea2,86.31,25.17,57.7,35.02,39.69,11217224849.0
04ba6c9a6f,Galactican,8de83bb0c7,81.1,50.51,22.22,25.49,29.57,2922054419.0
458c45bc49,Galactican,57c79405f9,32.37,34.12,43.32,41.56,39.28,1551749400.0
992f43ef32,Xenian,1856aa5327,94.96,67.54,42.87,45.01,24.51,3595660489.0
03d731df86,Xenis,117cddbd3a,80.81,57.83,41.37,28.17,32.38,3766454389.0
01145627b6,Zylarex,b2f1459f87,77.17,49.78,44.59,47.61,63.03,5714680714.0
a0aa0ace8c,Xenian,1a2c6f5703,81.65,64.91,37.21,46.54,47.76,6553678635.0
023c04a1d3,Thranari,354b8387d3,83.84,21.03,72.95,37.3,58.56,9290118760.0
9d22d0a264,Thranis,bab33d9ece,50.23,44.67,30.04,31.5,42.85,2596071218.0
8360ed4fda,Meroid,8c6d4521ff,95.78,57.51,50.64,31.32,59.76,10156769003.0
c31ddf0537,Zylarian,858023c4fc,97.51,38.22,44.16,41.45,36.79,4424848344.0
44ed5a801f,Perseian,e4ffbb4a0a,77.53,27.89,55.39,58.8,43.74,14502146636.0
f1a92cc76d,Phi-perseis,99ecd3a0ac,71.24,38.82,50.97,33.7,43.29,9180921525.0
52460656e3,Prometheian,8110cfeea2,68.74,56.75,52.26,26.91,10.0,3980918447.0
28cf66364a,Vesperis,6dc235f201,75.19,37.31,47.78,22.62,34.52,2692834374.0
b50759aec8,Aurelari,4133087f9b,83.45,56.95,47.46,42.09,30.45,3184652458.0
691a81aaeb,Aurelan,8a233ad4f6,80.15,56.94,48.89,33.36,53.41,15000000000.0
ccf32e6deb,Priman,330270aa64,97.16,32.41,48.74,31.84,37.27,2451355066.0
73c1b791dd,Primite,dccd51c822,79.91,35.99,52.63,36.91,27.15,3021457689.0
2e7e4b8422,Sagittarian,3be3cd050b,77.76,51.56,45.91,28.61,47.98,1849146792.0
1d551d533d,Iota-sagittariis,95b030c6af,99.28,52.05,50.34,26.31,60.44,3979748690.0
154dc1d06b,Sagittarian,00aefc8b3c,78.09,33.92,50.62,34.87,39.63,4729014114.0
17d67592dd,Orionite,a9268d3a4f,90.55,43.35,24.37,36.71,43.39,1000000000.0
2fd4e41de5,Orionian,ab64355e12,75.62,35.98,30.74,27.2,28.32,2884504735.0
e876a2edef,Orionite,efa5c24a60,91.39,68.29,40.05,51.53,39.4,5086383135.0
30cd4524b4,Beta-bulgis,bf4e20e814,74.6,49.04,48.68,57.73,61.98,4940096818.0
7deebcecde,Beta-bulgis,6210cee23e,84.97,51.99,35.0,48.65,55.92,4285430878.0
85a6823c30,Orionis,aa53361bd1,65.69,65.99,47.95,51.14,50.96,7005628829.0
c587b72c18,Orionite,a52b798f17,91.26,45.7,41.94,44.12,34.63,7620413889.0
98cedd6593,Valis,01d3722a78,82.09,55.54,39.37,43.32,46.01,901874959.0
2f766bcaac,Zylarex,ada6c75a3a,80.66,57.55,37.64,27.57,32.95,549348864.0
71520aa0ba,Orionis,7c8d64e1fa,91.41,49.75,46.34,27.31,32.97,5458557044.0
6ea4752687,Zylaris,b48e8c756f,73.5,50.92,32.24,24.34,25.15,4242689236.0
70bfb1c36d,Aurelite,d5960dfed2,63.18,63.63,29.23,47.46,26.04,2302452246.0
b8bcc894b0,Meran,ae8372fc3d,62.31,45.91,38.93,49.22,48.62,9519912315.0
c150a2a271,Zeloid,0805129380,44.84,61.2,42.13,44.04,60.62,10437162381.0
b5101115db,Aurelian,3fbe34821e,55.07,32.33,50.44,14.42,28.24,1488185673.0
b0bd8a47a4,Aureliis,d51f62846f,87.24,37.5,49.16,44.63,23.09,254079487.0
ef135ef91c,Aureliite,285a184bd4,87.64,41.48,29.99,41.42,22.38,2394386429.0
8587dc935b,Orionite,82f15ecabb,82.74,67.19,41.32,38.54,35.51,6536864560.0
524d5deda4,Solari,6a886ec5d2,87.38,56.08,35.58,57.95,50.4,9935445883.0
5329e8e50c,Solex,43f942b9a3,91.12,36.07,50.16,51.41,77.07,14192047168.0
611d76e827,Vesperian,8868602e77,80.89,51.76,47.39,29.99,48.89,11262152733.0
d80b75b0ee,Thranex,24c2d3c08a,86.63,50.11,50.52,54.94,55.83,6831026602.0
5c63652f73,Chi-bulgis,5e6ad9e5d6,84.62,54.15,32.54,35.04,34.71,6460561947.0
93caf2240b,Bulgian,d9c16b5115,77.36,40.35,39.47,33.86,57.64,13028781832.0
cdb2dcc2f0,Bulgite,dd56599537,61.92,39.87,37.89,42.6,39.65,7711954250.0
67003d2d7f,Vesperoid,96396b9aa5,76.42,60.35,24.55,42.39,35.63,9188254935.0
20cfbb33d7,Vesperis,ac17693a85,96.36,53.21,42.22,29.33,36.32,3413305297.0
9b5458841f,Orionan,b5c21ed306,91.41,28.26,63.84,34.41,46.81,2408700057.0
204fd2b2af,Merex,44bcb066c2,82.81,51.08,56.43,47.25,47.62,6060267550.0
3e8ca18b03,Meris,9be03a1081,66.61,62.91,29.1,46.98,35.17,2444198380.0
e230a4e4d9,Kaelumex,25c7509903,47.86,52.38,59.18,45.4,37.34,792799028.0
45c2bc4b1c,Aurelian,f9a5ad06a8,76.81,53.53,25.22,36.28,65.68,600033756.0
15489283ae,Valari,bdb2e0686a,71.3,48.62,54.45,46.81,48.27,3423698638.0
94715a0de7,Zelian,52f353f903,70.56,60.18,41.27,48.94,37.5,2895687387.0
4debef2213,Orionan,42434c18bd,65.07,48.0,23.75,56.26,34.04,2172279826.0
7fd3acc234,Aureloid,51e29423d0,84.1,49.18,48.07,43.4,55.6,5084537370.0
f52938cfe6,Merari,ba92f63ced,71.44,43.32,36.41,45.69,50.93,7420864031.0
88e3f24f48,Xenex,234667fcf7,84.45,34.94,29.0,40.14,59.04,15000000000.0
5ce6bd2924,Persean,3ae5e04ff7,56.06,39.09,34.51,54.78,10.0,3349915977.0
d0d64e69c3,Perseian,7c20e99df9,61.82,55.26,54.67,34.2,63.27,325254791.0
3a2faa67d1,Perseian,fd3dae36b3,78.59,37.49,46.99,55.56,51.39,14261376068.0
1889ee64f4,Cygnan,c4fec8f4aa,71.88,40.64,64.23,53.84,45.1,977974749.0
6f777d94a3,Cygnan,9e4ed05f25,90.54,62.35,42.9,53.34,42.81,2904428184.0
0438ba4731,Cygnan,786124b970,90.46,61.99,35.35,56.25,35.43,1676737328.0
c630eaddb2,Cygnian,c7bb4226f0,71.92,25.96,44.44,38.02,37.51,3144338799.0
1768bda5ed,Kaelumian,8d85ed314a,78.8,54.42,42.04,40.08,35.09,983175941.0
8105c60edb,Kaeluman,92535b676d,100.0,60.54,35.8,61.1,44.68,2145041929.0
8c420715a6,Bulgian,c1e88f7dc4,81.01,56.82,42.73,31.39,50.62,1436295540.0
bba91306c8,Omega-bulgis,643e61538d,85.16,60.71,45.7,43.11,59.45,2497903264.0
8f7f0b4433,Omega-bulgis,c3acae4279,76.72,38.45,38.61,25.94,44.73,3746166561.0
5295fb32c9,Bulgite,df3779081f,97.72,52.26,48.81,29.01,53.18,13088305498.0
de766a63df,Bulgian,761dc46bfb,81.15,32.63,51.96,27.67,46.8,5870664321.0
871496b1a3,Thranian,ea39321ef5,58.66,41.67,51.02,37.96,44.66,555071867.0
cbf3cfcef8,Thranari,f2a9984428,89.29,47.42,45.21,24.64,49.92,6674704846.0
01c511e30a,Aurelan,81f92b3c38,81.73,42.92,44.76,54.31,51.79,2937947060.0
43950af122,Kaelumari,8a6656d3f1,83.53,55.17,59.09,50.24,49.4,7890396148.0
ef115f77c3,Valian,ec05aeaf84,76.89,46.96,44.28,19.0,61.94,15000000000.0
22c462f8cd,Vesperari,03ea73d15e,82.69,57.98,39.98,35.14,52.57,3208243294.0
5b3da730af,Orionite,ef69f3ae2b,78.38,57.23,40.24,35.99,34.04,15000000000.0
49a0a888d6,Orionan,866ec22212,82.88,60.9,31.35,42.19,44.83,9936125535.0
8798689d13,Omega-cygnis,56ddb257ee,62.07,64.01,43.49,31.96,58.09,14379751029.0
2e89f860e3,Thranari,64569d639c,56.8,48.47,38.25,32.53,46.65,5744834989.0
ba8788fc05,Xenoid,4c11c0b340,81.53,37.93,37.93,50.9,25.19,518379791.0
b9afcc3685,Thranari,b8b6836452,73.26,47.32,45.87,48.5,32.19,443882172.0
f07d66f608,Zelian,1f08297f68,87.22,49.73,55.51,32.51,32.75,2845763210.0
76127709f8,Merari,707779f6f3,100.0,53.68,13.83,59.87,57.28,11613708266.0
938a7de7e1,Zelari,fde5089e92,75.01,43.59,38.85,37.0,54.56,1908044108.0
b6a65114b3,Valoid,7f1c20dd07,85.04,44.13,15.43,37.46,41.1,3730086781.0
f87b05a34a,Sagittariian,c8305bdc8e,60.53,51.33,51.53,41.94,33.47,4027734753.0
ee045a5d2e,Orionis,dc25804b7a,91.18,64.64,30.7,44.58,46.64,12666366526.0
ce24b340ae,Thranan,408ed4a007,88.21,50.48,17.52,18.79,48.41,12832948985.0
ad982cf83b,Perseian,114274e253,89.56,43.3,35.35,28.9,72.9,12160862196.0
22fc7336f6,Aurelian,851c94e00b,84.04,57.69,22.93,36.99,59.31,11014776085.0
0e920e45d7,Sagittariite,24346853f9,91.96,65.59,39.67,25.73,54.64,15000000000.0
165cf67011,Orionian,9f03b3cb31,66.9,43.66,31.3,27.68,63.32,12462420741.0
d41e3a1f5d,Zylaris,e6f90b38b8,63.87,72.42,44.28,54.73,41.51,7364566226.0
c9e7fd4b5a,Thranite,4920896483,62.28,58.77,37.69,44.85,30.26,7118285910.0
fc1e40037d,Orionite,aab903b124,63.51,74.57,44.41,37.63,63.88,8346494733.0
c0aca33dec,Chi-bulgis,1b16b0564a,83.14,70.38,35.3,21.49,43.8,1961706057.0
a3e784f699,Chi-bulgis,e8d4eea8fa,72.58,55.14,39.64,50.77,35.98,5869888404.0
aac4567214,Xenite,03f6a9b18e,66.1,73.14,50.54,46.02,36.73,2219511230.0
060f7cd163,Orionis,74d2f9d15e,81.22,53.53,34.99,38.54,41.17,3632782830.0
8d5599de97,Orionite,867af92e3e,91.48,53.35,17.69,36.71,58.25,5838467662.0
0bf6911d4a,Bulgan,1aed7af55d,58.89,60.28,49.95,35.37,44.59,7702415437.0
71e5ae2253,Bulgian,ebebd202ca,68.58,74.34,34.86,34.86,28.92,449305110.0
ef71433af7,Bulgite,f52b7a81a2,77.07,52.7,45.56,41.57,52.71,13568657544.0
5aa6fd70e5,Delta-bulgis,bc8d7a1df5,65.15,68.57,31.63,37.11,38.83,10309457661.0
87b0710b7a,Thranan,568a7bc8fb,82.72,47.79,58.95,41.61,50.82,15000000000.0
