fleet_id,owner_empire_id,fleet_name,fleet_class,fleet_power,mobility,firepower,shield_strength,logistics,current_star_id,status
FLT-00019,c4f121b6c1,The Orionian Technocracy Scout Force 1,Scout Fleet,85.04738285527736,10.0,15.620572031542853,20.91602867216395,10.0,ee503b26,Idle
FLT-00020,c4f121b6c1,The Orionian Technocracy Carrier Force 2,Carrier Fleet,1280.7325024855454,5.0,340.0926009980991,276.9521435715078,35.0,ee503b26,Idle
FLT-00021,70a115d461,The Consolidated Technocracy Carrier Force 1,Carrier Fleet,1434.5234755117162,5.0,338.16286173968547,273.81350101716146,35.0,e24dc40c,Idle
FLT-00022,70a115d461,The Consolidated Technocracy Assault Force 2,Assault Fleet,675.5256650837446,7.0,188.2658224201703,154.1267241406564,20.0,e24dc40c,Idle
FLT-00023,26b5626b6c,The Scientific Technocracy Titan Force 1,Titan Fleet,6463.879402710534,1.5,1847.8376983753205,1563.9734361668984,80.0,db74cbd4,Idle
FLT-00024,26b5626b6c,The Scientific Technocracy Titan Force 2,Titan Fleet,6579.660356840346,1.5,2108.3868719818242,1498.1386789093174,80.0,db74cbd4,Idle
FLT-00025,8a41c4ac34,The Valis AI Hegemony Dreadnought Force 1,Dreadnought Fleet,2956.52461101513,3.0,769.3212515464962,552.9469712391966,50.0,db74cbd4,Idle
FLT-00026,8a41c4ac34,The Valis AI Hegemony Scout Force 2,Scout Fleet,82.1825665802205,10.0,14.44306794322898,20.034282764658812,10.0,db74cbd4,Idle
FLT-00027,15286fa1f5,The Great Consolidated Imperium Titan Force 1,Titan Fleet,6174.079897893538,1.5,1964.1531692142519,1576.6653415629146,80.0,db74cbd4,Idle
FLT-00028,15286fa1f5,The Great Consolidated Imperium Assault Force 2,Assault Fleet,640.7771873760311,7.0,172.43105230489564,139.83663861762014,20.0,db74cbd4,Idle
FLT-00029,ec5efdeb2d,The Bulgite Technocracy Carrier Force 1,Carrier Fleet,1486.2737062780368,5.0,359.3382629557297,322.28763541126307,35.0,16ea4658,Idle
FLT-00030,ec5efdeb2d,The Bulgite Technocracy Carrier Force 2,Carrier Fleet,1312.2396164880902,5.0,377.47912989429847,302.36053451493905,35.0,16ea4658,Idle
FLT-00031,2f0954acad,The Scientific AI Hegemony Titan Force 1,Titan Fleet,7014.918689900542,1.5,1927.2013899887456,1383.015577358303,80.0,db8fee6b,Idle
FLT-00032,2f0954acad,The Scientific AI Hegemony Assault Force 2,Assault Fleet,689.795090407676,7.0,191.44853157320978,160.8219174976903,20.0,db8fee6b,Idle
FLT-00033,c7c9fca9a1,The Consolidated Unified Systems Scout Force 1,Scout Fleet,80.17195684124106,10.0,14.75223300944634,18.88843124188292,10.0,db8fee6b,Idle
FLT-00034,c7c9fca9a1,The Consolidated Unified Systems Defense Force 2,Defense Fleet,338.633061998254,3.0,87.08655526260031,115.75687036849813,5.0,db8fee6b,Idle
FLT-00035,511ff78315,The Great Allied Imperium Dreadnought Force 1,Dreadnought Fleet,3121.8113753371067,3.0,826.81703240448,656.6138499265153,50.0,2b6f2de2,Idle
FLT-00036,511ff78315,The Great Allied Imperium Titan Force 2,Titan Fleet,6177.3169845729735,1.5,1998.8994023569542,1440.263492945031,80.0,2b6f2de2,Idle
FLT-00037,95cba99a70,The Consolidated Technocracy Carrier Force 1,Carrier Fleet,1270.3283452592693,5.0,357.66950337859276,300.1607413937317,35.0,368a8d7b,Idle
FLT-00038,95cba99a70,The Consolidated Technocracy Defense Force 2,Defense Fleet,334.50525249656283,3.0,86.53225417546648,113.74948537600734,5.0,368a8d7b,Idle
FLT-00039,73cb158d41,The Great Unified Imperium Assault Force 1,Assault Fleet,698.5233864388589,7.0,197.48341634798163,142.26165814534502,20.0,368a8d7b,Idle
FLT-00040,73cb158d41,The Great Unified Imperium Dreadnought Force 2,Dreadnought Fleet,3156.9717691972305,3.0,805.3983824787081,627.3859618334233,50.0,368a8d7b,Idle
FLT-00041,7419a59432,The Unified Technocracy Carrier Force 1,Carrier Fleet,1437.0456325662024,5.0,359.3470797532626,302.14648104448554,35.0,368a8d7b,Idle
FLT-00042,7419a59432,The Unified Technocracy Defense Force 2,Defense Fleet,373.4711746912467,3.0,77.13248103954777,112.4764442495965,5.0,368a8d7b,Idle
FLT-00043,bb1351012f,The Zylarian Star Empire Defense Force 1,Defense Fleet,356.36250602317693,3.0,82.84102978947652,108.39810789426855,5.0,368a8d7b,Idle
FLT-00044,bb1351012f,The Zylarian Star Empire Dreadnought Force 2,Dreadnought Fleet,2835.8974651187627,3.0,874.6793743696065,560.923971480599,50.0,368a8d7b,Idle
FLT-00045,3be9d94e07,The Consolidated Unified Systems Dreadnought Force 1,Dreadnought Fleet,2932.0412077803226,3.0,924.2440980852449,556.5025132975193,50.0,368a8d7b,Idle
FLT-00046,3be9d94e07,The Consolidated Unified Systems Carrier Force 2,Carrier Fleet,1291.7725859473649,5.0,379.7285532794994,322.64036120285886,35.0,368a8d7b,Idle
FLT-00047,033668785c,The Great Solis Imperium Assault Force 1,Assault Fleet,722.3977664447851,7.0,191.41999920724376,151.65602434798387,20.0,93dff340,Idle
FLT-00048,033668785c,The Great Solis Imperium Dreadnought Force 2,Dreadnought Fleet,2845.1113745402713,3.0,780.8274705270029,647.6658909543993,50.0,93dff340,Idle
FLT-00049,f8a4edc83b,The Consolidated AI Hegemony Titan Force 1,Titan Fleet,6673.031894455248,1.5,1935.6119164194802,1454.7628723837984,80.0,93dff340,Idle
FLT-00050,f8a4edc83b,The Consolidated AI Hegemony Titan Force 2,Titan Fleet,7016.243337938351,1.5,2154.8345697060468,1583.9626637572871,80.0,93dff340,Idle
FLT-00051,d2748466c9,The Great Scientific Imperium Dreadnought Force 1,Dreadnought Fleet,2750.483978997029,3.0,792.4768813960843,647.8265026232496,50.0,93dff340,Idle
FLT-00052,d2748466c9,The Great Scientific Imperium Dreadnought Force 2,Dreadnought Fleet,2705.5182309699776,3.0,782.2501622872255,619.6202122929668,50.0,93dff340,Idle
FLT-00053,4a7ef72f37,The Great Bulgite Imperium Scout Force 1,Scout Fleet,74.57292882267998,10.0,15.146201368099758,20.767580790770772,10.0,44eed999,Idle
FLT-00054,4a7ef72f37,The Great Bulgite Imperium Carrier Force 2,Carrier Fleet,1322.7954066489567,5.0,364.8525454943275,284.23494524980805,35.0,44eed999,Idle
FLT-00055,23979e6a05,The Great Unified Imperium Assault Force 1,Assault Fleet,734.5087967165234,7.0,185.38678436569975,160.47670231482536,20.0,8b08f1f9,Idle
FLT-00056,23979e6a05,The Great Unified Imperium Carrier Force 2,Carrier Fleet,1419.1264089339322,5.0,321.5572337479665,292.062948183566,35.0,8b08f1f9,Idle
FLT-00057,b6e89e8b4d,The Consolidated Allied Systems Assault Force 1,Assault Fleet,664.1585500730718,7.0,197.02837997108807,146.7929317400028,20.0,8b08f1f9,Idle
FLT-00058,b6e89e8b4d,The Consolidated Allied Systems Dreadnought Force 2,Dreadnought Fleet,3078.683175598358,3.0,900.1179216020803,600.316451172623,50.0,8b08f1f9,Idle
FLT-00059,243eff68e3,The Great Sigma-bulgis Imperium Dreadnought Force 1,Dreadnought Fleet,2995.5106162913185,3.0,798.1913079256676,626.6942538313807,50.0,61da630c,Idle
FLT-00060,243eff68e3,The Great Sigma-bulgis Imperium Carrier Force 2,Carrier Fleet,1266.8084706008071,5.0,360.1830607135018,280.626640764423,35.0,61da630c,Idle
FLT-00061,9aa2eff7c3,The Great Persean Imperium Titan Force 1,Titan Fleet,7090.107150103365,1.5,2165.945756088179,1461.0476100766334,80.0,d45ea293,Idle
FLT-00062,9aa2eff7c3,The Great Persean Imperium Scout Force 2,Scout Fleet,86.85309700140363,10.0,14.784552444951943,21.86661927617468,10.0,d45ea293,Idle
FLT-00063,5db2756626,The Great Unified Imperium Titan Force 1,Titan Fleet,6958.912292107569,1.5,1917.7795568278343,1465.5293185805776,80.0,04b4a59c,Idle
FLT-00064,5db2756626,The Great Unified Imperium Titan Force 2,Titan Fleet,6261.998606703161,1.5,1867.797098674437,1517.040378737505,80.0,04b4a59c,Idle
FLT-00065,37df7ce9be,The Great Unified Imperium Titan Force 1,Titan Fleet,6754.838735677466,1.5,2028.024468035746,1379.1529481312307,80.0,04b4a59c,Idle
FLT-00066,37df7ce9be,The Great Unified Imperium Dreadnought Force 2,Dreadnought Fleet,3294.0323100625583,3.0,788.8142825902091,602.1995582836483,50.0,04b4a59c,Idle
FLT-00067,63fff6610a,The Great Meris Imperium Titan Force 1,Titan Fleet,6812.999203080466,1.5,2078.806296398107,1560.745225196133,80.0,04b4a59c,Idle
FLT-00068,63fff6610a,The Great Meris Imperium Carrier Force 2,Carrier Fleet,1342.2057163940583,5.0,371.65528088349595,318.6068036807509,35.0,04b4a59c,Idle
FLT-00069,52d6d92e6b,The Unified Star Empire Titan Force 1,Titan Fleet,7037.212718323413,1.5,2004.5369595443753,1500.4548884061599,80.0,04b4a59c,Idle
FLT-00070,52d6d92e6b,The Unified Star Empire Titan Force 2,Titan Fleet,6694.953110011095,1.5,2080.786750903081,1588.7378008308303,80.0,04b4a59c,Idle
FLT-00071,ea27a17ca6,The Great Meris Imperium Dreadnought Force 1,Dreadnought Fleet,2902.7970941109215,3.0,828.8491019487905,551.2778327809043,50.0,04b4a59c,Idle
FLT-00072,ea27a17ca6,The Great Meris Imperium Carrier Force 2,Carrier Fleet,1270.0638366630878,5.0,347.5918612692722,302.5586780824546,35.0,04b4a59c,Idle
FLT-00073,962632e3ac,The Zylarex Star Empire Carrier Force 1,Carrier Fleet,1425.433312959323,5.0,317.13501749573345,272.2408913249529,35.0,9b029d06,Idle
FLT-00074,962632e3ac,The Zylarex Star Empire Titan Force 2,Titan Fleet,6318.247833834643,1.5,1850.824205060754,1506.6729780164414,80.0,9b029d06,Idle
FLT-00075,0bfb7074dd,The Great Scientific Imperium Titan Force 1,Titan Fleet,6130.567335745896,1.5,2049.1561903276,1375.6042394981305,80.0,9b029d06,Idle
FLT-00076,0bfb7074dd,The Great Scientific Imperium Defense Force 2,Defense Fleet,352.19482420977033,3.0,80.65016194576171,123.29831763595698,5.0,9b029d06,Idle
FLT-00077,626215ebea,The Scientific Technocracy Titan Force 1,Titan Fleet,7118.607703301296,1.5,2006.5201393204784,1446.8869418823738,80.0,9b029d06,Idle
FLT-00078,626215ebea,The Scientific Technocracy Titan Force 2,Titan Fleet,6202.081926640697,1.5,1975.5885682822545,1373.53691440268,80.0,9b029d06,Idle
FLT-00079,d8145cd1f0,The Great Aurelite Imperium Scout Force 1,Scout Fleet,87.40237463484681,10.0,16.00794036153662,20.783896824374793,10.0,9b029d06,Idle
FLT-00080,d8145cd1f0,The Great Aurelite Imperium Carrier Force 2,Carrier Fleet,1308.522409619837,5.0,325.950592986976,285.01457388987575,35.0,9b029d06,Idle
FLT-00081,7315025cfd,The Great Unified Imperium Dreadnought Force 1,Dreadnought Fleet,3128.7575536200375,3.0,877.2335540420142,573.5920676335131,50.0,f76d9126,Idle
FLT-00082,7315025cfd,The Great Unified Imperium Titan Force 2,Titan Fleet,6809.265991704499,1.5,2021.7416210045603,1533.5162238703058,80.0,f76d9126,Idle
FLT-00083,d853839dba,The Consolidated Allied Systems Carrier Force 1,Carrier Fleet,1329.364677060324,5.0,339.91808750558835,315.47076662786213,35.0,f76d9126,Idle
FLT-00084,d853839dba,The Consolidated Allied Systems Scout Force 2,Scout Fleet,73.85716224811065,10.0,13.63800792606526,18.16291520927588,10.0,f76d9126,Idle
FLT-00085,c56a0b9792,The Great Allied Imperium Carrier Force 1,Carrier Fleet,1457.0242006264068,5.0,348.1921680361128,275.8700496390601,35.0,eceb4647,Idle
FLT-00086,c56a0b9792,The Great Allied Imperium Assault Force 2,Assault Fleet,696.2860479092792,7.0,168.23526731676054,148.01554947713922,20.0,eceb4647,Idle
FLT-00087,2173a01d64,The Great Allied Imperium Assault Force 1,Assault Fleet,716.2190137273104,7.0,184.86337143123518,136.35912029316134,20.0,eceb4647,Idle
FLT-00088,2173a01d64,The Great Allied Imperium Assault Force 2,Assault Fleet,717.6203881999932,7.0,180.11290530888314,160.6946952356497,20.0,eceb4647,Idle
FLT-00089,35390a1939,The Consolidated Valari Systems Dreadnought Force 1,Dreadnought Fleet,2797.760656248858,3.0,776.996687058073,617.0903133847579,50.0,f664a17f,Idle
FLT-00090,35390a1939,The Consolidated Valari Systems Scout Force 2,Scout Fleet,81.37240930037542,10.0,16.320690724274876,20.301896711503517,10.0,f664a17f,Idle
FLT-00091,6d4e0abb77,The Consolidated Scientific Systems Carrier Force 1,Carrier Fleet,1440.120701163859,5.0,347.0777023344062,302.73700735895613,35.0,f664a17f,Idle
FLT-00092,6d4e0abb77,The Consolidated Scientific Systems Dreadnought Force 2,Dreadnought Fleet,2931.6615826804646,3.0,928.4023958500654,648.6420770347277,50.0,f664a17f,Idle
FLT-00093,3a3695c8e9,The Consolidated Star Empire Assault Force 1,Assault Fleet,639.7105821225232,7.0,165.62800804958738,135.5466547695465,20.0,e78ba692,Idle
FLT-00094,3a3695c8e9,The Consolidated Star Empire Defense Force 2,Defense Fleet,362.810474139145,3.0,73.13901837536366,115.65541512705028,5.0,e78ba692,Idle
FLT-00095,494354518b,The Unified Technocracy Titan Force 1,Titan Fleet,5880.253516456573,1.5,2125.7873930355745,1434.55643243202,80.0,d8fac1fb,Idle
FLT-00096,494354518b,The Unified Technocracy Defense Force 2,Defense Fleet,363.7716015754906,3.0,82.06308554847816,129.0593283246493,5.0,d8fac1fb,Idle
FLT-00097,a425d5c923,The Great Allied Imperium Dreadnought Force 1,Dreadnought Fleet,3182.0885582309097,3.0,812.945877337122,561.2927452535667,50.0,d8fac1fb,Idle
FLT-00098,a425d5c923,The Great Allied Imperium Dreadnought Force 2,Dreadnought Fleet,3184.1008435603585,3.0,933.3858741401144,589.5141212293712,50.0,d8fac1fb,Idle
FLT-00099,9cad00795f,The Great Allied Imperium Assault Force 1,Assault Fleet,738.6978145038796,7.0,174.26892744910865,162.92271976810696,20.0,db8fee6b,Idle
FLT-00100,9cad00795f,The Great Allied Imperium Carrier Force 2,Carrier Fleet,1380.1183276650052,5.0,367.5609747454049,315.2725724450809,35.0,db8fee6b,Idle
FLT-00101,155f4eead5,The Consolidated Aethelgardan Systems Defense Force 1,Defense Fleet,378.17870346756973,3.0,80.08403795916571,127.83497918658581,5.0,db8fee6b,Idle
FLT-00102,155f4eead5,The Consolidated Aethelgardan Systems Assault Force 2,Assault Fleet,755.3732519894681,7.0,176.0112604344299,135.32512954440895,20.0,db8fee6b,Idle
FLT-00103,35b25d7eaf,The Great Unified Imperium Titan Force 1,Titan Fleet,5968.672679821974,1.5,1927.725455036166,1635.0185901152418,80.0,db8fee6b,Idle
FLT-00104,35b25d7eaf,The Great Unified Imperium Titan Force 2,Titan Fleet,6595.469254560273,1.5,2052.73488486792,1484.533656593496,80.0,db8fee6b,Idle
FLT-00105,4e674c46b8,The Aethelgardan AI Hegemony Carrier Force 1,Carrier Fleet,1352.0260727035766,5.0,362.0762919253927,315.1424717662608,35.0,db8fee6b,Idle
FLT-00106,4e674c46b8,The Aethelgardan AI Hegemony Titan Force 2,Titan Fleet,6876.5035856329205,1.5,1836.4824412194762,1498.3260914107746,80.0,db8fee6b,Idle
FLT-00107,e4a60e62b6,The Consolidated Unified Systems Defense Force 1,Defense Fleet,353.46702176266155,3.0,79.06448802197404,129.30490038619922,5.0,4ad5d8f7,Idle
FLT-00108,e4a60e62b6,The Consolidated Unified Systems Carrier Force 2,Carrier Fleet,1292.7787645997298,5.0,325.0094177436985,315.6906379030483,35.0,4ad5d8f7,Idle
FLT-00109,24423298c0,The Great Scientific Imperium Dreadnought Force 1,Dreadnought Fleet,2760.673605673674,3.0,779.2981570395496,624.1162957750944,50.0,4ad5d8f7,Idle
FLT-00110,24423298c0,The Great Scientific Imperium Defense Force 2,Defense Fleet,372.53020415032495,3.0,83.29987563450395,109.95237073540561,5.0,4ad5d8f7,Idle
FLT-00111,95985a8620,The Xenan Technocracy Defense Force 1,Defense Fleet,384.0647704950823,3.0,77.98833273209793,116.89541152960538,5.0,4ad5d8f7,Idle
FLT-00112,95985a8620,The Xenan Technocracy Titan Force 2,Titan Fleet,7081.4231505990165,1.5,2194.400425529149,1576.0134555776826,80.0,4ad5d8f7,Idle
FLT-00113,80be4440e8,The Kaelumis AI Hegemony Carrier Force 1,Carrier Fleet,1283.3802006756273,5.0,369.4002841149206,303.5042549841483,35.0,4ad5d8f7,Idle
FLT-00114,80be4440e8,The Kaelumis AI Hegemony Carrier Force 2,Carrier Fleet,1513.779227826526,5.0,322.7838237614306,299.55750625745156,35.0,4ad5d8f7,Idle
FLT-00115,c7a93adf27,The Thranis Star Empire Scout Force 1,Scout Fleet,79.49857027190602,10.0,13.668909827045512,18.475271665072288,10.0,4ad5d8f7,Idle
FLT-00116,c7a93adf27,The Thranis Star Empire Defense Force 2,Defense Fleet,360.4447211481245,3.0,83.93671806824678,122.00085036233185,5.0,4ad5d8f7,Idle
FLT-00117,df2217070a,The Allied Technocracy Dreadnought Force 1,Dreadnought Fleet,2924.9223477142223,3.0,813.5710546679163,644.2318953827353,50.0,4ad5d8f7,Idle
FLT-00118,df2217070a,The Allied Technocracy Assault Force 2,Assault Fleet,764.8511555216857,7.0,162.43756108883338,164.09636480122919,20.0,4ad5d8f7,Idle
FLT-00119,c64460376e,The Great Gamma-orionis Imperium Defense Force 1,Defense Fleet,377.380017958865,3.0,80.44321774538079,131.8311551068632,5.0,0b5f3c94,Idle
FLT-00120,c64460376e,The Great Gamma-orionis Imperium Defense Force 2,Defense Fleet,353.76979990809247,3.0,87.50884056990559,120.55434826008357,5.0,0b5f3c94,Idle
FLT-00121,53e4b98264,The Great Unified Imperium Dreadnought Force 1,Dreadnought Fleet,3117.44921339077,3.0,842.2719810105215,615.3069696100877,50.0,0b5f3c94,Idle
FLT-00122,53e4b98264,The Great Unified Imperium Dreadnought Force 2,Dreadnought Fleet,3240.694806294594,3.0,772.7258846580479,573.7155827510677,50.0,0b5f3c94,Idle
FLT-00123,14c594f145,The Unified Star Empire Titan Force 1,Titan Fleet,7007.342919058191,1.5,1982.2627011142852,1536.0397793404609,80.0,0b5f3c94,Idle
FLT-00124,14c594f145,The Unified Star Empire Carrier Force 2,Carrier Fleet,1312.6739247226533,5.0,347.45888834579875,291.2011336815632,35.0,0b5f3c94,Idle
FLT-00125,abb26e55dc,The Consolidated Consolidated Systems Dreadnought Force 1,Dreadnought Fleet,2746.6407821789912,3.0,930.6471173032485,658.3452893375525,50.0,b7c960e0,Idle
FLT-00126,abb26e55dc,The Consolidated Consolidated Systems Dreadnought Force 2,Dreadnought Fleet,3021.657819806472,3.0,817.6196947686758,637.6554023648339,50.0,b7c960e0,Idle
FLT-00127,075b3fb3b1,The Great Unified Imperium Dreadnought Force 1,Dreadnought Fleet,2797.570163606935,3.0,919.8576213639534,638.7044691507803,50.0,b7c960e0,Idle
FLT-00128,075b3fb3b1,The Great Unified Imperium Titan Force 2,Titan Fleet,6793.4353609048685,1.5,2045.366078374316,1475.472910887186,80.0,b7c960e0,Idle
FLT-00129,d401178af2,The Great Theta-orionis Imperium Titan Force 1,Titan Fleet,6975.883056350532,1.5,1818.0874680424758,1357.9100923491758,80.0,b7c960e0,Idle
FLT-00130,d401178af2,The Great Theta-orionis Imperium Carrier Force 2,Carrier Fleet,1486.9549326189133,5.0,384.1093290520462,279.0250134662117,35.0,b7c960e0,Idle
FLT-00131,6dfc531f16,The Great Unified Imperium Dreadnought Force 1,Dreadnought Fleet,2928.534513978613,3.0,929.8854476284827,641.0542707762851,50.0,77180e42,Idle
FLT-00132,6dfc531f16,The Great Unified Imperium Titan Force 2,Titan Fleet,6459.301107733462,1.5,1965.9278009350662,1432.022121579212,80.0,77180e42,Idle
FLT-00133,36b91772ac,The Great Unified Imperium Defense Force 1,Defense Fleet,375.5305663378537,3.0,85.00641614608125,131.99322415886715,5.0,e67b1191,Idle
FLT-00134,36b91772ac,The Great Unified Imperium Titan Force 2,Titan Fleet,6572.061217283416,1.5,2107.594966072204,1633.4297189647284,80.0,e67b1191,Idle
FLT-00135,3c983bfdab,The Great Unified Imperium Titan Force 1,Titan Fleet,6171.552532266157,1.5,1980.2176541240376,1388.7478245454486,80.0,6c088403,Idle
FLT-00136,3c983bfdab,The Great Unified Imperium Titan Force 2,Titan Fleet,6638.027024786145,1.5,1891.4571222013851,1551.510205321757,80.0,6c088403,Idle
FLT-00137,db90f4ff25,The Consolidated Unified Systems Dreadnought Force 1,Dreadnought Fleet,2914.8976308197043,3.0,784.304790673937,620.588783471136,50.0,6c088403,Idle
FLT-00138,db90f4ff25,The Consolidated Unified Systems Dreadnought Force 2,Dreadnought Fleet,3163.391035041384,3.0,853.427795189039,642.2617800382249,50.0,6c088403,Idle
FLT-00139,cfec2df928,The Consolidated Consolidated Systems Assault Force 1,Assault Fleet,708.5313160149541,7.0,193.55952969570043,147.1044859863719,20.0,6c088403,Idle
FLT-00140,cfec2df928,The Consolidated Consolidated Systems Defense Force 2,Defense Fleet,317.01478734193375,3.0,84.08219609077791,122.88742923248316,5.0,6c088403,Idle
FLT-00141,a189e2924d,The Consolidated Thranian Systems Carrier Force 1,Carrier Fleet,1319.629965222495,5.0,324.5460032910739,270.87267994007294,35.0,6c088403,Idle
FLT-00142,a189e2924d,The Consolidated Thranian Systems Assault Force 2,Assault Fleet,712.5884761596487,7.0,176.12078562359036,148.12424766071186,20.0,6c088403,Idle
FLT-00143,30e300e760,The Scientific AI Hegemony Titan Force 1,Titan Fleet,6302.732107130291,1.5,2005.5957956639245,1585.095903822343,80.0,2b7c9993,Idle
FLT-00144,30e300e760,The Scientific AI Hegemony Carrier Force 2,Carrier Fleet,1434.1842760638046,5.0,375.3654596122722,326.97123741945853,35.0,2b7c9993,Idle
FLT-00145,65ea513ebb,The Consolidated Unified Systems Assault Force 1,Assault Fleet,759.7222675226093,7.0,179.71618655086337,142.74733164896875,20.0,2b7c9993,Idle
FLT-00146,65ea513ebb,The Consolidated Unified Systems Carrier Force 2,Carrier Fleet,1534.4091210799336,5.0,349.4832665795009,289.7250966172505,35.0,2b7c9993,Idle
FLT-00147,6fbfc2a11d,The Great Unified Imperium Dreadnought Force 1,Dreadnought Fleet,2844.087371266916,3.0,777.8967657784729,555.4655666292779,50.0,203928c6,Idle
FLT-00148,6fbfc2a11d,The Great Unified Imperium Defense Force 2,Defense Fleet,325.6331885458606,3.0,74.22123476239057,123.38099387527714,5.0,203928c6,Idle
FLT-00149,bceea7e00e,The Unified Technocracy Assault Force 1,Assault Fleet,678.3934196653408,7.0,194.28438275661645,149.2188492078862,20.0,203928c6,Idle
FLT-00150,bceea7e00e,The Unified Technocracy Dreadnought Force 2,Dreadnought Fleet,2803.391922720978,3.0,797.689133197474,544.9042339519775,50.0,203928c6,Idle
FLT-00151,9875fc03a4,The Great Orionian Imperium Assault Force 1,Assault Fleet,669.0026474644743,7.0,168.3723774339629,137.66107601271167,20.0,203928c6,Idle
FLT-00152,9875fc03a4,The Great Orionian Imperium Defense Force 2,Defense Fleet,347.2545137622908,3.0,75.30133949449268,116.74247666515382,5.0,203928c6,Idle
FLT-00153,81601b2e5e,The Unified AI Hegemony Dreadnought Force 1,Dreadnought Fleet,3114.2368971776195,3.0,771.6830637729869,635.9292478690852,50.0,203928c6,Idle
FLT-00154,81601b2e5e,The Unified AI Hegemony Dreadnought Force 2,Dreadnought Fleet,2749.055419169323,3.0,913.5083660981521,650.5046880638176,50.0,203928c6,Idle
FLT-00155,72196fa906,The Sigma-orionis Star Empire Defense Force 1,Defense Fleet,334.3814353703043,3.0,84.89922047668898,125.95823256920781,5.0,203928c6,Idle
FLT-00156,72196fa906,The Sigma-orionis Star Empire Assault Force 2,Assault Fleet,659.3089052671395,7.0,175.33699570048975,149.53568955573064,20.0,203928c6,Idle
FLT-00157,3c4760ddea,The Consolidated Zelis Systems Carrier Force 1,Carrier Fleet,1363.2958190795364,5.0,347.3774301293204,314.8482562880254,35.0,f5a12cb1,Idle
FLT-00158,3c4760ddea,The Consolidated Zelis Systems Scout Force 2,Scout Fleet,76.03899110950434,10.0,15.640048757653657,21.580827350748798,10.0,f5a12cb1,Idle
FLT-00159,9d578c755a,The Scientific Technocracy Dreadnought Force 1,Dreadnought Fleet,3019.2680911591897,3.0,783.2192419277619,593.6894840188146,50.0,26fb9c4d,Idle
FLT-00160,9d578c755a,The Scientific Technocracy Dreadnought Force 2,Dreadnought Fleet,2845.482302180838,3.0,810.7713492613948,585.2740995725547,50.0,26fb9c4d,Idle
