lane_id,lane_type,source_star_id,target_star_id,route_length_ly,traffic_index,economic_value,security_level
LAN-00106,Hyperlane Route,81ec4b80,8e7872ca,1863.95,319.49,383.39,0.742
LAN-00107,Hyperlane Route,16ea4658,5caca8b8,1266.96,360.78,432.94,0.578
LAN-00108,Trade Artery,16ea4658,478b3eaf,1544.97,1212.18,3030.45,0.843
LAN-00109,Hyperlane Route,16ea4658,92a495bd,1561.86,230.16,276.19,0.761
LAN-00110,Trade Artery,0b5f3c94,0ba83e15,1406.06,1149.63,2874.08,0.953
LAN-00111,Trade Artery,0b5f3c94,b05778ee,1642.81,1157.61,2894.03,0.902
LAN-00112,Military Corridor,db8fee6b,ce745aad,868.41,346.84,346.84,0.901
LAN-00113,Military Corridor,db8fee6b,dceddb79,1429.27,432.6,432.6,0.884
LAN-00114,Military Corridor,db8fee6b,214ff5b3,1445.88,786.51,786.51,0.905
LAN-00115,Hyperlane Route,74ba6a6c,b7d66c4b,589.42,456.82,548.18,0.721
LAN-00116,Hyperlane Route,74ba6a6c,1451b4fa,804.16,417.92,501.51,0.676
LAN-00117,Hyperlane Route,74ba6a6c,396949f1,1132.14,330.76,396.91,0.672
LAN-00118,Hyperlane Route,2b6f2de2,aba25f48,692.33,178.1,213.72,0.753
LAN-00119,Hyperlane Route,2b6f2de2,5a6feec9,880.91,212.31,254.77,0.509
LAN-00120,Trade Artery,2b6f2de2,74d538e3,1172.97,1145.47,2863.68,0.832
LAN-00121,Hyperlane Route,ec3d7b27,61da630c,1878.28,476.18,571.42,0.834
LAN-00122,Hyperlane Route,9e91243e,e00a227d,1137.72,465.95,559.13,0.63
LAN-00123,Hyperlane Route,9e91243e,95070db4,1957.08,106.18,127.42,0.825
LAN-00124,Hyperlane Route,25ca2697,2b588cf5,778.61,271.27,325.53,0.838
LAN-00125,Hyperlane Route,25ca2697,28fc036a,1267.5,485.45,582.54,0.799
LAN-00126,Hyperlane Route,25ca2697,0ced0011,1421.2,217.78,261.34,0.635
LAN-00127,Hyperlane Route,80efa36c,2d39dd9d,1324.14,440.45,528.55,0.611
LAN-00128,Hyperlane Route,80efa36c,27b516dd,1630.27,167.8,201.36,0.695
LAN-00129,Trade Artery,368a8d7b,311927b0,1107.37,1436.15,3590.39,0.925
LAN-00130,Military Corridor,368a8d7b,011cf1c0,1643.0,585.03,585.03,0.864
LAN-00131,Hyperlane Route,671fed61,a71fac37,1208.55,346.0,415.2,0.847
LAN-00132,Hyperlane Route,671fed61,da943616,1268.12,156.03,187.24,0.681
LAN-00133,Military Corridor,671fed61,25c7f883,1603.39,738.69,738.69,0.954
LAN-00134,Military Corridor,93dff340,f37c4c87,865.16,648.51,648.51,0.948
LAN-00135,Military Corridor,93dff340,8bbb3a73,1106.06,479.75,479.75,0.891
LAN-00136,Military Corridor,93dff340,5e6d8a25,1173.23,704.68,704.68,0.963
LAN-00137,Hyperlane Route,40a345dc,4a028784,625.17,446.83,536.19,0.82
LAN-00138,Hyperlane Route,40a345dc,6979b6fd,873.59,304.54,365.44,0.676
LAN-00139,Hyperlane Route,40a345dc,a576f5a6,954.01,419.32,503.18,0.727
LAN-00140,Military Corridor,d7d8cf00,819b78b5,511.37,650.98,650.98,0.961
LAN-00141,Hyperlane Route,d7d8cf00,15d7bd9d,576.64,456.0,547.2,0.618
LAN-00142,Hyperlane Route,cb10b9d5,714fa661,783.61,250.23,300.28,0.533
LAN-00143,Hyperlane Route,cb10b9d5,775c658a,863.8,331.31,397.57,0.513
LAN-00144,Hyperlane Route,cb10b9d5,c17b99d3,1664.42,286.24,343.49,0.69
LAN-00145,Hyperlane Route,4957ccf6,44ebb476,1659.9,214.62,257.54,0.707
LAN-00146,Military Corridor,4957ccf6,2b7c9993,1876.77,315.25,315.25,0.855
LAN-00147,Hyperlane Route,406368a5,415f2890,1022.96,429.04,514.85,0.626
LAN-00148,Hyperlane Route,406368a5,6d433985,1750.25,150.82,180.99,0.683
LAN-00149,Hyperlane Route,406368a5,ab40c2be,1809.11,408.0,489.6,0.576
LAN-00150,Hyperlane Route,f3ea4fd4,1340ed09,548.18,349.16,418.99,0.53
LAN-00151,Hyperlane Route,f3ea4fd4,d0061a5c,1385.19,120.67,144.81,0.686
LAN-00152,Military Corridor,f3ea4fd4,9b5044d0,1471.3,570.32,570.32,0.939
LAN-00153,Hyperlane Route,5aa2bc65,507fe63e,962.95,390.44,468.52,0.842
LAN-00154,Hyperlane Route,5aa2bc65,1b268570,1217.67,306.52,367.82,0.613
LAN-00155,Hyperlane Route,5aa2bc65,ab4c2378,1391.09,418.07,501.69,0.595
LAN-00156,Hyperlane Route,44eed999,8be48539,1220.59,275.59,330.71,0.527
LAN-00157,Trade Artery,44eed999,be9a64f4,1788.17,525.35,1313.38,0.973
LAN-00158,Hyperlane Route,44eed999,6071d019,1875.04,434.39,521.27,0.744
LAN-00159,Hyperlane Route,c138b771,c2e8b8f3,506.9,263.58,316.3,0.561
LAN-00160,Hyperlane Route,c138b771,fbb844dc,1822.15,162.57,195.09,0.588
LAN-00161,Hyperlane Route,c138b771,99ee6195,1926.69,319.69,383.63,0.75
LAN-00162,Military Corridor,8b08f1f9,7d9dadab,1127.94,630.1,630.1,0.889
LAN-00163,Military Corridor,8b08f1f9,d3029333,1373.3,777.43,777.43,0.953
LAN-00164,Military Corridor,8b08f1f9,3a01aada,1547.18,577.18,577.18,0.936
LAN-00165,Hyperlane Route,a868061e,f9805be0,1526.88,267.84,321.41,0.587
LAN-00166,Hyperlane Route,a868061e,de4cb43e,1673.05,242.39,290.87,0.765
LAN-00167,Hyperlane Route,6eed1243,9137b40b,356.67,105.76,126.91,0.541
LAN-00168,Hyperlane Route,6eed1243,18b7e715,801.21,118.4,142.08,0.514
LAN-00169,Hyperlane Route,6eed1243,b0e306a7,930.22,442.18,530.62,0.746
LAN-00170,Hyperlane Route,4ef3ab32,be184be6,1646.45,289.67,347.6,0.534
LAN-00171,Hyperlane Route,4ef3ab32,c195d72c,1702.72,296.65,355.98,0.666
LAN-00172,Hyperlane Route,61da630c,2dc6f993,1810.6,169.28,203.14,0.652
LAN-00173,Hyperlane Route,61da630c,ed0d997b,1816.37,259.4,311.28,0.716
LAN-00174,Hyperlane Route,b633c223,f3143f78,722.58,354.04,424.84,0.516
LAN-00175,Hyperlane Route,b633c223,0b27d229,912.9,249.85,299.81,0.719
LAN-00176,Hyperlane Route,b633c223,50580b5b,918.53,301.25,361.51,0.8
LAN-00177,Hyperlane Route,3b241cd5,6a0577ca,615.97,363.48,436.17,0.557
LAN-00178,Hyperlane Route,3b241cd5,7d9ab034,1143.33,128.23,153.87,0.725
LAN-00179,Hyperlane Route,3b241cd5,6672463b,1269.24,110.6,132.73,0.705
LAN-00180,Trade Artery,d45ea293,1d8d6567,1506.61,1440.23,3600.58,0.904
LAN-00181,Military Corridor,04b4a59c,bae7ca59,1767.81,494.08,494.08,0.94
LAN-00182,Hyperlane Route,ce948281,b0254239,1540.37,283.3,339.96,0.691
LAN-00183,Hyperlane Route,ce948281,69a94ba7,1609.46,476.59,571.9,0.635
LAN-00184,Trade Artery,9b029d06,1dd7aaec,1814.82,1461.19,3652.98,0.963
LAN-00185,Trade Artery,9b029d06,cb2ed0d3,1971.82,695.79,1739.48,0.812
LAN-00186,Hyperlane Route,164ae00a,b8cb383f,868.2,140.31,168.37,0.506
LAN-00187,Military Corridor,164ae00a,446ad83e,906.25,347.22,347.22,0.946
LAN-00188,Hyperlane Route,164ae00a,7ce49ce6,1239.95,128.48,154.17,0.612
LAN-00189,Hyperlane Route,0d51013f,0e11fed7,866.58,437.95,525.54,0.508
LAN-00190,Hyperlane Route,0d51013f,d7d8cf00,1189.62,425.79,510.94,0.599
LAN-00191,Hyperlane Route,0d51013f,15d7bd9d,1206.61,147.27,176.72,0.744
LAN-00192,Hyperlane Route,cbb9628c,492d6550,297.44,351.58,421.89,0.807
LAN-00193,Hyperlane Route,cbb9628c,6f445231,662.12,394.03,472.83,0.781
LAN-00194,Hyperlane Route,cbb9628c,5679a237,1482.04,212.81,255.38,0.562
LAN-00195,Hyperlane Route,acc9a13b,b6e83c30,1281.65,400.25,480.3,0.782
LAN-00196,Hyperlane Route,acc9a13b,cf466493,1452.74,496.2,595.44,0.644
LAN-00197,Hyperlane Route,acc9a13b,ecf07b9a,1719.73,248.81,298.57,0.772
LAN-00198,Hyperlane Route,c41d7cc7,071e610d,1266.0,236.32,283.59,0.826
LAN-00199,Hyperlane Route,c41d7cc7,7844b55a,1845.47,443.37,532.04,0.65
LAN-00200,Hyperlane Route,30b8f337,e3438189,597.29,400.35,480.42,0.764
LAN-00201,Hyperlane Route,30b8f337,7bf191e3,1465.8,141.25,169.5,0.816
LAN-00202,Hyperlane Route,5679a237,d168676a,363.46,302.1,362.52,0.789
LAN-00203,Hyperlane Route,5679a237,d92d04da,620.08,228.02,273.62,0.813
LAN-00204,Hyperlane Route,5679a237,ae74d7cd,1256.25,255.68,306.82,0.504
LAN-00205,Hyperlane Route,0f3b2aa7,46e6691a,1122.42,462.15,554.58,0.532
LAN-00206,Hyperlane Route,0f3b2aa7,1fa74e2c,1374.78,227.73,273.27,0.833
LAN-00207,Hyperlane Route,b2426014,26fb9c4d,1809.42,480.24,576.29,0.701
LAN-00208,Hyperlane Route,6071d019,27bf7451,1254.04,352.73,423.28,0.657
LAN-00209,Military Corridor,6071d019,80977950,1708.6,446.61,446.61,0.896
LAN-00210,Hyperlane Route,c2e8b8f3,fbb844dc,1570.17,369.01,442.81,0.763
LAN-00211,Hyperlane Route,f76d9126,02cc6626,1927.45,416.63,499.96,0.776
LAN-00212,Hyperlane Route,f76d9126,8bdfcdeb,1956.3,136.48,163.78,0.673
LAN-00213,Hyperlane Route,eceb4647,c5cfc443,1465.81,123.02,147.63,0.692
LAN-00214,Hyperlane Route,eceb4647,da943616,1727.82,276.61,331.93,0.811
LAN-00215,Hyperlane Route,f664a17f,15780515,1191.18,240.37,288.44,0.541
LAN-00216,Hyperlane Route,f664a17f,ac9e37f5,1756.46,157.2,188.64,0.767
LAN-00217,Hyperlane Route,f664a17f,22d967e2,1928.62,347.29,416.74,0.535
LAN-00218,Hyperlane Route,250f91a5,a6e30c3a,1747.29,133.64,160.37,0.745
LAN-00219,Hyperlane Route,250f91a5,2f94feaa,1814.68,129.11,154.93,0.788
LAN-00220,Hyperlane Route,59b14a3c,6153e43f,837.83,382.5,459.0,0.528
LAN-00221,Hyperlane Route,59b14a3c,1c9c4f97,1300.73,133.94,160.72,0.845
LAN-00222,Hyperlane Route,59b14a3c,bde8aa44,1383.3,249.71,299.65,0.63
LAN-00223,Hyperlane Route,d8fac1fb,da17f992,893.61,425.12,510.14,0.832
LAN-00224,Hyperlane Route,d8fac1fb,8f8174ae,1165.15,494.4,593.28,0.764
LAN-00225,Hyperlane Route,d8fac1fb,6b142b99,1205.51,250.5,300.6,0.529
LAN-00226,Hyperlane Route,3fab5cd5,186c1b06,1716.24,410.86,493.03,0.695
LAN-00227,Hyperlane Route,3fab5cd5,01fb818c,1935.98,269.69,323.63,0.817
LAN-00228,Hyperlane Route,d816e4a0,89ab3f2b,1181.75,144.48,173.37,0.672
LAN-00229,Hyperlane Route,d816e4a0,bc454e95,1295.89,104.54,125.45,0.664
LAN-00230,Military Corridor,d816e4a0,80d2e06b,1322.04,328.15,328.15,0.867
LAN-00231,Military Corridor,909275b3,dacd2e39,917.44,358.76,358.76,0.941
LAN-00232,Hyperlane Route,909275b3,5a9ad0d4,1169.73,398.42,478.1,0.704
LAN-00233,Hyperlane Route,909275b3,abd87d06,1670.1,484.87,581.84,0.631
LAN-00234,Military Corridor,4ad5d8f7,7fbfec95,929.86,442.86,442.86,0.972
LAN-00235,Military Corridor,4ad5d8f7,d509a726,972.79,411.8,411.8,0.985
LAN-00236,Military Corridor,4ad5d8f7,041365c9,995.55,306.08,306.08,0.986
LAN-00237,Hyperlane Route,3283abe6,6cb48572,1238.1,117.26,140.72,0.812
LAN-00238,Hyperlane Route,c3421be7,9fc21337,735.45,311.08,373.3,0.848
LAN-00239,Hyperlane Route,c3421be7,6d95ee33,1011.03,129.52,155.42,0.694
LAN-00240,Hyperlane Route,c3421be7,3e340926,1504.31,487.72,585.27,0.683
LAN-00241,Hyperlane Route,d69b07b4,6b142b99,729.39,351.76,422.11,0.744
LAN-00242,Hyperlane Route,d69b07b4,14401c4a,1085.02,281.82,338.18,0.72
LAN-00243,Hyperlane Route,d69b07b4,8f8174ae,1488.99,333.73,400.47,0.815
LAN-00244,Hyperlane Route,28d28df2,88137a6d,530.97,118.18,141.81,0.598
LAN-00245,Hyperlane Route,28d28df2,97305fd9,911.58,480.16,576.2,0.812
LAN-00246,Hyperlane Route,28d28df2,9be71bc0,1014.31,282.26,338.72,0.717
LAN-00247,Hyperlane Route,0ced0011,114225de,1534.08,210.95,253.14,0.566
LAN-00248,Hyperlane Route,0ced0011,622636ae,1544.1,285.48,342.58,0.624
LAN-00249,Hyperlane Route,b3175283,8e9aba61,335.76,333.46,400.15,0.527
LAN-00250,Hyperlane Route,b3175283,59e56112,1214.3,489.76,587.71,0.845
LAN-00251,Hyperlane Route,b3175283,40a345dc,1493.47,379.26,455.12,0.688
LAN-00252,Military Corridor,dbb1c841,0b27d229,727.4,454.76,454.76,0.964
LAN-00253,Military Corridor,dbb1c841,6a955b65,729.46,642.37,642.37,0.873
LAN-00254,Military Corridor,dbb1c841,b633c223,1268.01,755.46,755.46,0.965
LAN-00255,Hyperlane Route,2b176def,10fef2f7,1250.24,479.92,575.9,0.754
LAN-00256,Hyperlane Route,2b176def,c300631a,1265.22,345.37,414.44,0.646
LAN-00257,Hyperlane Route,2b176def,0e934d76,1496.3,473.09,567.71,0.803
LAN-00258,Hyperlane Route,2e29c6f2,013e2852,1660.98,118.09,141.7,0.509
LAN-00259,Hyperlane Route,2e29c6f2,bc3cf258,1827.86,250.59,300.7,0.784
LAN-00260,Hyperlane Route,4b0f0d92,08bcb72c,1255.5,494.91,593.89,0.553
LAN-00261,Hyperlane Route,4b0f0d92,58114dea,1293.09,337.65,405.18,0.633
LAN-00262,Hyperlane Route,4b0f0d92,7bffbd1a,1545.17,487.97,585.56,0.795
LAN-00263,Hyperlane Route,8121bb10,7990111d,795.4,435.33,522.4,0.664
LAN-00264,Hyperlane Route,8121bb10,85611719,1373.48,265.93,319.11,0.596
LAN-00265,Hyperlane Route,8121bb10,f436e82c,1672.86,122.55,147.06,0.803
LAN-00266,Hyperlane Route,b2f8c1eb,2deabc50,1277.22,425.16,510.19,0.85
LAN-00267,Hyperlane Route,b2f8c1eb,84767f1c,1340.72,498.65,598.39,0.694
LAN-00268,Hyperlane Route,b2f8c1eb,e7d83957,1838.49,407.59,489.11,0.831
LAN-00269,Hyperlane Route,85b3973d,1451b4fa,712.64,439.86,527.83,0.587
LAN-00270,Hyperlane Route,85b3973d,396949f1,997.23,280.22,336.26,0.545
LAN-00271,Hyperlane Route,85b3973d,f436e82c,1125.06,481.62,577.94,0.712
LAN-00272,Hyperlane Route,b7c960e0,d34f2273,749.13,191.46,229.75,0.735
LAN-00273,Hyperlane Route,b7c960e0,3a7bc0a1,878.85,347.25,416.7,0.625
LAN-00274,Hyperlane Route,b7c960e0,43e6a944,1246.05,145.42,174.51,0.735
LAN-00275,Hyperlane Route,bd331a31,a866c35c,417.16,308.12,369.75,0.77
LAN-00276,Hyperlane Route,bd331a31,caab8c4c,1816.0,308.07,369.68,0.798
LAN-00277,Hyperlane Route,bd331a31,e31a480e,1875.17,320.76,384.92,0.696
LAN-00278,Hyperlane Route,4c43d31b,2b588cf5,1670.91,450.66,540.79,0.641
LAN-00279,Hyperlane Route,4c43d31b,569fbf22,1768.45,153.61,184.33,0.51
LAN-00280,Hyperlane Route,4c43d31b,638cd7d3,1858.83,402.05,482.47,0.717
LAN-00281,Military Corridor,b47ab25f,5435315e,1529.56,652.04,652.04,0.88
LAN-00282,Hyperlane Route,77180e42,af72cbde,475.09,154.55,185.46,0.505
LAN-00283,Hyperlane Route,77180e42,ce33537e,711.39,240.24,288.28,0.706
LAN-00284,Hyperlane Route,77180e42,c17b99d3,976.04,256.9,308.28,0.653
LAN-00285,Hyperlane Route,e67b1191,61bec44a,1213.84,461.66,554.0,0.622
LAN-00286,Hyperlane Route,e67b1191,f5086a77,1990.77,305.6,366.71,0.774
LAN-00287,Trade Artery,d36832b5,5b4b85d0,1585.54,896.54,2241.36,0.912
LAN-00288,Military Corridor,d36832b5,9f4a1c32,1799.21,731.18,731.18,0.983
LAN-00289,Military Corridor,d36832b5,2e27cac0,1808.64,373.54,373.54,0.98
LAN-00290,Hyperlane Route,6c088403,998e9b84,99.47,296.85,356.22,0.59
LAN-00291,Hyperlane Route,6c088403,0103b4da,1411.34,283.65,340.39,0.843
LAN-00292,Hyperlane Route,6c088403,dcb9022b,1681.76,297.05,356.46,0.615
LAN-00293,Hyperlane Route,214ff5b3,ce745aad,1759.98,353.36,424.03,0.584
LAN-00294,Hyperlane Route,214ff5b3,59307c85,1943.15,130.35,156.41,0.545
LAN-00295,Hyperlane Route,e58f6e9b,b988e995,715.37,151.22,181.46,0.553
LAN-00296,Hyperlane Route,e58f6e9b,208ea3f1,995.36,155.53,186.64,0.724
LAN-00297,Hyperlane Route,e58f6e9b,9c76de8d,1047.02,172.75,207.3,0.621
LAN-00298,Hyperlane Route,27f627fe,811709f6,788.9,458.72,550.46,0.666
LAN-00299,Hyperlane Route,27f627fe,9afa0793,1275.06,367.02,440.43,0.56
LAN-00300,Hyperlane Route,27f627fe,4b184660,1615.95,176.92,212.3,0.514
LAN-00301,Hyperlane Route,af669957,57b3f2a1,770.17,167.57,201.09,0.598
LAN-00302,Hyperlane Route,af669957,213b5d5e,1567.32,170.8,204.97,0.531
LAN-00303,Hyperlane Route,ee22c265,1e6e8dbb,1026.85,148.25,177.91,0.661
LAN-00304,Military Corridor,ee22c265,c8ddee9a,1312.6,403.17,403.17,0.901
LAN-00305,Hyperlane Route,ee22c265,c6d6b3fd,1453.51,301.37,361.64,0.742
LAN-00306,Hyperlane Route,62f142e4,f7a8414d,612.52,115.72,138.87,0.78
