tick,year,civilization_id,civilization_name,personality,threat_score,rival_factor,instability_factor,resource_factor,tech_factor
1,100,4e674c46b8,Aethelgardan Directorate,Scientific,63.6,50.0,9.44,4.14,0.02
1,100,e4a60e62b6,Unified Zeloid Council,Scientific,77.67,50.0,21.82,5.75,0.1
1,100,24423298c0,Scientific Zylaroid Union,Scientific,73.21,50.0,17.38,5.74,0.1
1,100,95985a8620,Xenan Directorate,Scientific,51.87,33.54,12.5,5.84,0.0
1,100,80be4440e8,Kaelumis Directorate,Scientific,69.9,50.0,12.5,6.36,1.04
1,100,c7a93adf27,The Thranis Federation,Scientific,70.46,50.0,12.5,5.85,2.1
1,100,df2217070a,Allied Thranari Systems,Scientific,80.18,50.0,20.0,6.14,4.05
1,100,c64460376e,Gamma-orionis Directorate,Scientific,76.91,50.0,20.58,5.88,0.45
1,100,53e4b98264,Unified Orionian Council,Scientific,43.51,20.52,17.65,5.34,0.0
1,100,14c594f145,Unified Orionian Council,Scientific,63.46,50.0,8.27,5.13,0.05
1,100,abb26e55dc,Consolidated Orionian Worlds,Scientific,80.6,50.0,25.0,5.55,0.05
1,100,075b3fb3b1,Unified Theta-orionis Council,Scientific,69.38,50.0,13.53,5.65,0.21
1,100,d401178af2,Theta-orionis Commonwealth,Scientific,51.5,33.6,12.5,5.17,0.23
1,100,6dfc531f16,Unified Xenis Council,Scientific,29.5,0.0,23.75,5.76,0.0
1,100,36b91772ac,Unified Orionis Council,Scientific,19.77,0.0,14.93,4.84,0.0
1,100,3c983bfdab,Unified Vesperari Council,Scientific,70.59,50.0,14.43,6.13,0.04
1,100,db90f4ff25,Unified Xenan Council,Scientific,53.23,31.21,18.05,3.97,0.0
1,100,cfec2df928,Consolidated Zylarex Worlds,Industrialist,71.9,50.0,7.58,5.89,8.44
1,100,a189e2924d,The Thranian Federation,Scientific,80.44,50.0,17.29,5.87,7.28
1,100,30e300e760,Scientific Sagittariite Union,Scientific,62.01,50.0,8.75,3.24,0.01
1,100,65ea513ebb,Unified Sagittarian Council,Scientific,48.78,30.97,12.5,5.31,0.0
1,100,6fbfc2a11d,Unified Orionite Council,Scientific,75.64,50.0,19.89,5.7,0.04
1,100,bceea7e00e,Unified Orionan Council,Scientific,71.81,50.0,14.89,5.89,1.03
1,100,9875fc03a4,Orionian Directorate,Scientific,63.92,37.55,20.71,5.54,0.12
1,100,81601b2e5e,Unified Sigma-orionis Council,Scientific,73.82,50.0,17.5,6.32,0.0
1,100,72196fa906,Sigma-orionis Commonwealth,Isolationist,80.73,50.0,21.38,6.16,3.19
1,100,3c4760ddea,Zelis Commonwealth,Scientific,18.18,0.0,12.13,6.04,0.0
1,100,9d578c755a,Scientific Zelian Union,Scientific,15.31,0.0,9.36,5.95,0.0
1,100,23094db297,Allied Solian Systems,Isolationist,17.4,0.0,12.5,4.9,0.0
1,100,642e75a08d,Scientific Thranan Union,Scientific,12.65,0.0,7.73,4.92,0.0
1,100,b619dd5fb5,Scientific Thranan Union,Scientific,67.76,50.0,10.77,6.09,0.9
1,100,e3ba98a843,Unified Valoid Council,Scientific,56.02,30.67,19.28,6.06,0.0
1,100,50f9748c73,Scientific Vesperex Union,Scientific,66.33,50.0,10.59,5.7,0.04
1,100,3e1c9fe27e,Cygnian Directorate,Scientific,68.79,50.0,12.5,5.99,0.3
1,100,cb16d2a5bc,Gamma-cygnis Directorate,Scientific,55.11,24.25,25.0,5.86,0.0
1,100,340e3912e2,Cygnite Directorate,Scientific,81.31,50.0,25.0,5.51,0.8
1,100,6ebb371c3c,The Tau-galacticis Federation,Scientific,18.55,0.0,12.5,6.05,0.0
1,100,1b37c066da,Valis Commonwealth,Scientific,17.37,0.0,12.5,4.87,0.0
1,100,f4a721a47f,Gamma-galacticis Directorate,Scientific,17.86,0.0,12.71,5.15,0.0
1,100,63d8758b53,The Aurelex Federation,Scientific,13.71,0.0,8.18,5.53,0.0
1,100,415811daec,Solian Directorate,Scientific,77.21,50.0,19.53,5.39,2.29
1,100,cb312b9d86,Aurelex Directorate,Scientific,46.19,29.15,12.5,4.54,0.0
1,100,53dc64803e,Scientific Orionian Union,Scientific,73.51,50.0,17.99,5.47,0.05
1,100,5b3c302325,Scientific Bulgian Union,Scientific,13.63,0.0,8.17,5.46,0.0
1,100,947f74a852,Allied Sagittariite Systems,Explorer,67.52,50.0,10.82,6.58,0.12
1,100,7df05aba52,Unified Sagittarian Council,Scientific,31.11,12.45,13.52,5.14,0.0
1,100,e23dc5e375,Republic of Galactician,Diplomatic,16.03,0.0,11.28,4.75,0.0
1,100,77811a2fa9,Gaeian Directorate,Scientific,28.09,0.0,25.0,3.09,0.0
1,100,4a9574c523,Scientific Kaelumite Union,Scientific,72.05,50.0,15.88,5.87,0.31
1,100,e99c95009e,Merex Directorate,Scientific,70.45,50.0,14.68,5.78,0.0
1,100,6957a14d13,Xenian Directorate,Scientific,43.91,14.97,24.52,4.37,0.05
1,100,2a34070c99,Consolidated Persean Worlds,Scientific,73.81,50.0,17.39,5.98,0.44
1,100,4c67325ea2,Unified Persean Council,Scientific,64.4,50.0,8.37,6.04,0.0
1,100,8eadd942b0,Scientific Phi-perseis Union,Scientific,63.12,36.08,19.89,5.62,1.53
1,100,d2f4557294,Perseian Directorate,Scientific,83.72,50.0,25.0,5.97,2.75
1,100,6657429a7c,Unified Ignis-ivis Council,Scientific,20.95,0.0,15.52,5.43,0.0
1,100,5f5ebcf2f5,Solari Directorate,Scientific,68.26,46.6,14.08,5.23,2.34
1,100,5578b4053f,Unified Zylaris Council,Scientific,68.41,50.0,14.38,4.03,0.0
1,100,095464621d,Cygnan Commonwealth,Isolationist,80.08,50.0,25.0,5.08,0.0
1,100,22e010a52d,Unified Cygnite Council,Scientific,58.94,32.81,18.61,5.56,1.97
1,100,a987357567,Scientific Thranite Union,Scientific,13.19,0.0,7.96,5.23,0.0
1,100,cf1fb521d7,Allied Sagittarian Systems,Scientific,78.32,50.0,23.22,5.1,0.01
1,100,0895acc0af,Sagittarian Directorate,Industrialist,66.92,50.0,10.32,5.44,1.17
1,100,cd650c58ff,Gamma-sagittariis Directorate,Scientific,68.25,50.0,12.5,5.54,0.21
1,100,208f64f5f9,Scientific Sagittarian Union,Scientific,54.04,27.67,19.37,4.65,2.35
1,100,a03b53100a,Orionex Directorate,Scientific,24.18,0.0,18.77,5.41,0.0
1,100,2640424e04,Unified Aurelan Council,Scientific,14.03,0.0,8.4,5.63,0.0
1,100,ad899b1ed9,The Meran Federation,Scientific,63.68,45.17,10.07,4.54,3.9
1,100,b53d4251d2,Meroid Directorate,Scientific,68.25,50.0,12.5,5.75,0.0
1,100,2b4452e77b,Soloid Directorate,Scientific,80.8,50.0,25.0,5.53,0.27
1,100,7994a1ada7,Unified Bulgan Council,Scientific,48.39,27.89,12.5,4.71,3.3
1,100,2b100070c5,Bulgite Directorate,Scientific,64.2,50.0,8.69,5.51,0.0
1,100,984d4d4161,Consolidated Vesperan Worlds,Scientific,30.25,0.0,25.0,5.25,0.0
1,100,04b742dd38,The Perseian Federation,Scientific,8.36,0.0,3.86,4.5,0.0
1,100,82f9ee8fb4,The Valoid Federation,Industrialist,28.46,0.0,23.23,5.22,0.0
1,100,08d81107e6,Zylarian Directorate,Scientific,30.12,0.0,25.0,5.12,0.0
1,100,38a2dd884c,Allied Sagittariian Systems,Industrialist,17.69,0.0,12.39,5.3,0.0
1,100,1c90d82c80,Cygnian Directorate,Scientific,26.81,0.0,21.08,5.73,0.0
1,100,a067552faf,Consolidated Ian Worlds,Scientific,81.52,50.0,21.58,5.74,4.2
1,100,c6642b2284,Scientific Gaea-is Union,Scientific,35.68,17.87,12.5,5.31,0.0
1,100,a222a74ae8,Zelex Directorate,Scientific,74.0,50.0,18.95,5.05,0.0
1,100,c235dc422c,Scientific Kaeluman Union,Industrialist,69.47,50.0,13.41,5.69,0.37
1,100,9dbca7c528,Unified Vesperari Council,Scientific,75.72,50.0,19.79,5.89,0.03
1,100,f714a79195,Scientific Orionian Union,Scientific,45.01,14.89,23.7,5.04,1.38
1,100,f6221e08e8,Orionian Directorate,Scientific,79.79,50.0,25.0,4.79,0.0
1,100,f0cb6b0a91,Xenoid Directorate,Scientific,69.69,50.0,12.66,5.27,1.77
1,100,609e70586f,Scientific Kaeluman Union,Scientific,58.35,50.0,3.31,4.88,0.17
1,100,a866d8dcfc,Zelis Directorate,Scientific,80.75,50.0,25.0,5.27,0.47
1,100,26a6b7dcc3,Consolidated Valan Worlds,Diplomatic,68.53,50.0,12.5,5.91,0.11
1,100,7be35390be,Scientific Valan Union,Scientific,70.69,50.0,12.5,5.32,2.87
1,100,87f864fe83,Unified Thranari Council,Scientific,65.12,50.0,9.14,5.88,0.11
1,100,3ba7df6ae1,Scientific Thranite Union,Scientific,42.86,27.89,9.67,5.3,0.0
1,100,edb45b6eec,Unified Kaelumoid Council,Scientific,79.84,50.0,25.0,4.52,0.32
1,100,fe5ce1f2b8,Consolidated Kaelumari Worlds,Scientific,78.95,50.0,25.0,3.95,0.0
1,100,a31575c86a,Unified Orionex Council,Scientific,51.83,21.57,24.02,5.3,0.94
1,100,7652ec5c8d,Unified Theta-perseis Council,Scientific,21.37,0.0,16.92,4.45,0.0
1,100,98fbfa35fa,Sigma-orionis Commonwealth,Industrialist,17.71,0.0,12.5,5.21,0.0
1,100,f0ada7121c,Consolidated Solex Worlds,Industrialist,66.77,50.0,10.99,5.19,0.59
1,100,6eb9b1daf2,Scientific Xenite Union,Scientific,51.98,28.19,18.45,5.34,0.0
1,100,07a0027478,The Vesperis Federation,Scientific,72.44,50.0,10.1,5.65,6.7
1,100,187eb0978f,Scientific Merite Union,Scientific,18.27,0.0,12.5,5.77,0.0
1,100,8bd71d17f7,Unified Xenis Council,Scientific,69.35,50.0,12.5,5.91,0.95
1,100,7f4ec7825c,Allied Soloid Systems,Scientific,72.47,50.0,12.5,5.97,4.0
1,100,a1d0ea467a,Unified Meris Council,Scientific,61.25,33.14,22.3,5.81,0.0
1,100,71d820677a,The Zylaran Federation,Scientific,74.76,50.0,11.45,6.09,7.22
1,100,6d2f3e5ed1,Aurelari Directorate,Scientific,43.73,30.9,7.22,5.61,0.0
1,100,3339448f7c,Xenan Directorate,Scientific,80.59,50.0,25.0,5.34,0.24
1,100,be3191b575,Scientific Eta-galacticis Union,Scientific,36.4,18.59,12.5,5.31,0.0
1,100,63f01adf18,Consolidated Galacticite Worlds,Diplomatic,81.78,50.0,21.02,5.81,4.95
1,100,b75dce1421,Allied Bulgite Systems,Industrialist,70.8,50.0,12.5,5.79,2.5
1,100,4c8e6a8540,Allied Bulgan Systems,Scientific,59.54,41.22,12.5,5.82,0.0
1,100,76c64a14d6,Unified Orionoid Council,Scientific,21.93,0.0,16.25,5.68,0.0
1,100,517cb43ce0,Scientific Solan Union,Scientific,74.63,50.0,19.37,5.26,0.0
1,100,d378f96d17,Kaelumian Commonwealth,Scientific,52.78,25.03,19.82,4.98,2.95
1,100,7664b6b371,Orionian Directorate,Scientific,65.71,50.0,9.32,5.52,0.87
1,100,739bb87006,Unified Aurelex Council,Scientific,63.34,50.0,7.77,5.29,0.28
1,100,8853384409,Unified Kaelumex Council,Scientific,13.13,0.0,7.87,5.26,0.0
1,100,bda6417e80,Scientific Persean Union,Scientific,71.73,50.0,12.5,5.7,3.53
1,100,56cd534bb7,The Persean Federation,Scientific,71.71,50.0,12.5,5.4,3.81
1,100,c6e77e6789,Persean Directorate,Scientific,77.19,50.0,21.85,5.34,0.0
1,100,ac4afd4a27,Perseite Directorate,Scientific,71.88,50.0,14.64,5.09,2.15
1,100,778b8b68c3,Scientific Aurelex Union,Scientific,79.73,50.0,25.0,4.73,0.0
1,100,c5213edcba,Scientific Meran Union,Scientific,47.33,17.23,21.35,5.06,3.69
1,100,37b8da7a55,Zylaris Directorate,Scientific,18.04,0.0,12.5,5.54,0.0
1,100,c1803ec34d,Aurelari Directorate,Scientific,28.83,0.0,25.0,3.83,0.0
1,100,d957806d32,Galactician Commonwealth,Isolationist,69.12,50.0,11.88,5.48,1.76
1,100,fcda05fc4e,Unified Sigma-galacticis Council,Scientific,80.63,50.0,25.0,5.63,0.0
1,100,2320e9a617,Galactican Directorate,Scientific,54.83,34.96,12.5,6.39,0.98
1,100,75a58165a0,The Galactican Federation,Isolationist,77.43,50.0,13.07,6.35,8.02
1,100,d5f12251b2,Unified Xenian Council,Scientific,67.84,50.0,12.5,5.26,0.08
1,100,b4221d6e15,Unified Xenis Council,Scientific,74.38,50.0,18.75,5.42,0.21
1,100,b3ddaf54de,Unified Zylarex Council,Scientific,63.04,50.0,8.1,4.73,0.22
1,100,fa8159dac5,Unified Xenian Council,Scientific,67.89,41.51,18.84,6.57,0.97
1,100,02e103d2b6,Dominion of Thranari,Isolationist,81.61,50.0,25.0,5.73,0.87
1,100,b0eb206a08,The Thranis Federation,Industrialist,73.33,50.0,9.09,5.41,8.83
1,100,529174abfd,Unified Meroid Council,Scientific,80.27,50.0,25.0,4.83,0.44
1,100,658cf93cc4,Unified Zylarian Council,Scientific,53.79,27.8,19.52,6.47,0.0
1,100,3b106fa102,Unified Perseian Council,Scientific,52.29,26.45,16.44,5.24,4.17
1,100,cb6235e194,Allied Phi-perseis Systems,Scientific,62.55,50.0,8.04,4.51,0.0
1,100,6a9427ac16,Consolidated Prometheian Worlds,Scientific,29.72,0.0,24.01,5.71,0.0
1,100,094756ff65,Unified Vesperis Council,Industrialist,45.59,27.84,12.5,5.25,0.0
1,100,e07661a882,Aurelari Directorate,Scientific,70.46,50.0,14.58,5.85,0.03
1,100,d340e67e88,Scientific Aurelan Union,Scientific,29.68,0.0,25.0,4.68,0.0
1,100,78635879d1,Scientific Priman Union,Scientific,58.37,30.49,22.65,5.23,0.0
1,100,71f4e16f01,Primite Directorate,Scientific,80.28,50.0,24.65,4.97,0.66
1,100,62149b123f,Scientific Sagittarian Union,Scientific,21.72,0.0,15.93,5.78,0.0
1,100,4c3eb31272,Iota-sagittariis Directorate,Scientific,55.33,27.73,22.41,5.19,0.0
1,100,460d2edc1f,Sagittarian Directorate,Scientific,82.2,50.0,25.0,5.05,2.15
1,100,6c40e5c997,Orionite Directorate,Scientific,74.45,50.0,18.81,5.4,0.24
1,100,ce97697488,Scientific Orionian Union,Scientific,74.32,50.0,18.35,5.94,0.04
1,100,4df0d9ee3b,Scientific Orionite Union,Scientific,49.09,17.41,24.76,6.09,0.83
1,100,5a236efd3f,Beta-bulgis Commonwealth,Scientific,55.46,37.33,12.61,5.51,0.0
1,100,b8c054770f,Beta-bulgis Directorate,Scientific,68.4,50.0,12.5,5.9,0.0
1,100,1bc76d1c73,Consolidated Orionis Worlds,Scientific,16.73,0.0,12.5,4.23,0.0
1,100,1c4722b997,Unified Orionite Council,Scientific,22.41,0.0,16.84,5.57,0.0
1,100,0e67dd57aa,Unified Valis Council,Scientific,70.94,50.0,12.5,5.2,3.24
1,100,88977397af,Zylarex Directorate,Scientific,74.1,50.0,18.37,5.72,0.0
1,100,84a3d643c9,Scientific Orionis Union,Scientific,41.41,22.63,12.16,4.96,1.66
1,100,19190c022d,Allied Zylaris Systems,Industrialist,67.44,50.0,8.53,4.82,4.08
1,100,cadd62d564,Allied Aurelite Systems,Diplomatic,35.63,17.6,12.5,5.53,0.0
1,100,d0016e25b4,The Meran Federation,Scientific,47.8,21.42,21.36,5.02,0.0
1,100,724362e429,Zeloid Commonwealth,Diplomatic,72.32,50.0,12.62,5.14,4.55
1,100,2b478a564d,Aurelian Commonwealth,Industrialist,74.48,50.0,12.5,5.56,6.42
1,100,999c5041c4,Scientific Aureliis Union,Scientific,69.45,50.0,13.84,5.61,0.0
1,100,06f00def5a,Scientific Aureliite Union,Scientific,60.17,29.91,21.68,6.0,2.58
1,100,23582772c8,Orionite Directorate,Scientific,24.22,0.0,18.72,5.5,0.0
1,100,61397f1d85,Solari Directorate,Scientific,65.96,50.0,10.79,4.86,0.3
1,100,ca40b2e629,Scientific Solex Union,Scientific,69.22,50.0,10.54,4.58,4.1
1,100,80d9c3cc28,Vesperian Directorate,Scientific,45.62,27.6,12.35,5.67,0.0
1,100,bcfcfb49cf,Scientific Thranex Union,Scientific,14.44,0.0,9.06,5.38,0.0
1,100,9568bafb15,Chi-bulgis Directorate,Scientific,66.93,50.0,11.38,4.75,0.8
1,100,47e406daef,Bulgian Directorate,Scientific,39.16,22.15,12.5,4.5,0.0
1,100,ad47c2dda3,Bulgite Commonwealth,Scientific,69.66,50.0,6.61,5.53,7.52
1,100,096fc37df4,Scientific Vesperoid Union,Scientific,18.4,0.0,12.98,5.42,0.0
1,100,0b6029ea29,Scientific Vesperis Union,Scientific,67.62,50.0,11.29,5.27,1.06
1,100,0ed21e60e5,Orionan Directorate,Scientific,67.92,50.0,12.5,5.06,0.37
1,100,5a9f1f61c7,Scientific Merex Union,Scientific,58.23,40.65,12.5,5.08,0.0
1,100,02fd90e690,Allied Meris Systems,Scientific,69.86,50.0,11.53,6.13,2.2
1,100,3557fb1c6f,Allied Kaelumex Systems,Militaristic,80.03,50.0,23.39,5.78,0.87
1,100,61550040fc,Unified Aurelian Council,Scientific,67.95,50.0,12.5,5.43,0.03
1,100,f0fcb8f048,The Valari Federation,Scientific,65.34,38.76,21.38,5.2,0.0
1,100,691ec52085,The Zelian Federation,Scientific,68.73,50.0,12.5,6.19,0.03
1,100,9a629191f0,Allied Orionan Systems,Scientific,28.02,0.0,23.1,4.92,0.0
1,100,33e625a829,Aureloid Directorate,Scientific,41.93,25.1,12.5,4.33,0.0
1,100,b91403ddc4,Consolidated Merari Worlds,Scientific,73.57,50.0,13.97,5.23,4.37
1,100,71073d1e77,Scientific Xenex Union,Scientific,29.65,0.0,25.0,4.65,0.0
1,100,58a2b00e32,Consolidated Persean Worlds,Explorer,55.81,35.97,12.5,4.93,2.41
1,100,03fca7f787,Perseian Commonwealth,Scientific,69.21,50.0,13.61,5.6,0.0
1,100,939c53fc68,Scientific Perseian Union,Scientific,65.09,50.0,9.46,5.63,0.0
1,100,dc652af4e1,Cygnan Commonwealth,Scientific,67.95,50.0,12.5,5.41,0.04
1,100,98e5a44c50,Cygnan Directorate,Scientific,65.08,39.17,21.1,4.81,0.0
1,100,e1017ed35e,Cygnan Directorate,Scientific,76.51,50.0,20.13,6.05,0.33
1,100,ee6f8a466e,Cygnian Commonwealth,Isolationist,70.24,50.0,11.57,6.34,2.33
1,100,bc259c8444,Scientific Kaelumian Union,Scientific,76.62,50.0,19.72,5.43,1.46
1,100,fc41667c54,Kaeluman Directorate,Scientific,55.06,25.28,24.51,5.27,0.0
1,100,b4e38b5ba0,Scientific Bulgian Union,Scientific,17.33,0.0,12.5,4.83,0.0
1,100,ed8eb43829,Omega-bulgis Directorate,Scientific,76.67,50.0,21.4,5.22,0.05
1,100,2d7a6c7193,Unified Omega-bulgis Council,Scientific,63.62,35.69,22.4,5.54,0.0
1,100,c4d87c45ee,Unified Bulgite Council,Scientific,68.56,50.0,12.5,5.76,0.3
1,100,62a7129a59,Unified Bulgian Council,Scientific,81.53,50.0,25.0,6.2,0.33
1,100,1e3994853e,Consolidated Thranian Worlds,Scientific,77.95,50.0,22.23,5.65,0.07
1,100,b28f9ec7d4,Scientific Thranari Union,Scientific,61.56,39.13,15.96,6.31,0.16
1,100,634ad45f7e,Scientific Aurelan Union,Scientific,78.15,50.0,19.47,6.1,2.58
1,100,75912c8e4c,Kaelumari Directorate,Scientific,65.03,50.0,8.93,5.72,0.37
1,100,d07bc4ae63,Scientific Valian Union,Industrialist,16.47,0.0,12.5,3.97,0.0
1,100,9696ce2491,Scientific Vesperari Union,Scientific,29.54,0.0,24.26,5.28,0.0
1,100,7036dbff3e,Scientific Orionite Union,Scientific,60.74,28.18,25.0,5.36,2.2
1,100,c98968025a,Orionan Directorate,Scientific,60.57,45.98,8.45,6.14,0.0
1,100,9d449a31b9,Consolidated Omega-cygnis Worlds,Industrialist,29.83,0.0,25.0,4.83,0.0
1,100,12f8de3472,Thranari Commonwealth,Industrialist,21.71,0.0,16.41,5.31,0.0
1,100,afc6771a1e,Unified Xenoid Council,Scientific,69.97,50.0,12.5,5.4,2.07
1,100,55c2a4dc5e,Thranari Commonwealth,Scientific,74.54,50.0,18.49,6.04,0.01
1,100,3779c3fe76,Unified Zelian Council,Scientific,58.92,29.74,21.77,5.17,2.24
1,100,cd01ef6fd0,Scientific Merari Union,Scientific,65.01,50.0,9.64,5.15,0.23
1,100,63803c4eb1,Unified Zelari Council,Scientific,51.22,28.8,14.84,5.33,2.25
1,100,20dcee6871,Unified Valoid Council,Scientific,46.95,20.37,20.4,6.19,0.0
1,100,53856bd8ca,Allied Sagittariian Systems,Scientific,29.43,0.0,23.68,5.75,0.0
1,100,da38a63176,Unified Orionis Council,Scientific,21.1,8.68,7.73,4.02,0.68
1,100,8196db66b3,Scientific Thranan Union,Scientific,81.01,50.0,25.0,6.01,0.0
1,100,f004cb791e,Scientific Perseian Union,Scientific,28.47,0.0,23.61,4.86,0.0
1,100,15955262e1,Aurelian Directorate,Scientific,16.15,0.0,11.59,4.55,0.0
1,100,c3662e3808,Unified Sagittariite Council,Scientific,14.04,0.0,9.92,4.12,0.0
1,100,7dc225fd37,Consolidated Orionian Worlds,Scientific,30.06,0.0,25.0,5.06,0.0
1,100,373ea01e5c,Consolidated Zylaris Worlds,Scientific,18.19,0.0,13.32,4.87,0.0
1,100,17fee1a6ac,The Thranite Federation,Scientific,17.28,0.0,12.5,4.78,0.0
1,100,66d46fcd47,Consolidated Orionite Worlds,Diplomatic,8.08,0.0,3.78,4.3,0.0
1,100,dffeed89fb,Chi-bulgis Directorate,Scientific,55.36,28.41,18.42,5.5,3.03
1,100,cd3cb2af45,The Chi-bulgis Federation,Scientific,68.21,50.0,12.2,6.02,0.0
1,100,5d262aaec3,Consolidated Xenite Worlds,Diplomatic,75.08,50.0,18.72,5.37,1.0
1,100,db6da7e17a,Orionis Directorate,Scientific,78.39,50.0,22.6,5.53,0.26
1,100,73573955bb,Orionite Directorate,Scientific,59.52,33.0,20.84,5.68,0.01
1,100,f2bbbfc167,Bulgan Commonwealth,Diplomatic,71.66,50.0,12.35,5.36,3.95
1,100,f929aa33ac,Bulgian Commonwealth,Scientific,80.82,50.0,18.84,6.07,5.91
1,100,28d83c4b42,Scientific Bulgite Union,Scientific,64.47,35.49,25.0,3.98,0.0
1,100,0ddd78edbb,The Delta-bulgis Federation,Diplomatic,77.04,50.0,17.28,5.79,3.97
1,100,d7ec4d3018,Thranan Directorate,Scientific,80.13,48.61,25.0,5.22,1.3
1,100,adc1c77061,Unified Thranis Council,Scientific,59.57,36.81,17.64,5.13,0.0
